GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	62920	826738	36	0.3678
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	833413	3291811	697	-0.1188
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	3296382	10311076	4435	-0.0032
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	10311167	10317185	5	-1.4233
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	10317363	16101647	3268	-0.0055
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	16103890	16104539	2	-2.6613
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	16108232	16721910	234	-0.0164
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	16721984	16935302	67	-0.528
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	16935393	25244778	5252	-0.007
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	25247980	25320455	31	0.5275
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	25336819	72284670	28685	-0.001
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	72290430	72297687	9	-0.8829
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	72302735	72345450	46	0.6315
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	72345465	105476583	20916	0.0032
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	105476614	105479753	16	-2.3882
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	105481433	105492430	14	-0.6601
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	105492439	109690352	2618	0.0104
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	109690431	109697556	11	1.4662
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	109702376	112147704	1944	0.0039
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	112153343	112163334	26	0.624
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	112163438	143710159	5234	-0.0052
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	143710242	143811517	36	0.4466
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	143890323	152787202	2518	0.0247
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	152789447	152796224	37	0.6544
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	152801429	191856724	26139	0.0144
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	191859939	191898581	13	-0.9192
94a26ab4-fed1-4600-8faa-42f1cf7170e2	1	191902086	193186662	870	0.01
