GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
4ba66979-e5d1-405c-9b0a-5fe421e736f7	1	3301765	247650984	129760	0.0137
4ba66979-e5d1-405c-9b0a-5fe421e736f7	2	480597	44125299	26203	0.0255
4ba66979-e5d1-405c-9b0a-5fe421e736f7	2	44128333	44138641	7	-1.0181
4ba66979-e5d1-405c-9b0a-5fe421e736f7	2	44145770	241537572	105972	0.0227
4ba66979-e5d1-405c-9b0a-5fe421e736f7	3	2170634	96670804	52599	0.0159
4ba66979-e5d1-405c-9b0a-5fe421e736f7	3	96672102	96672116	2	-2.2269
4ba66979-e5d1-405c-9b0a-5fe421e736f7	3	96675233	197812401	54571	0.0163
4ba66979-e5d1-405c-9b0a-5fe421e736f7	4	1059384	35441103	21265	0.0152
4ba66979-e5d1-405c-9b0a-5fe421e736f7	4	35442066	35442716	2	-1.5734
4ba66979-e5d1-405c-9b0a-5fe421e736f7	4	35449365	175085343	75914	0.0142
4ba66979-e5d1-405c-9b0a-5fe421e736f7	4	175089268	175337292	120	-0.9315
4ba66979-e5d1-405c-9b0a-5fe421e736f7	4	175338272	187842528	6196	0.015
4ba66979-e5d1-405c-9b0a-5fe421e736f7	5	913983	180934240	101120	0.015
4ba66979-e5d1-405c-9b0a-5fe421e736f7	6	1011760	170596889	97157	0.0175
4ba66979-e5d1-405c-9b0a-5fe421e736f7	7	664936	51742205	30353	0.0142
4ba66979-e5d1-405c-9b0a-5fe421e736f7	7	51744068	51747187	6	-1.4396
4ba66979-e5d1-405c-9b0a-5fe421e736f7	7	51748662	56544468	3118	0.0197
4ba66979-e5d1-405c-9b0a-5fe421e736f7	7	56545940	56546012	2	1.3125
4ba66979-e5d1-405c-9b0a-5fe421e736f7	7	56546393	158592540	48441	0.0191
4ba66979-e5d1-405c-9b0a-5fe421e736f7	8	667625	15077781	7154	0.0223
4ba66979-e5d1-405c-9b0a-5fe421e736f7	8	15078290	15079028	3	-1.0853
4ba66979-e5d1-405c-9b0a-5fe421e736f7	8	15080129	144182542	75055	0.0158
4ba66979-e5d1-405c-9b0a-5fe421e736f7	9	789794	138044505	68468	0.0172
4ba66979-e5d1-405c-9b0a-5fe421e736f7	10	366509	6895791	4323	0.0206
4ba66979-e5d1-405c-9b0a-5fe421e736f7	10	6897982	6900140	10	0.5544
4ba66979-e5d1-405c-9b0a-5fe421e736f7	10	6901019	12794602	4475	0.0219
4ba66979-e5d1-405c-9b0a-5fe421e736f7	10	12794752	12795443	3	-1.3111
4ba66979-e5d1-405c-9b0a-5fe421e736f7	10	12795824	133411599	72467	0.018
4ba66979-e5d1-405c-9b0a-5fe421e736f7	11	456012	134272740	77559	0.0156
4ba66979-e5d1-405c-9b0a-5fe421e736f7	12	780472	102529735	57403	0.016
4ba66979-e5d1-405c-9b0a-5fe421e736f7	12	102530880	102534289	2	1.7252
4ba66979-e5d1-405c-9b0a-5fe421e736f7	12	102534926	132605822	16919	0.0174
4ba66979-e5d1-405c-9b0a-5fe421e736f7	13	18874255	106607138	52131	0.0145
4ba66979-e5d1-405c-9b0a-5fe421e736f7	13	106607176	106607183	2	-1.9817
4ba66979-e5d1-405c-9b0a-5fe421e736f7	13	106609512	114226675	4849	0.0194
4ba66979-e5d1-405c-9b0a-5fe421e736f7	14	20033191	105533894	49782	0.0174
4ba66979-e5d1-405c-9b0a-5fe421e736f7	15	23437561	101344124	44780	0.0166
4ba66979-e5d1-405c-9b0a-5fe421e736f7	16	603333	89317317	41202	0.0215
4ba66979-e5d1-405c-9b0a-5fe421e736f7	17	1074619	82959812	37280	0.0191
4ba66979-e5d1-405c-9b0a-5fe421e736f7	18	326691	2378778	727	0.0249
4ba66979-e5d1-405c-9b0a-5fe421e736f7	18	2383387	2410520	11	-0.9482
4ba66979-e5d1-405c-9b0a-5fe421e736f7	18	2413984	79349796	42222	0.017
4ba66979-e5d1-405c-9b0a-5fe421e736f7	19	283868	58370362	24144	0.0177
4ba66979-e5d1-405c-9b0a-5fe421e736f7	20	472817	55682857	32210	0.0194
4ba66979-e5d1-405c-9b0a-5fe421e736f7	20	55683132	55684146	3	-1.1445
4ba66979-e5d1-405c-9b0a-5fe421e736f7	20	55684281	63588502	5338	0.0236
4ba66979-e5d1-405c-9b0a-5fe421e736f7	21	13974127	46262057	20596	0.0193
4ba66979-e5d1-405c-9b0a-5fe421e736f7	22	16934932	36391232	9431	0.0264
4ba66979-e5d1-405c-9b0a-5fe421e736f7	22	36391885	36404566	4	-1.0743
4ba66979-e5d1-405c-9b0a-5fe421e736f7	22	36408237	48940621	7650	0.0239
4ba66979-e5d1-405c-9b0a-5fe421e736f7	X	3236359	47503437	20074	0.0185
4ba66979-e5d1-405c-9b0a-5fe421e736f7	X	47512405	47522259	5	-0.8291
4ba66979-e5d1-405c-9b0a-5fe421e736f7	X	47525476	155677414	43892	0.0173
