GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
33149334-b7c0-4730-9ae4-99a34b959fa2	1	3301765	12049238	4974	-0.0075
33149334-b7c0-4730-9ae4-99a34b959fa2	1	12053183	12059512	3	-1.3966
33149334-b7c0-4730-9ae4-99a34b959fa2	1	12065479	16399755	2307	-0.0001
33149334-b7c0-4730-9ae4-99a34b959fa2	1	16407019	16414570	6	-0.9165
33149334-b7c0-4730-9ae4-99a34b959fa2	1	16421284	33434627	8705	-0.001
33149334-b7c0-4730-9ae4-99a34b959fa2	1	33436909	33453626	15	-0.926
33149334-b7c0-4730-9ae4-99a34b959fa2	1	33454985	161182440	58153	0.0042
33149334-b7c0-4730-9ae4-99a34b959fa2	1	161184704	161199375	3	-1.6353
33149334-b7c0-4730-9ae4-99a34b959fa2	1	161201187	247650984	55513	0.0081
33149334-b7c0-4730-9ae4-99a34b959fa2	2	480597	198657019	106302	0.007
33149334-b7c0-4730-9ae4-99a34b959fa2	2	198658118	198659750	2	-1.484
33149334-b7c0-4730-9ae4-99a34b959fa2	2	198660351	201558143	1676	0.0058
33149334-b7c0-4730-9ae4-99a34b959fa2	2	201558672	201558981	3	1.0272
33149334-b7c0-4730-9ae4-99a34b959fa2	2	201561984	241537572	24138	0.0072
33149334-b7c0-4730-9ae4-99a34b959fa2	3	2170634	197812401	107132	0.0062
33149334-b7c0-4730-9ae4-99a34b959fa2	4	1059384	148450114	82324	0.0045
33149334-b7c0-4730-9ae4-99a34b959fa2	4	148452206	148452236	2	-1.5101
33149334-b7c0-4730-9ae4-99a34b959fa2	4	148454025	187842528	21109	0.0037
33149334-b7c0-4730-9ae4-99a34b959fa2	5	914118	180934240	101052	0.0062
33149334-b7c0-4730-9ae4-99a34b959fa2	6	1011760	170596889	97115	0.0073
33149334-b7c0-4730-9ae4-99a34b959fa2	7	664936	12312923	5167	0.0153
33149334-b7c0-4730-9ae4-99a34b959fa2	7	12335902	12404864	41	-0.9789
33149334-b7c0-4730-9ae4-99a34b959fa2	7	12407007	158592540	76690	0.0078
33149334-b7c0-4730-9ae4-99a34b959fa2	8	667625	144182542	82188	0.0055
33149334-b7c0-4730-9ae4-99a34b959fa2	9	789794	3262839	1780	0.0075
33149334-b7c0-4730-9ae4-99a34b959fa2	9	3263224	3263326	2	-1.5072
33149334-b7c0-4730-9ae4-99a34b959fa2	9	3270025	138044505	66649	0.0026
33149334-b7c0-4730-9ae4-99a34b959fa2	10	366509	13872462	9730	0.0126
33149334-b7c0-4730-9ae4-99a34b959fa2	10	13875526	13876005	5	-0.8376
33149334-b7c0-4730-9ae4-99a34b959fa2	10	13876414	24375222	7381	0.0108
33149334-b7c0-4730-9ae4-99a34b959fa2	10	24375252	24378162	2	-3.6046
33149334-b7c0-4730-9ae4-99a34b959fa2	10	24378854	133411599	64109	0.0062
33149334-b7c0-4730-9ae4-99a34b959fa2	11	456012	134272740	77508	0.0041
33149334-b7c0-4730-9ae4-99a34b959fa2	12	780472	132605822	74298	0.0102
33149334-b7c0-4730-9ae4-99a34b959fa2	13	18874255	106730287	52205	0.0071
33149334-b7c0-4730-9ae4-99a34b959fa2	13	106731890	106732362	2	1.2854
33149334-b7c0-4730-9ae4-99a34b959fa2	13	106732887	111596186	3697	0.012
33149334-b7c0-4730-9ae4-99a34b959fa2	13	111597036	111597077	2	-1.2168
33149334-b7c0-4730-9ae4-99a34b959fa2	13	111597394	114226675	1063	-0.0039
33149334-b7c0-4730-9ae4-99a34b959fa2	14	20033191	105533894	49755	0.0084
33149334-b7c0-4730-9ae4-99a34b959fa2	15	23437561	41954360	9269	-0.0011
33149334-b7c0-4730-9ae4-99a34b959fa2	15	41966192	41971208	6	-1.1978
33149334-b7c0-4730-9ae4-99a34b959fa2	15	41974781	101344124	35488	0.0017
33149334-b7c0-4730-9ae4-99a34b959fa2	16	603333	26926953	12486	0.0062
33149334-b7c0-4730-9ae4-99a34b959fa2	16	26930148	26934105	7	-1.2438
33149334-b7c0-4730-9ae4-99a34b959fa2	16	26934579	89317317	28697	0.0033
33149334-b7c0-4730-9ae4-99a34b959fa2	17	1074619	82959812	37252	0.0125
33149334-b7c0-4730-9ae4-99a34b959fa2	18	326691	79349796	42930	0.006
33149334-b7c0-4730-9ae4-99a34b959fa2	19	283868	58370362	24126	0.0176
33149334-b7c0-4730-9ae4-99a34b959fa2	20	472817	63588502	37526	0.0064
33149334-b7c0-4730-9ae4-99a34b959fa2	21	13974127	42274870	18953	0.0154
33149334-b7c0-4730-9ae4-99a34b959fa2	21	42277085	42277159	2	-1.1325
33149334-b7c0-4730-9ae4-99a34b959fa2	21	42277878	46262057	1633	0.0148
33149334-b7c0-4730-9ae4-99a34b959fa2	22	16934932	48940621	17066	0.0064
33149334-b7c0-4730-9ae4-99a34b959fa2	X	3236359	155677414	63948	0.007
