GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6922cdf3-aac4-4c44-bb39-d6ba957b0954	1	3301765	247650984	129313	0.0072
6922cdf3-aac4-4c44-bb39-d6ba957b0954	2	480597	241537572	131741	0.0054
6922cdf3-aac4-4c44-bb39-d6ba957b0954	3	2170634	197812401	106879	0.0053
6922cdf3-aac4-4c44-bb39-d6ba957b0954	4	1059384	187842528	103222	0.0062
6922cdf3-aac4-4c44-bb39-d6ba957b0954	5	914118	180934240	100821	0.0067
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	1011760	18424349	12230	0.0008
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	18424370	18425472	2	-2.7262
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	18426181	20428550	1516	0.0149
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	20431423	20432846	5	-1.4272
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	20435411	142295340	66063	0.0054
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	142295372	142295439	2	-1.9632
6922cdf3-aac4-4c44-bb39-d6ba957b0954	6	142296411	170596889	17043	0.0033
6922cdf3-aac4-4c44-bb39-d6ba957b0954	7	664936	158592540	81655	0.0057
6922cdf3-aac4-4c44-bb39-d6ba957b0954	8	667625	80259789	44386	0.0065
6922cdf3-aac4-4c44-bb39-d6ba957b0954	8	80262147	80270822	7	-1.2934
6922cdf3-aac4-4c44-bb39-d6ba957b0954	8	80280677	144182542	37544	0.0051
6922cdf3-aac4-4c44-bb39-d6ba957b0954	9	789794	138044505	68227	0.0061
6922cdf3-aac4-4c44-bb39-d6ba957b0954	10	366509	117795551	71014	0.0069
6922cdf3-aac4-4c44-bb39-d6ba957b0954	10	117802247	117804691	2	-2.5775
6922cdf3-aac4-4c44-bb39-d6ba957b0954	10	117806027	119132174	895	-0.0111
6922cdf3-aac4-4c44-bb39-d6ba957b0954	10	119133095	119133610	3	-1.2846
6922cdf3-aac4-4c44-bb39-d6ba957b0954	10	119133907	133411599	9064	0.0148
6922cdf3-aac4-4c44-bb39-d6ba957b0954	11	456012	134272740	77316	0.0068
6922cdf3-aac4-4c44-bb39-d6ba957b0954	12	780472	132605822	74124	0.0041
6922cdf3-aac4-4c44-bb39-d6ba957b0954	13	18874255	114226675	56842	0.0076
6922cdf3-aac4-4c44-bb39-d6ba957b0954	14	20033191	105533894	49621	0.0097
6922cdf3-aac4-4c44-bb39-d6ba957b0954	15	23437561	101344124	44623	0.0089
6922cdf3-aac4-4c44-bb39-d6ba957b0954	16	603333	2315287	434	0.042
6922cdf3-aac4-4c44-bb39-d6ba957b0954	16	2317508	2318168	3	-1.846
6922cdf3-aac4-4c44-bb39-d6ba957b0954	16	2318198	89317317	40616	0.0104
6922cdf3-aac4-4c44-bb39-d6ba957b0954	17	1074619	82959812	37142	0.0054
6922cdf3-aac4-4c44-bb39-d6ba957b0954	18	326691	79349796	42803	0.0088
6922cdf3-aac4-4c44-bb39-d6ba957b0954	19	283868	23774679	8925	0.0102
6922cdf3-aac4-4c44-bb39-d6ba957b0954	19	23775436	23776077	3	-1.6254
6922cdf3-aac4-4c44-bb39-d6ba957b0954	19	23778010	58370362	15109	0.009
6922cdf3-aac4-4c44-bb39-d6ba957b0954	20	472817	5408813	3090	-0.0075
6922cdf3-aac4-4c44-bb39-d6ba957b0954	20	5416682	5416977	2	-3.0319
6922cdf3-aac4-4c44-bb39-d6ba957b0954	20	5417495	63588502	34298	0.0097
6922cdf3-aac4-4c44-bb39-d6ba957b0954	21	13974127	46262057	20531	0.0127
6922cdf3-aac4-4c44-bb39-d6ba957b0954	22	16934932	48940621	17004	0.0119
6922cdf3-aac4-4c44-bb39-d6ba957b0954	X	3236359	155677414	63875	0.0069
