GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	62920	31148580	17039	0.019
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	31150820	31152499	2	-1.7632
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	31154252	72303253	25739	0.016
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	72305460	72345465	44	-1.0173
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	72346221	105470754	20944	0.0135
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	105476583	105479753	17	-1.6864
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	105481433	107745598	1609	0.0178
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	107746732	107751277	4	-1.1428
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	107751653	110834953	1874	0.0037
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	110836273	110845604	34	-0.771
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	110849445	112153571	1078	0.0143
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	112153651	112154619	20	0.6218
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	112154754	152583230	7604	0.0139
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	152583291	152614118	34	-1.554
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	152618018	169247699	11484	0.0114
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	169264736	169272528	7	-1.931
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	169273163	196758720	18177	0.013
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	196761905	196832525	56	-0.4913
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	196832720	240227947	29954	0.0174
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	240228440	240230824	6	-0.8529
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	240230839	241956011	1371	0.0109
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	241958718	241969270	3	-1.6755
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	241969474	248550567	4314	0.0063
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	248572774	248633821	33	-0.634
7dca5c4d-e241-47e1-9bd0-2916376f95a2	1	248633912	248930189	142	0.0955
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	12784	7987785	6299	0.0278
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	7989207	7995913	8	-0.9124
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	7996487	34474248	17784	0.0174
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	34476327	34511990	45	-0.4356
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	34512489	35750907	871	0.008
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	35752724	35762850	6	0.9393
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	35762881	52531615	12134	0.0142
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	52531630	52554404	32	-0.5119
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	52560811	89305244	22777	0.0122
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	89896149	90262403	131	-0.8537
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	90281849	124672708	17388	0.0142
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	124673094	124680551	9	-1.0361
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	124681992	146107615	12962	0.0114
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	146107675	146109366	16	-1.8605
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	146120238	152930971	4202	0.0073
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	152939554	152944260	5	1.0138
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	152944754	167159084	8325	0.0192
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	167159442	167160279	2	-1.4992
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	167165864	183223386	10315	0.0181
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183224417	183224996	2	-1.6573
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183229270	183709219	286	-0.013
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183712465	183712596	3	-1.6338
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183716167	183732349	34	-0.074
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183738008	183738977	7	-0.6782
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183743192	183813602	48	0.0367
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183814089	183826726	2	-1.9092
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	183826922	207490188	13726	0.0135
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	207490231	207493563	11	-0.9137
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	207494007	208770666	825	0.0033
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	208770969	208783850	7	-0.923
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	208790261	227375482	12088	0.0132
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	227381813	227389072	4	1.1384
7dca5c4d-e241-47e1-9bd0-2916376f95a2	2	227389512	242147305	9161	0.0196
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	20930	6609441	5819	0.006
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	6609524	6613391	23	-0.9286
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	6613561	22077450	10811	0.0134
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	22080503	22080631	3	-1.5824
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	22080904	26384700	3233	0.008
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	26392633	26397852	5	-0.8802
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	26404482	47437019	13599	0.0158
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	47450332	47469915	5	-1.0183
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	47470208	79247708	21332	0.0141
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	79254093	79288920	16	-0.9582
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	79295247	89370231	5628	0.0138
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	89370771	89371338	4	-1.0075
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	89376664	99225667	3228	0.0065
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	99225703	99226551	12	-1.1924
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	99226566	99230212	12	-3.0324
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	99230225	99230464	9	-1.2512
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	99230470	130044016	18709	0.0083
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	130044855	130092512	47	0.5942
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	130100795	193160256	39498	0.008
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	193160406	193165114	17	-0.8696
7dca5c4d-e241-47e1-9bd0-2916376f95a2	3	193168646	198169247	2694	-0.0042
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	68929	4164791	1636	-0.0042
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	4165256	4165270	2	-2.1365
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	4165406	10208766	4065	0.0139
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	10212536	10232642	31	-1.4674
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	10232984	32387742	15631	0.0141
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	32392452	32398977	5	-0.8937
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	32399891	34764149	1334	0.0086
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	34768684	34822561	46	-0.2952
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	34823103	44963179	6598	0.0154
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	44964987	45004175	44	0.8213
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	45004295	61069346	8413	0.0148
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	61071220	61084873	7	-0.8942
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	61085118	68509237	4401	0.0127
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	68509442	68620122	62	0.4203
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	68620261	76871567	4985	0.0169
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	76871829	76872625	10	-0.9343
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	76872676	131088543	32698	0.0143
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	131093600	131226078	73	-0.2498
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	131239036	137171085	3196	0.0058
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	137171266	137172260	13	-0.7295
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	137173804	144073750	4513	0.0147
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	144080322	144104851	10	-0.7703
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	144104897	160958989	10192	0.0098
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	160959045	160963432	16	-0.7458
7dca5c4d-e241-47e1-9bd0-2916376f95a2	4	160963448	171448195	6668	0.0104
