GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	1	3301765	247650984	129803	0.0025
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	2	480597	84307854	49083	-0.0003
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	2	84308063	84309836	2	-1.4032
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	2	84309871	241537572	83157	-0.0013
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	3	2170634	118152844	64997	0.0043
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	3	118153037	118153755	4	-0.9284
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	3	118158563	124335756	3383	0.0007
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	3	124335988	124336117	2	-1.293
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	3	124336177	197812401	38833	0.0036
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	4	1059384	187842528	103520	0.0055
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	5	914118	180934240	101135	0.0018
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	6	1011760	40007304	23655	0.0022
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	6	40007552	40014615	5	-0.7948
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	6	40018009	123913061	45158	0.0048
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	6	123913214	123915173	7	-0.7352
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	6	123915590	170596889	28358	0.0026
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	7	664936	75809445	38359	0.006
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	7	75809462	75810378	2	-1.8399
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	7	75812444	158592540	43588	0.005
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	8	667625	144182542	82234	0.0022
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	9	789794	109037573	50831	0.0016
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	9	109038599	109039444	4	-1.0092
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	9	109041995	138044505	17668	0.0005
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	10	366509	133411599	81301	0.0011
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	11	456012	134272740	77592	0.0016
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	12	780472	114441646	64659	0.0031
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	12	114441748	114442246	3	-1.823
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	12	114442850	129284847	8764	0.0044
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	12	129285921	129286566	3	-0.91
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	12	129287191	132605822	919	-0.0077
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	18874255	29582507	6325	0.0014
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	29582632	29582902	3	-1.1701
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	29582967	42208987	8550	0.0005
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	42209696	42209830	2	-1.7436
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	42209991	71708275	15076	0.0034
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	71709307	71712009	2	-1.187
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	13	71716337	114226675	27051	0.0037
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	14	20033191	62653275	23644	0.0038
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	14	62653892	62656449	7	0.61
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	14	62656490	105533894	26145	0.0012
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	15	23437561	101344124	44793	0.0031
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	16	603333	48921149	15168	0.0013
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	16	48924238	48927072	2	-1.3568
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	16	48927587	89317317	26047	0.0022
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	17	1074619	38459604	14796	0.0023
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	17	38459740	38459845	2	-1.2474
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	17	38460531	80074189	21432	0.0023
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	17	80080303	80080445	2	1.4437
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	17	80080590	82959812	1060	-0.0187
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	18	326691	79349796	42974	-0.0002
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	19	283868	58370362	24156	0.0022
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	20	472817	63588502	37566	0.0015
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	21	13974127	46262057	20605	0.0028
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	22	16934932	45337966	14462	-0.0018
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	22	45339725	45339888	2	-1.4258
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	22	45340166	48940621	2627	-0.0047
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	3236359	10949349	2077	0.0111
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	10952486	38610049	13750	-0.0096
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	38610491	41012423	1318	0.0345
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	41013950	67040282	8273	-0.0022
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	67042130	67042379	2	1.0157
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	67042831	72342327	2298	0.0005
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	72342668	100007898	10719	-0.0196
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	100008523	149284981	23462	-0.0059
0b6a0cb6-cef3-46fc-bb6c-7f4c41d5a799	X	149285402	155677414	2096	0.0238
