GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d47439d3-9c7a-4dea-838d-e9955842055b	1	62920	98602	13	-1.2635
d47439d3-9c7a-4dea-838d-e9955842055b	1	259407	15820586	8250	-0.4822
d47439d3-9c7a-4dea-838d-e9955842055b	1	15820686	16127885	136	-0.1062
d47439d3-9c7a-4dea-838d-e9955842055b	1	16131049	30268809	7927	-0.4638
d47439d3-9c7a-4dea-838d-e9955842055b	1	30269103	30272363	2	-2.906
d47439d3-9c7a-4dea-838d-e9955842055b	1	30274729	34637053	2537	-0.4655
d47439d3-9c7a-4dea-838d-e9955842055b	1	34637069	34638890	19	-1.253
d47439d3-9c7a-4dea-838d-e9955842055b	1	34648667	72303253	23670	-0.4722
d47439d3-9c7a-4dea-838d-e9955842055b	1	72305460	72318487	14	-1.459
d47439d3-9c7a-4dea-838d-e9955842055b	1	72318539	109690352	23589	-0.4595
d47439d3-9c7a-4dea-838d-e9955842055b	1	109690415	109697556	12	-1.6089
d47439d3-9c7a-4dea-838d-e9955842055b	1	109702376	112147704	1940	-0.486
d47439d3-9c7a-4dea-838d-e9955842055b	1	112153343	112163460	29	0.0867
d47439d3-9c7a-4dea-838d-e9955842055b	1	112163496	114286279	1312	-0.4851
d47439d3-9c7a-4dea-838d-e9955842055b	1	114289343	114291088	3	-1.991
d47439d3-9c7a-4dea-838d-e9955842055b	1	114291180	115895258	1068	-0.4973
d47439d3-9c7a-4dea-838d-e9955842055b	1	115898123	115898271	2	-2.6194
d47439d3-9c7a-4dea-838d-e9955842055b	1	115898627	118196846	1449	-0.483
d47439d3-9c7a-4dea-838d-e9955842055b	1	118197090	118197171	2	-2.7964
d47439d3-9c7a-4dea-838d-e9955842055b	1	118197394	119367844	683	-0.4672
d47439d3-9c7a-4dea-838d-e9955842055b	1	119367866	119367882	2	-2.6242
d47439d3-9c7a-4dea-838d-e9955842055b	1	119371061	121705338	610	-0.4924
d47439d3-9c7a-4dea-838d-e9955842055b	1	143459641	143709361	80	0.4084
d47439d3-9c7a-4dea-838d-e9955842055b	1	143709762	145664420	67	0.2093
d47439d3-9c7a-4dea-838d-e9955842055b	1	145670653	152583291	2294	0.4563
d47439d3-9c7a-4dea-838d-e9955842055b	1	152583319	152613762	29	1.9378
d47439d3-9c7a-4dea-838d-e9955842055b	1	152613802	174827267	15015	0.4761
d47439d3-9c7a-4dea-838d-e9955842055b	1	174827418	174832716	17	-0.5621
d47439d3-9c7a-4dea-838d-e9955842055b	1	174832734	242976935	46769	0.4689
d47439d3-9c7a-4dea-838d-e9955842055b	1	242979007	243094761	16	-0.0827
d47439d3-9c7a-4dea-838d-e9955842055b	1	243105104	248930189	3733	0.4581
d47439d3-9c7a-4dea-838d-e9955842055b	2	12784	36862	14	0.1572
d47439d3-9c7a-4dea-838d-e9955842055b	2	37100	34466002	24072	0.4641
d47439d3-9c7a-4dea-838d-e9955842055b	2	34474248	34511446	45	-0.0305
d47439d3-9c7a-4dea-838d-e9955842055b	2	34511990	35145785	417	0.4641
d47439d3-9c7a-4dea-838d-e9955842055b	2	35146043	35864863	555	0.5318
d47439d3-9c7a-4dea-838d-e9955842055b	2	35866763	50641413	10739	0.4512
d47439d3-9c7a-4dea-838d-e9955842055b	2	50641545	51159600	361	0.5479
d47439d3-9c7a-4dea-838d-e9955842055b	2	51160353	51796542	459	0.4579
d47439d3-9c7a-4dea-838d-e9955842055b	2	51796635	52476690	425	0.5446
d47439d3-9c7a-4dea-838d-e9955842055b	2	52477038	87189966	22099	0.454
d47439d3-9c7a-4dea-838d-e9955842055b	2	87203368	87516129	69	0.0428
d47439d3-9c7a-4dea-838d-e9955842055b	2	87516162	90228220	814	0.4098
d47439d3-9c7a-4dea-838d-e9955842055b	2	90228237	91972195	58	-0.0216
d47439d3-9c7a-4dea-838d-e9955842055b	2	91992488	97130080	837	0.1744
d47439d3-9c7a-4dea-838d-e9955842055b	2	97136585	97310327	40	-0.1297
d47439d3-9c7a-4dea-838d-e9955842055b	2	97348052	97359885	12	0.2904
d47439d3-9c7a-4dea-838d-e9955842055b	2	97524284	97545726	9	-1.0368
d47439d3-9c7a-4dea-838d-e9955842055b	2	97550415	130024177	19847	0.208
d47439d3-9c7a-4dea-838d-e9955842055b	2	130026123	130205720	37	-0.159
d47439d3-9c7a-4dea-838d-e9955842055b	2	130210053	183220725	32370	0.2013
d47439d3-9c7a-4dea-838d-e9955842055b	2	183221060	183224996	9	-0.543
d47439d3-9c7a-4dea-838d-e9955842055b	2	183229270	232313547	29953	0.2067
d47439d3-9c7a-4dea-838d-e9955842055b	2	232315640	232424558	80	-0.0158
d47439d3-9c7a-4dea-838d-e9955842055b	2	232426270	241106216	5730	0.2243
d47439d3-9c7a-4dea-838d-e9955842055b	2	241116612	242147305	434	-0.1198
d47439d3-9c7a-4dea-838d-e9955842055b	3	20930	6604856	5806	-0.0497
d47439d3-9c7a-4dea-838d-e9955842055b	3	6609441	6611645	23	-1.1187
d47439d3-9c7a-4dea-838d-e9955842055b	3	6613391	21993851	10716	-0.0674
d47439d3-9c7a-4dea-838d-e9955842055b	3	21994997	21995252	3	-1.4595
d47439d3-9c7a-4dea-838d-e9955842055b	3	21997972	46751887	16599	-0.0671
d47439d3-9c7a-4dea-838d-e9955842055b	3	46760327	46808099	40	-2.2777
d47439d3-9c7a-4dea-838d-e9955842055b	3	46817989	68697013	14549	-0.061
d47439d3-9c7a-4dea-838d-e9955842055b	3	68697108	68698262	14	-1.1976
d47439d3-9c7a-4dea-838d-e9955842055b	3	68699607	74585946	4467	-0.0624
d47439d3-9c7a-4dea-838d-e9955842055b	3	74597741	74598116	2	-1.6722
d47439d3-9c7a-4dea-838d-e9955842055b	3	74600034	75458243	431	-0.0642
d47439d3-9c7a-4dea-838d-e9955842055b	3	75458741	75511990	23	-0.5049
d47439d3-9c7a-4dea-838d-e9955842055b	3	75519398	75537654	7	-1.8978
