GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d066fd12-3e66-4aa0-90d9-25a28918480d	1	3301765	15592573	6978	-0.0003
d066fd12-3e66-4aa0-90d9-25a28918480d	1	15595360	15595876	2	-1.3169
d066fd12-3e66-4aa0-90d9-25a28918480d	1	15596141	20115140	2516	-0.0031
d066fd12-3e66-4aa0-90d9-25a28918480d	1	20115561	20115780	2	-1.9896
d066fd12-3e66-4aa0-90d9-25a28918480d	1	20116198	247650984	120166	0.0031
d066fd12-3e66-4aa0-90d9-25a28918480d	2	480597	4192716	1729	-0.0141
d066fd12-3e66-4aa0-90d9-25a28918480d	2	4194793	4195280	5	-0.7794
d066fd12-3e66-4aa0-90d9-25a28918480d	2	4196876	98058396	49853	0.0043
d066fd12-3e66-4aa0-90d9-25a28918480d	2	98059645	98059813	2	-1.7653
d066fd12-3e66-4aa0-90d9-25a28918480d	2	98060867	105694335	4717	0.0014
d066fd12-3e66-4aa0-90d9-25a28918480d	2	105694723	105694891	2	-1.2132
d066fd12-3e66-4aa0-90d9-25a28918480d	2	105699977	182881729	42647	0.0061
d066fd12-3e66-4aa0-90d9-25a28918480d	2	182889675	182890528	3	-1.0367
d066fd12-3e66-4aa0-90d9-25a28918480d	2	182890602	241537572	33132	0.0053
d066fd12-3e66-4aa0-90d9-25a28918480d	3	2170634	197812401	107119	0.0038
d066fd12-3e66-4aa0-90d9-25a28918480d	4	1059384	187842528	103431	0.0053
d066fd12-3e66-4aa0-90d9-25a28918480d	5	914118	180934240	101070	0.0054
d066fd12-3e66-4aa0-90d9-25a28918480d	6	1011760	170596889	97094	0.0051
d066fd12-3e66-4aa0-90d9-25a28918480d	7	664936	52661195	31090	0.0059
d066fd12-3e66-4aa0-90d9-25a28918480d	7	52669031	52675050	4	1.0713
d066fd12-3e66-4aa0-90d9-25a28918480d	7	52682077	158592540	50792	0.0049
d066fd12-3e66-4aa0-90d9-25a28918480d	8	667625	59046020	32156	0.0057
d066fd12-3e66-4aa0-90d9-25a28918480d	8	59049030	59051969	2	-1.4014
d066fd12-3e66-4aa0-90d9-25a28918480d	8	59052641	139112393	48332	0.0048
d066fd12-3e66-4aa0-90d9-25a28918480d	8	139114327	144182542	1685	-0.0296
d066fd12-3e66-4aa0-90d9-25a28918480d	9	789794	93654437	40870	0.0032
d066fd12-3e66-4aa0-90d9-25a28918480d	9	93654821	93663206	2	-1.8855
d066fd12-3e66-4aa0-90d9-25a28918480d	9	93663581	138044505	27563	0.0043
d066fd12-3e66-4aa0-90d9-25a28918480d	10	366509	133411599	81233	0.0046
d066fd12-3e66-4aa0-90d9-25a28918480d	11	456012	134272740	77512	0.0047
d066fd12-3e66-4aa0-90d9-25a28918480d	12	780472	132605822	74295	0.0049
d066fd12-3e66-4aa0-90d9-25a28918480d	13	18874255	114226675	56953	0.0047
d066fd12-3e66-4aa0-90d9-25a28918480d	14	20033191	105533894	49737	0.0072
d066fd12-3e66-4aa0-90d9-25a28918480d	15	23437561	101344124	44761	0.0042
d066fd12-3e66-4aa0-90d9-25a28918480d	16	603333	89317317	41181	0.0042
d066fd12-3e66-4aa0-90d9-25a28918480d	17	1074619	82959812	37251	0.0055
d066fd12-3e66-4aa0-90d9-25a28918480d	18	326691	79349796	42924	0.0055
d066fd12-3e66-4aa0-90d9-25a28918480d	19	283868	58370362	24130	0.007
d066fd12-3e66-4aa0-90d9-25a28918480d	20	472817	63588502	37532	0.0056
d066fd12-3e66-4aa0-90d9-25a28918480d	21	13974127	46262057	20587	0.0073
d066fd12-3e66-4aa0-90d9-25a28918480d	22	16934932	48940621	17075	0.0014
d066fd12-3e66-4aa0-90d9-25a28918480d	X	3236359	90269093	35005	0.0047
d066fd12-3e66-4aa0-90d9-25a28918480d	X	90271385	90271648	2	-1.954
d066fd12-3e66-4aa0-90d9-25a28918480d	X	90271786	127266000	16481	0.0052
d066fd12-3e66-4aa0-90d9-25a28918480d	X	127268334	127333059	2	1.1146
d066fd12-3e66-4aa0-90d9-25a28918480d	X	127334001	155677414	12466	0.0037
