GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6bbe881d-038b-4702-9285-9e88af6debdb	1	62920	814954	31	-0.3619
6bbe881d-038b-4702-9285-9e88af6debdb	1	817186	3041036	602	0.1574
6bbe881d-038b-4702-9285-9e88af6debdb	1	3041222	16721984	8061	0.0243
6bbe881d-038b-4702-9285-9e88af6debdb	1	16766762	16788139	13	-0.5725
6bbe881d-038b-4702-9285-9e88af6debdb	1	16855942	16931448	47	0.2902
6bbe881d-038b-4702-9285-9e88af6debdb	1	16932568	21358952	2988	0.0149
6bbe881d-038b-4702-9285-9e88af6debdb	1	21361264	21483259	61	0.2944
6bbe881d-038b-4702-9285-9e88af6debdb	1	21484015	21992508	304	-0.0073
6bbe881d-038b-4702-9285-9e88af6debdb	1	21996664	22068758	37	0.3816
6bbe881d-038b-4702-9285-9e88af6debdb	1	22069767	72284670	30639	0.0212
6bbe881d-038b-4702-9285-9e88af6debdb	1	72290430	72297687	9	-1.0486
6bbe881d-038b-4702-9285-9e88af6debdb	1	72302735	72346221	49	0.393
6bbe881d-038b-4702-9285-9e88af6debdb	1	72346757	78868170	4096	0.0004
6bbe881d-038b-4702-9285-9e88af6debdb	1	78868468	79099599	125	-0.1512
6bbe881d-038b-4702-9285-9e88af6debdb	1	79099922	105478597	16742	0.0097
6bbe881d-038b-4702-9285-9e88af6debdb	1	105478759	105479738	9	0.7747
6bbe881d-038b-4702-9285-9e88af6debdb	1	105479753	109684893	2639	0.0064
6bbe881d-038b-4702-9285-9e88af6debdb	1	109690352	109697556	13	0.7181
6bbe881d-038b-4702-9285-9e88af6debdb	1	109702376	112147626	1949	0.0065
6bbe881d-038b-4702-9285-9e88af6debdb	1	112147704	112154552	20	0.4132
6bbe881d-038b-4702-9285-9e88af6debdb	1	112154566	143494500	5170	0.0184
6bbe881d-038b-4702-9285-9e88af6debdb	1	143541857	147081147	356	0.1705
6bbe881d-038b-4702-9285-9e88af6debdb	1	147084859	152580278	2080	0.025
6bbe881d-038b-4702-9285-9e88af6debdb	1	152580343	152614100	38	0.5746
6bbe881d-038b-4702-9285-9e88af6debdb	1	152614118	152785214	166	0.0159
6bbe881d-038b-4702-9285-9e88af6debdb	1	152787202	152796094	37	-0.3979
6bbe881d-038b-4702-9285-9e88af6debdb	1	152796224	158896783	3616	0.0217
6bbe881d-038b-4702-9285-9e88af6debdb	1	158898711	158899969	2	1.7745
6bbe881d-038b-4702-9285-9e88af6debdb	1	158905028	174827267	11195	0.0211
6bbe881d-038b-4702-9285-9e88af6debdb	1	174827418	174832716	17	-0.7271
6bbe881d-038b-4702-9285-9e88af6debdb	1	174832734	189994314	10165	0.0174
6bbe881d-038b-4702-9285-9e88af6debdb	1	189994327	190021937	45	-0.2556
6bbe881d-038b-4702-9285-9e88af6debdb	1	190021970	193186662	2036	0.0093
6bbe881d-038b-4702-9285-9e88af6debdb	1	193187149	193187218	4	-1.3885
6bbe881d-038b-4702-9285-9e88af6debdb	1	193190593	194084953	700	0.0113
6bbe881d-038b-4702-9285-9e88af6debdb	1	194085279	196983126	1845	-0.03
6bbe881d-038b-4702-9285-9e88af6debdb	1	196983144	199138574	1284	0.0159
6bbe881d-038b-4702-9285-9e88af6debdb	1	199142235	199145262	11	-0.612
6bbe881d-038b-4702-9285-9e88af6debdb	1	199145619	231764695	21952	0.0231
6bbe881d-038b-4702-9285-9e88af6debdb	1	231775548	231818681	35	0.6536
6bbe881d-038b-4702-9285-9e88af6debdb	1	231819980	238586809	5279	0.0193
6bbe881d-038b-4702-9285-9e88af6debdb	1	238588320	238589143	9	-0.7147
6bbe881d-038b-4702-9285-9e88af6debdb	1	238589163	241928319	2658	0.0165
6bbe881d-038b-4702-9285-9e88af6debdb	1	241933249	242013693	34	0.4196
6bbe881d-038b-4702-9285-9e88af6debdb	1	242023312	246681274	3154	0.0316
6bbe881d-038b-4702-9285-9e88af6debdb	1	246681868	246699286	16	0.9743
6bbe881d-038b-4702-9285-9e88af6debdb	1	246703903	248520101	1113	-0.0142
6bbe881d-038b-4702-9285-9e88af6debdb	1	248524501	248633912	44	-0.749
6bbe881d-038b-4702-9285-9e88af6debdb	1	248645563	248930189	140	-0.0326
6bbe881d-038b-4702-9285-9e88af6debdb	2	12784	184772	99	0.0176
6bbe881d-038b-4702-9285-9e88af6debdb	2	188421	216376	24	0.7992
6bbe881d-038b-4702-9285-9e88af6debdb	2	219558	5548233	4031	0.0055
6bbe881d-038b-4702-9285-9e88af6debdb	2	5548994	5553982	7	-1.0059
6bbe881d-038b-4702-9285-9e88af6debdb	2	5556543	7471817	1740	0.0007
6bbe881d-038b-4702-9285-9e88af6debdb	2	7471907	7513539	35	0.5384
6bbe881d-038b-4702-9285-9e88af6debdb	2	7517323	17791700	7447	0.0009
6bbe881d-038b-4702-9285-9e88af6debdb	2	17791888	17791926	2	-1.8811
6bbe881d-038b-4702-9285-9e88af6debdb	2	17795107	32602258	9294	0.0109
6bbe881d-038b-4702-9285-9e88af6debdb	2	32604997	32945734	213	0.1497
6bbe881d-038b-4702-9285-9e88af6debdb	2	32948485	34466002	1201	0.0129
6bbe881d-038b-4702-9285-9e88af6debdb	2	34474248	34496492	32	0.5426
6bbe881d-038b-4702-9285-9e88af6debdb	2	34497523	34511990	14	1.0809
6bbe881d-038b-4702-9285-9e88af6debdb	2	34512096	35750907	872	-0.0171
6bbe881d-038b-4702-9285-9e88af6debdb	2	35752724	35762850	6	-1.7117
6bbe881d-038b-4702-9285-9e88af6debdb	2	35762881	40381166	3425	0.0047
6bbe881d-038b-4702-9285-9e88af6debdb	2	40381231	40387528	5	-1.0338
6bbe881d-038b-4702-9285-9e88af6debdb	2	40390680	50643474	7410	0.0207
6bbe881d-038b-4702-9285-9e88af6debdb	2	50644280	51290291	460	-0.1163
6bbe881d-038b-4702-9285-9e88af6debdb	2	51290492	52527330	830	-0.0244
6bbe881d-038b-4702-9285-9e88af6debdb	2	52527342	52554157	31	0.391
6bbe881d-038b-4702-9285-9e88af6debdb	2	52554188	52653613	70	-0.038
6bbe881d-038b-4702-9285-9e88af6debdb	2	52656108	52665333	12	-0.6039
6bbe881d-038b-4702-9285-9e88af6debdb	2	52665675	53178296	448	-0.0187
