GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6be79a8b-8c74-429a-ba52-0fff1aa68322	1	3301765	247650984	129625	0.0192
6be79a8b-8c74-429a-ba52-0fff1aa68322	2	480597	241537572	132090	0.0165
6be79a8b-8c74-429a-ba52-0fff1aa68322	3	2170634	110306077	59950	0.0145
6be79a8b-8c74-429a-ba52-0fff1aa68322	3	110306100	110306117	2	-1.3619
6be79a8b-8c74-429a-ba52-0fff1aa68322	3	110308618	197812401	47142	0.0181
6be79a8b-8c74-429a-ba52-0fff1aa68322	4	1059384	61541609	34383	0.0108
6be79a8b-8c74-429a-ba52-0fff1aa68322	4	61541880	61543437	2	-1.5986
6be79a8b-8c74-429a-ba52-0fff1aa68322	4	61547349	97344650	19831	0.0149
6be79a8b-8c74-429a-ba52-0fff1aa68322	4	97348697	97355602	12	-1.0269
6be79a8b-8c74-429a-ba52-0fff1aa68322	4	97358590	187842528	49171	0.0094
6be79a8b-8c74-429a-ba52-0fff1aa68322	5	913983	2778797	887	-0.0017
6be79a8b-8c74-429a-ba52-0fff1aa68322	5	2782251	2782394	2	-1.355
6be79a8b-8c74-429a-ba52-0fff1aa68322	5	2782601	114455933	59911	0.0151
6be79a8b-8c74-429a-ba52-0fff1aa68322	5	114457589	114458390	3	-1.1475
6be79a8b-8c74-429a-ba52-0fff1aa68322	5	114459607	180934240	40216	0.0177
6be79a8b-8c74-429a-ba52-0fff1aa68322	6	1011760	148180808	83807	0.0188
6be79a8b-8c74-429a-ba52-0fff1aa68322	6	148185476	148185808	2	-1.503
6be79a8b-8c74-429a-ba52-0fff1aa68322	6	148186119	170596889	13259	0.0134
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	664936	9669221	3667	0.0275
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	9669754	9670121	2	-1.5032
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	9670541	9707566	43	0.0309
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	9996166	10010977	5	-1.0287
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	10081314	124523209	59928	0.0131
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	124523712	124524073	3	-1.4369
6be79a8b-8c74-429a-ba52-0fff1aa68322	7	124524582	158592540	18221	0.0148
6be79a8b-8c74-429a-ba52-0fff1aa68322	8	667625	35624471	21029	0.0122
6be79a8b-8c74-429a-ba52-0fff1aa68322	8	35632051	35635466	6	-1.0265
6be79a8b-8c74-429a-ba52-0fff1aa68322	8	35637914	144182542	61124	0.0153
6be79a8b-8c74-429a-ba52-0fff1aa68322	9	789794	138044505	68418	0.0157
6be79a8b-8c74-429a-ba52-0fff1aa68322	10	366509	133411599	81231	0.0137
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	456012	70610663	37127	0.0188
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	70612743	70614759	5	-1.0363
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	70617712	121182204	31331	0.0164
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	121182251	121186721	3	-0.9849
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	121187392	122935202	1256	0.0274
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	122939622	122943175	2	-1.3508
6be79a8b-8c74-429a-ba52-0fff1aa68322	11	122944650	134272740	7794	0.0162
6be79a8b-8c74-429a-ba52-0fff1aa68322	12	780472	54417924	28062	0.0205
6be79a8b-8c74-429a-ba52-0fff1aa68322	12	54422444	54425326	2	-1.3526
6be79a8b-8c74-429a-ba52-0fff1aa68322	12	54433784	132605822	46214	0.0165
6be79a8b-8c74-429a-ba52-0fff1aa68322	13	18874255	114226675	56939	0.0083
6be79a8b-8c74-429a-ba52-0fff1aa68322	14	20033191	105533894	49736	0.016
6be79a8b-8c74-429a-ba52-0fff1aa68322	15	23437561	101344124	44748	0.0183
6be79a8b-8c74-429a-ba52-0fff1aa68322	16	603333	89317317	41188	0.0117
6be79a8b-8c74-429a-ba52-0fff1aa68322	17	1074619	82959812	37263	0.0171
6be79a8b-8c74-429a-ba52-0fff1aa68322	18	326691	79349796	42920	0.0072
6be79a8b-8c74-429a-ba52-0fff1aa68322	19	283868	58370362	24145	0.0218
6be79a8b-8c74-429a-ba52-0fff1aa68322	20	472817	63588502	37538	0.0172
6be79a8b-8c74-429a-ba52-0fff1aa68322	21	13974127	42134417	18856	0.0134
6be79a8b-8c74-429a-ba52-0fff1aa68322	21	42137549	42139672	2	1.3446
6be79a8b-8c74-429a-ba52-0fff1aa68322	21	42139792	46262057	1726	0.0322
6be79a8b-8c74-429a-ba52-0fff1aa68322	22	16934932	48940621	17089	0.0106
6be79a8b-8c74-429a-ba52-0fff1aa68322	X	3236359	155677414	63940	0.0163
