GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	1	3301765	247650984	129816	0.0259
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	2	480597	241537572	132252	0.0234
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	3	2170634	197812401	107237	0.0195
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	4	1059384	15355695	8662	0.0171
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	4	15359934	15366797	3	-2.4768
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	4	15367475	187842528	94884	0.0206
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	5	913983	180934240	101162	0.0193
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	6	1011760	129770238	72416	0.0217
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	6	129770410	129773593	11	-1.1895
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	6	129774750	170596889	24786	0.023
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	7	664936	140801460	72909	0.0228
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	7	140802240	140803848	2	-2.8678
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	7	140805300	158592540	9076	0.02
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	8	667625	144182542	82282	0.0222
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	9	789794	138044505	68515	0.0242
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	10	366509	133411599	81330	0.0232
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	11	456012	134272740	77618	0.0213
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	12	780472	46663851	24050	0.0229
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	12	46664263	46728283	33	0.6262
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	12	46731617	132605822	50295	0.0237
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	13	18874255	45815868	17054	0.0288
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	13	45815953	45817668	3	-2.6195
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	13	45822294	84547360	21108	0.0243
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	13	84549911	84550472	2	-2.405
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	13	84553170	114226675	18862	0.0185
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	14	20033191	105533894	49819	0.0226
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	15	23437561	101344124	44819	0.0267
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	16	603333	89317317	41216	0.0236
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	17	1074619	82959812	37294	0.027
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	18	326691	79349796	42987	0.0125
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	19	283868	58370362	24165	0.0286
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	20	472817	63588502	37578	0.0243
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	21	13974127	46262057	20609	0.0124
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	22	16934932	48940621	17098	0.0233
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	X	3236359	89151626	34660	0.0256
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	X	89152111	89162808	2	-3.3865
ffd0c58d-cd42-40c3-8ad2-cab40cc43819	X	89162997	155677414	29333	0.0218
