GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
5503cca6-1192-46d6-a8c9-e391f053757b	1	62920	86341	11	-0.8684
5503cca6-1192-46d6-a8c9-e391f053757b	1	98588	462894	8	0.4962
5503cca6-1192-46d6-a8c9-e391f053757b	1	599171	2582612	479	-0.1579
5503cca6-1192-46d6-a8c9-e391f053757b	1	2584297	3872547	548	0.0479
5503cca6-1192-46d6-a8c9-e391f053757b	1	3875097	3876155	2	-0.963
5503cca6-1192-46d6-a8c9-e391f053757b	1	3876237	8427455	3146	0.0407
5503cca6-1192-46d6-a8c9-e391f053757b	1	8429366	10534129	1109	-0.0258
5503cca6-1192-46d6-a8c9-e391f053757b	1	10536473	15822042	3034	0.0239
5503cca6-1192-46d6-a8c9-e391f053757b	1	15822508	15844541	21	-0.5259
5503cca6-1192-46d6-a8c9-e391f053757b	1	15850269	16569132	294	-0.03
5503cca6-1192-46d6-a8c9-e391f053757b	1	16570326	16785682	51	0.2772
5503cca6-1192-46d6-a8c9-e391f053757b	1	16787932	21358952	3036	0.0149
5503cca6-1192-46d6-a8c9-e391f053757b	1	21361264	21433632	44	-0.3596
5503cca6-1192-46d6-a8c9-e391f053757b	1	21443394	21969814	312	0.0379
5503cca6-1192-46d6-a8c9-e391f053757b	1	21970933	22091184	67	-0.2663
5503cca6-1192-46d6-a8c9-e391f053757b	1	22099149	25082437	1733	0.006
5503cca6-1192-46d6-a8c9-e391f053757b	1	25082867	25568362	200	-0.163
5503cca6-1192-46d6-a8c9-e391f053757b	1	25570265	72284670	28688	0.0069
5503cca6-1192-46d6-a8c9-e391f053757b	1	72290430	72297687	9	-1.0491
5503cca6-1192-46d6-a8c9-e391f053757b	1	72302735	72352916	53	0.3882
5503cca6-1192-46d6-a8c9-e391f053757b	1	72353096	77037452	3048	0.0267
5503cca6-1192-46d6-a8c9-e391f053757b	1	77038570	78075955	558	-0.0451
5503cca6-1192-46d6-a8c9-e391f053757b	1	78077082	81093230	1913	0.0268
5503cca6-1192-46d6-a8c9-e391f053757b	1	81097564	81286255	142	0.1518
5503cca6-1192-46d6-a8c9-e391f053757b	1	81287120	83429214	1457	0.0273
5503cca6-1192-46d6-a8c9-e391f053757b	1	83438185	101547558	11679	-0.0053
5503cca6-1192-46d6-a8c9-e391f053757b	1	101550538	103616762	1233	0.045
5503cca6-1192-46d6-a8c9-e391f053757b	1	103620877	103717617	6	1.0171
5503cca6-1192-46d6-a8c9-e391f053757b	1	103760781	105453999	906	0.0312
5503cca6-1192-46d6-a8c9-e391f053757b	1	105454138	105470754	12	0.2085
5503cca6-1192-46d6-a8c9-e391f053757b	1	105476583	105479753	17	0.8866
5503cca6-1192-46d6-a8c9-e391f053757b	1	105481433	105620568	117	0.0614
5503cca6-1192-46d6-a8c9-e391f053757b	1	105625674	105692872	48	0.2128
5503cca6-1192-46d6-a8c9-e391f053757b	1	105692900	107211632	993	0.0311
5503cca6-1192-46d6-a8c9-e391f053757b	1	107212434	109226185	1259	-0.0318
5503cca6-1192-46d6-a8c9-e391f053757b	1	109226267	109684893	220	0.0089
5503cca6-1192-46d6-a8c9-e391f053757b	1	109690352	109697556	13	1.1827
5503cca6-1192-46d6-a8c9-e391f053757b	1	109702376	109707968	8	-0.3503
5503cca6-1192-46d6-a8c9-e391f053757b	1	109708520	111544716	1439	-0.0029
5503cca6-1192-46d6-a8c9-e391f053757b	1	111545264	111548700	2	-1.0786
5503cca6-1192-46d6-a8c9-e391f053757b	1	111549003	111710775	103	-0.0678
5503cca6-1192-46d6-a8c9-e391f053757b	1	111711144	112153343	400	0.0421
5503cca6-1192-46d6-a8c9-e391f053757b	1	112153465	112163440	27	-0.2927
5503cca6-1192-46d6-a8c9-e391f053757b	1	112163460	113125687	628	-0.0289
5503cca6-1192-46d6-a8c9-e391f053757b	1	113126376	119766352	4264	0.0152
5503cca6-1192-46d6-a8c9-e391f053757b	1	119767245	143494500	271	-0.0616
5503cca6-1192-46d6-a8c9-e391f053757b	1	143541857	143714703	93	0.1802
5503cca6-1192-46d6-a8c9-e391f053757b	1	143734438	143762042	23	0.4926
5503cca6-1192-46d6-a8c9-e391f053757b	1	143796140	144442098	13	0.029
5503cca6-1192-46d6-a8c9-e391f053757b	1	144442342	147016587	184	-0.1949
5503cca6-1192-46d6-a8c9-e391f053757b	1	147024836	150393540	936	-0.0561
5503cca6-1192-46d6-a8c9-e391f053757b	1	150393993	150456212	33	-0.3604
5503cca6-1192-46d6-a8c9-e391f053757b	1	150456343	151376011	428	-0.0255
5503cca6-1192-46d6-a8c9-e391f053757b	1	151381427	151401304	18	-0.3684
5503cca6-1192-46d6-a8c9-e391f053757b	1	151403108	152583051	712	-0.0067
5503cca6-1192-46d6-a8c9-e391f053757b	1	152583230	152614118	35	-1.7585
5503cca6-1192-46d6-a8c9-e391f053757b	1	152618018	152789447	167	0.0711
5503cca6-1192-46d6-a8c9-e391f053757b	1	152789463	152795883	34	-0.3659
5503cca6-1192-46d6-a8c9-e391f053757b	1	152796094	163326898	6655	-0.0108
5503cca6-1192-46d6-a8c9-e391f053757b	1	163329790	165898932	2090	0.0304
5503cca6-1192-46d6-a8c9-e391f053757b	1	165899650	165899874	2	-1.023
5503cca6-1192-46d6-a8c9-e391f053757b	1	165900194	166827489	713	0.0297
5503cca6-1192-46d6-a8c9-e391f053757b	1	166827778	169247699	1832	-0.0054
5503cca6-1192-46d6-a8c9-e391f053757b	1	169264736	169272528	7	0.5569
5503cca6-1192-46d6-a8c9-e391f053757b	1	169273163	175225980	3780	-0.0102
5503cca6-1192-46d6-a8c9-e391f053757b	1	175226592	175256315	23	-1.1665
5503cca6-1192-46d6-a8c9-e391f053757b	1	175265244	175448885	141	0.0078
5503cca6-1192-46d6-a8c9-e391f053757b	1	175449961	175802710	322	0.0974
5503cca6-1192-46d6-a8c9-e391f053757b	1	175804859	187555664	7793	0.0054
5503cca6-1192-46d6-a8c9-e391f053757b	1	187559491	192324014	3090	0.0464
5503cca6-1192-46d6-a8c9-e391f053757b	1	192325731	193186662	636	-0.024
5503cca6-1192-46d6-a8c9-e391f053757b	1	193187149	193187202	3	-1.3874
5503cca6-1192-46d6-a8c9-e391f053757b	1	193187218	193753412	453	-0.025
5503cca6-1192-46d6-a8c9-e391f053757b	1	193757206	193766389	3	-1.0414
5503cca6-1192-46d6-a8c9-e391f053757b	1	193768328	196745743	1939	0.0287
5503cca6-1192-46d6-a8c9-e391f053757b	1	196758720	196846661	61	0.3002
5503cca6-1192-46d6-a8c9-e391f053757b	1	196847600	209897717	8788	-0.0049
5503cca6-1192-46d6-a8c9-e391f053757b	1	209908268	209910639	3	1.1214
5503cca6-1192-46d6-a8c9-e391f053757b	1	209913207	215125857	3587	0.0122
5503cca6-1192-46d6-a8c9-e391f053757b	1	215130211	218890966	2702	0.0356
5503cca6-1192-46d6-a8c9-e391f053757b	1	218892389	236969573	12216	0.0015
5503cca6-1192-46d6-a8c9-e391f053757b	1	236975282	239267231	1886	0.0486
5503cca6-1192-46d6-a8c9-e391f053757b	1	239272077	239310665	31	-0.0135
5503cca6-1192-46d6-a8c9-e391f053757b	1	239310714	239310846	2	-1.154
5503cca6-1192-46d6-a8c9-e391f053757b	1	239315768	246476296	5175	0.0091
5503cca6-1192-46d6-a8c9-e391f053757b	1	246477216	246880162	264	-0.1543
5503cca6-1192-46d6-a8c9-e391f053757b	1	246880731	248930189	1164	0.0341
5503cca6-1192-46d6-a8c9-e391f053757b	2	12784	146104517	90460	0.0164
5503cca6-1192-46d6-a8c9-e391f053757b	2	146106836	146109366	24	-1.8108
5503cca6-1192-46d6-a8c9-e391f053757b	2	146120238	151578311	3292	0.0115
5503cca6-1192-46d6-a8c9-e391f053757b	2	151608986	151608999	2	-1.3834
5503cca6-1192-46d6-a8c9-e391f053757b	2	151609811	183929124	20001	0.0038
5503cca6-1192-46d6-a8c9-e391f053757b	2	183929673	183937714	17	-0.6047
5503cca6-1192-46d6-a8c9-e391f053757b	2	183943862	184133161	115	-0.0058
5503cca6-1192-46d6-a8c9-e391f053757b	2	184136658	184136812	2	-1.0986
5503cca6-1192-46d6-a8c9-e391f053757b	2	184138202	185177882	682	0.0231
5503cca6-1192-46d6-a8c9-e391f053757b	2	185178166	186010569	406	0.1039
5503cca6-1192-46d6-a8c9-e391f053757b	2	186014481	193823021	4366	0.007
5503cca6-1192-46d6-a8c9-e391f053757b	2	193825580	193829074	2	1.3857
5503cca6-1192-46d6-a8c9-e391f053757b	2	193837590	197283846	2006	0.0049
5503cca6-1192-46d6-a8c9-e391f053757b	2	197284934	197371954	43	-0.2094
5503cca6-1192-46d6-a8c9-e391f053757b	2	197379025	202166372	2758	0.0075
5503cca6-1192-46d6-a8c9-e391f053757b	2	202170225	202434179	135	-0.0956
5503cca6-1192-46d6-a8c9-e391f053757b	2	202437923	202438030	3	-0.9956
5503cca6-1192-46d6-a8c9-e391f053757b	2	202438508	202989670	235	-0.1019
5503cca6-1192-46d6-a8c9-e391f053757b	2	202990687	204479729	870	-0.0129
5503cca6-1192-46d6-a8c9-e391f053757b	2	204479949	204479964	3	0.7881
5503cca6-1192-46d6-a8c9-e391f053757b	2	204479970	207486030	2044	0.0072
5503cca6-1192-46d6-a8c9-e391f053757b	2	207490188	207494795	20	-0.6661
5503cca6-1192-46d6-a8c9-e391f053757b	2	207494836	242147305	22086	0.0042
5503cca6-1192-46d6-a8c9-e391f053757b	3	20930	2716479	2347	0.1027
5503cca6-1192-46d6-a8c9-e391f053757b	3	2716556	3009268	273	0.0222
5503cca6-1192-46d6-a8c9-e391f053757b	3	3010718	3013563	8	-1.2299
5503cca6-1192-46d6-a8c9-e391f053757b	3	3014299	5012495	1848	0.0036
5503cca6-1192-46d6-a8c9-e391f053757b	3	5013455	5132199	88	-0.1963
5503cca6-1192-46d6-a8c9-e391f053757b	3	5138766	5455831	232	0.0117
5503cca6-1192-46d6-a8c9-e391f053757b	3	5457037	6130956	570	0.0829
5503cca6-1192-46d6-a8c9-e391f053757b	3	6130991	6347388	255	-0.0067
5503cca6-1192-46d6-a8c9-e391f053757b	3	6347485	6761791	343	0.1001
5503cca6-1192-46d6-a8c9-e391f053757b	3	6762097	10139556	2630	0.0183
5503cca6-1192-46d6-a8c9-e391f053757b	3	10140878	10273419	122	-0.201
5503cca6-1192-46d6-a8c9-e391f053757b	3	10273660	12649158	1785	0.022
5503cca6-1192-46d6-a8c9-e391f053757b	3	12649165	12715395	62	-0.3029
5503cca6-1192-46d6-a8c9-e391f053757b	3	12715447	16197556	2338	0.007
5503cca6-1192-46d6-a8c9-e391f053757b	3	16199049	16199672	6	-0.6456
5503cca6-1192-46d6-a8c9-e391f053757b	3	16199818	20628408	2592	-0.0029
5503cca6-1192-46d6-a8c9-e391f053757b	3	20629168	21707297	768	0.0502
5503cca6-1192-46d6-a8c9-e391f053757b	3	21710504	21715842	13	-0.4874
5503cca6-1192-46d6-a8c9-e391f053757b	3	21721118	22582599	816	0.0871
5503cca6-1192-46d6-a8c9-e391f053757b	3	22582670	23937812	778	0.0115
5503cca6-1192-46d6-a8c9-e391f053757b	3	23939938	23947348	7	-0.612
5503cca6-1192-46d6-a8c9-e391f053757b	3	23948750	25570240	1454	0.0464
5503cca6-1192-46d6-a8c9-e391f053757b	3	25570256	25964171	291	-0.043
5503cca6-1192-46d6-a8c9-e391f053757b	3	25967585	26559609	383	0.0763
5503cca6-1192-46d6-a8c9-e391f053757b	3	26560269	26570407	10	0.4273
5503cca6-1192-46d6-a8c9-e391f053757b	3	26570470	26830677	218	0.0553
5503cca6-1192-46d6-a8c9-e391f053757b	3	26830765	37935926	7396	-0.0002
5503cca6-1192-46d6-a8c9-e391f053757b	3	37940617	37945437	18	-1.0656
5503cca6-1192-46d6-a8c9-e391f053757b	3	37945615	41916654	2621	0.0056
5503cca6-1192-46d6-a8c9-e391f053757b	3	41920005	42162815	119	-0.1925
5503cca6-1192-46d6-a8c9-e391f053757b	3	42166013	46008216	2319	-0.0029
5503cca6-1192-46d6-a8c9-e391f053757b	3	46008344	46010221	2	-1.6129
5503cca6-1192-46d6-a8c9-e391f053757b	3	46010251	46751887	479	-0.0135
5503cca6-1192-46d6-a8c9-e391f053757b	3	46760327	46807689	39	-0.9053
5503cca6-1192-46d6-a8c9-e391f053757b	3	46808099	52300577	2161	-0.0121
5503cca6-1192-46d6-a8c9-e391f053757b	3	52315396	52320231	2	-1.4411
5503cca6-1192-46d6-a8c9-e391f053757b	3	52320756	53404420	598	-0.0268
5503cca6-1192-46d6-a8c9-e391f053757b	3	53406068	56471059	2357	0.0361
5503cca6-1192-46d6-a8c9-e391f053757b	3	56472951	59546573	1785	-0.0018
5503cca6-1192-46d6-a8c9-e391f053757b	3	59550249	68697013	7667	0.0369
5503cca6-1192-46d6-a8c9-e391f053757b	3	68697108	68698262	14	1.7037
5503cca6-1192-46d6-a8c9-e391f053757b	3	68699607	73127635	3316	0.0014
5503cca6-1192-46d6-a8c9-e391f053757b	3	73131455	75519398	1616	0.0459
5503cca6-1192-46d6-a8c9-e391f053757b	3	75523398	75547095	8	0.683
5503cca6-1192-46d6-a8c9-e391f053757b	3	75559488	86437075	6030	0.0389
5503cca6-1192-46d6-a8c9-e391f053757b	3	86441115	89211176	1501	0.0069
5503cca6-1192-46d6-a8c9-e391f053757b	3	89211498	89211511	2	-1.6324
5503cca6-1192-46d6-a8c9-e391f053757b	3	89211843	89219116	19	-0.0408
5503cca6-1192-46d6-a8c9-e391f053757b	3	89219494	89220275	9	0.6015
5503cca6-1192-46d6-a8c9-e391f053757b	3	89220290	99218119	3414	0.023
5503cca6-1192-46d6-a8c9-e391f053757b	3	99218940	99230464	37	-0.6126
5503cca6-1192-46d6-a8c9-e391f053757b	3	99230470	128591951	18040	0.0033
5503cca6-1192-46d6-a8c9-e391f053757b	3	128592224	128686328	46	-0.2016
5503cca6-1192-46d6-a8c9-e391f053757b	3	128686360	128693488	6	-0.6407
5503cca6-1192-46d6-a8c9-e391f053757b	3	128695318	130044016	621	0.0152
5503cca6-1192-46d6-a8c9-e391f053757b	3	130044855	130087393	38	-1.5196
5503cca6-1192-46d6-a8c9-e391f053757b	3	130088081	146655651	10388	0.0114
5503cca6-1192-46d6-a8c9-e391f053757b	3	146657279	147954685	698	0.0981
5503cca6-1192-46d6-a8c9-e391f053757b	3	147958991	162405578	8917	0.0054
5503cca6-1192-46d6-a8c9-e391f053757b	3	162419812	162424917	14	-0.7439
5503cca6-1192-46d6-a8c9-e391f053757b	3	162426460	167052657	2670	0.0451
5503cca6-1192-46d6-a8c9-e391f053757b	3	167058180	173045067	3723	-0.0004
5503cca6-1192-46d6-a8c9-e391f053757b	3	173052456	175291136	1514	0.0486
5503cca6-1192-46d6-a8c9-e391f053757b	3	175291500	176274742	666	0.112
