GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e4c83bc7-1441-4e30-800b-af2d5c3cb122	1	3301765	247650984	129506	0.0051
e4c83bc7-1441-4e30-800b-af2d5c3cb122	2	480597	64391841	37537	0.0069
e4c83bc7-1441-4e30-800b-af2d5c3cb122	2	64392113	64392139	2	-1.7195
e4c83bc7-1441-4e30-800b-af2d5c3cb122	2	64392918	241537572	94398	0.0059
e4c83bc7-1441-4e30-800b-af2d5c3cb122	3	2170634	110232613	59852	0.003
e4c83bc7-1441-4e30-800b-af2d5c3cb122	3	110234703	110234977	2	-1.8115
e4c83bc7-1441-4e30-800b-af2d5c3cb122	3	110235378	197812401	47129	0.0086
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	1059384	10188450	4765	0.0149
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	10190075	10190391	3	-0.9667
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	10190484	20176288	7078	0.004
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	20181931	20182050	2	-1.5319
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	20182053	69566288	26169	0.0049
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	69567179	69573968	10	0.529
e4c83bc7-1441-4e30-800b-af2d5c3cb122	4	69581213	187842528	65228	0.0047
e4c83bc7-1441-4e30-800b-af2d5c3cb122	5	913983	180934240	100908	0.0064
e4c83bc7-1441-4e30-800b-af2d5c3cb122	6	1011760	103036080	56860	0.0069
e4c83bc7-1441-4e30-800b-af2d5c3cb122	6	103036956	103037158	3	-1.2299
e4c83bc7-1441-4e30-800b-af2d5c3cb122	6	103039595	148180808	26853	0.0053
e4c83bc7-1441-4e30-800b-af2d5c3cb122	6	148185476	148185808	2	-1.315
e4c83bc7-1441-4e30-800b-af2d5c3cb122	6	148186119	170596889	13252	0.0064
e4c83bc7-1441-4e30-800b-af2d5c3cb122	7	664936	158592540	81780	0.0063
e4c83bc7-1441-4e30-800b-af2d5c3cb122	8	667625	144182542	82084	0.0061
e4c83bc7-1441-4e30-800b-af2d5c3cb122	9	789794	138044505	68368	0.0053
e4c83bc7-1441-4e30-800b-af2d5c3cb122	10	366509	133411599	81131	0.0064
e4c83bc7-1441-4e30-800b-af2d5c3cb122	11	456012	8778251	4465	0.0226
e4c83bc7-1441-4e30-800b-af2d5c3cb122	11	8778354	126393990	67581	0.0049
e4c83bc7-1441-4e30-800b-af2d5c3cb122	11	126395828	134272740	5369	0.0196
e4c83bc7-1441-4e30-800b-af2d5c3cb122	12	780472	104450927	58603	0.0058
e4c83bc7-1441-4e30-800b-af2d5c3cb122	12	104453536	104453705	2	-1.6256
e4c83bc7-1441-4e30-800b-af2d5c3cb122	12	104454631	108302556	2652	0.0096
e4c83bc7-1441-4e30-800b-af2d5c3cb122	12	108303073	108303552	2	-1.3354
e4c83bc7-1441-4e30-800b-af2d5c3cb122	12	108305255	132605822	12952	0.0126
e4c83bc7-1441-4e30-800b-af2d5c3cb122	13	18874255	114226675	56859	0.0041
e4c83bc7-1441-4e30-800b-af2d5c3cb122	14	20033191	105533894	49699	0.004
e4c83bc7-1441-4e30-800b-af2d5c3cb122	15	23437561	25644535	1140	0.0047
e4c83bc7-1441-4e30-800b-af2d5c3cb122	15	25646077	25646364	3	-0.944
e4c83bc7-1441-4e30-800b-af2d5c3cb122	15	25649511	35847205	4312	0.0024
e4c83bc7-1441-4e30-800b-af2d5c3cb122	15	35847556	35847585	2	-1.2461
e4c83bc7-1441-4e30-800b-af2d5c3cb122	15	35849751	101344124	39259	0.0052
e4c83bc7-1441-4e30-800b-af2d5c3cb122	16	603333	9515349	4350	0.0106
e4c83bc7-1441-4e30-800b-af2d5c3cb122	16	9515905	9520346	6	-0.7607
e4c83bc7-1441-4e30-800b-af2d5c3cb122	16	9521912	65895244	22372	0.0067
e4c83bc7-1441-4e30-800b-af2d5c3cb122	16	65895540	65897000	2	-1.4808
e4c83bc7-1441-4e30-800b-af2d5c3cb122	16	65898430	89317317	14426	0.0048
e4c83bc7-1441-4e30-800b-af2d5c3cb122	17	1074619	82959812	37243	0.0057
e4c83bc7-1441-4e30-800b-af2d5c3cb122	18	326691	69619541	38112	0.0044
e4c83bc7-1441-4e30-800b-af2d5c3cb122	18	69619667	69619793	3	-1.1296
e4c83bc7-1441-4e30-800b-af2d5c3cb122	18	69621410	79349796	4759	0.0091
e4c83bc7-1441-4e30-800b-af2d5c3cb122	19	283868	58370362	24131	0.0081
e4c83bc7-1441-4e30-800b-af2d5c3cb122	20	472817	25638892	16747	0.0045
e4c83bc7-1441-4e30-800b-af2d5c3cb122	20	25643955	25649141	5	-0.7942
e4c83bc7-1441-4e30-800b-af2d5c3cb122	20	25653512	63588502	20755	0.0073
e4c83bc7-1441-4e30-800b-af2d5c3cb122	21	13974127	46262057	20550	0.0086
e4c83bc7-1441-4e30-800b-af2d5c3cb122	22	16934932	24020100	1065	0.0126
e4c83bc7-1441-4e30-800b-af2d5c3cb122	22	24022005	24026280	2	-1.4029
e4c83bc7-1441-4e30-800b-af2d5c3cb122	22	24028561	48940621	16014	0.0103
e4c83bc7-1441-4e30-800b-af2d5c3cb122	X	3236359	94708837	36227	0.0068
e4c83bc7-1441-4e30-800b-af2d5c3cb122	X	94710356	94715815	5	-0.9515
e4c83bc7-1441-4e30-800b-af2d5c3cb122	X	94719818	155677414	27651	0.0058
