GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	62920	3668805	897	-0.314
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	3669686	3674884	6	-3.3744
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	3680242	4674996	783	-0.2389
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	4675848	4699368	24	-1.0334
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	4699980	6217422	1154	-0.2358
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	6218354	6221607	3	-5.6882
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	6226641	16489035	5651	-0.1983
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	16489595	16927043	104	-0.8832
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	16930822	17214292	201	-0.2845
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	17215454	17215953	2	-2.9521
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	17220095	23812831	4182	-0.2005
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	23813842	25266637	830	0.3331
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	25269390	25336819	24	-1.3037
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	25336853	46995797	11743	0.2992
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	46997147	77803533	20468	0.2515
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	77804606	78323769	271	0.5466
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	78323890	78329348	3	2.2156
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	78333055	85199199	4605	0.2393
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	85206658	89012522	2558	0.5968
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	89015841	92643370	2251	0.2668
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	92647405	92754003	47	-0.2354
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	92754350	104256231	7048	0.2382
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	104259599	119720395	10081	-0.2389
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	119721034	121201569	230	0.2971
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	121211648	145716953	247	-0.0916
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	145719752	152583291	2275	0.2987
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	152583319	152614118	33	-1.2875
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	152618018	160228410	4684	0.2752
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	160229017	160483519	168	0.6255
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	160486682	161871226	769	0.3083
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	161872158	161872417	3	2.122
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	161874316	164944966	2412	0.2321
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	164946982	165898932	882	0.5825
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	165899650	168604317	1950	0.2403
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	168605434	184335746	10606	0.552
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	184336193	234940182	34110	0.2156
ebd66787-d03c-41f8-9054-ec39f4d0304f	1	234940398	241129221	4638	0.5163
