GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce2bf11c-61cb-49c7-8135-906719050d28	1	62920	16679281	8645	-0.3605
ce2bf11c-61cb-49c7-8135-906719050d28	1	16679483	16935302	76	-0.0501
ce2bf11c-61cb-49c7-8135-906719050d28	1	16935393	31443691	8424	-0.3477
ce2bf11c-61cb-49c7-8135-906719050d28	1	31444974	41624054	5623	0.1622
ce2bf11c-61cb-49c7-8135-906719050d28	1	41624883	41680624	42	-0.0753
ce2bf11c-61cb-49c7-8135-906719050d28	1	41686813	41694266	4	0.2318
ce2bf11c-61cb-49c7-8135-906719050d28	1	41696581	41928636	201	0.3765
ce2bf11c-61cb-49c7-8135-906719050d28	1	41933851	42749604	460	0.6342
ce2bf11c-61cb-49c7-8135-906719050d28	1	42762015	42885165	70	0.1463
ce2bf11c-61cb-49c7-8135-906719050d28	1	42886039	48728699	3386	0.3618
ce2bf11c-61cb-49c7-8135-906719050d28	1	48731415	48779578	44	-0.1091
ce2bf11c-61cb-49c7-8135-906719050d28	1	48782364	49377921	327	0.14
ce2bf11c-61cb-49c7-8135-906719050d28	1	49381559	49413137	18	-0.098
ce2bf11c-61cb-49c7-8135-906719050d28	1	49414232	49496959	36	0.1332
ce2bf11c-61cb-49c7-8135-906719050d28	1	49516208	49579156	20	0.63
ce2bf11c-61cb-49c7-8135-906719050d28	1	49581069	50125820	215	0.7663
ce2bf11c-61cb-49c7-8135-906719050d28	1	50125893	52724144	1181	0.4994
ce2bf11c-61cb-49c7-8135-906719050d28	1	52727074	53600645	606	0.3315
ce2bf11c-61cb-49c7-8135-906719050d28	1	53600926	53719716	84	0.4419
ce2bf11c-61cb-49c7-8135-906719050d28	1	53720329	53969370	135	0.3067
ce2bf11c-61cb-49c7-8135-906719050d28	1	53972430	53995988	12	0.0052
ce2bf11c-61cb-49c7-8135-906719050d28	1	53996030	54068228	40	0.2843
ce2bf11c-61cb-49c7-8135-906719050d28	1	54070021	54153664	59	0.4702
ce2bf11c-61cb-49c7-8135-906719050d28	1	54154348	54211455	30	0.3184
ce2bf11c-61cb-49c7-8135-906719050d28	1	54212113	56492536	1720	0.5285
ce2bf11c-61cb-49c7-8135-906719050d28	1	56499329	56915462	338	0.3453
ce2bf11c-61cb-49c7-8135-906719050d28	1	56919157	58200404	1120	0.1417
ce2bf11c-61cb-49c7-8135-906719050d28	1	58200501	58439071	193	0.341
ce2bf11c-61cb-49c7-8135-906719050d28	1	58442473	58821019	295	0.539
ce2bf11c-61cb-49c7-8135-906719050d28	1	58823068	58968488	111	1.0312
ce2bf11c-61cb-49c7-8135-906719050d28	1	58969244	59130554	135	0.7687
ce2bf11c-61cb-49c7-8135-906719050d28	1	59130577	59135747	9	0.9804
ce2bf11c-61cb-49c7-8135-906719050d28	1	59136273	60790628	1058	0.6453
ce2bf11c-61cb-49c7-8135-906719050d28	1	60790881	61036874	231	0.5017
ce2bf11c-61cb-49c7-8135-906719050d28	1	61037526	61647430	452	0.6561
ce2bf11c-61cb-49c7-8135-906719050d28	1	61648334	61652515	4	-1.0328
ce2bf11c-61cb-49c7-8135-906719050d28	1	61654137	62180510	416	0.6373
ce2bf11c-61cb-49c7-8135-906719050d28	1	62181086	62924111	443	0.4322
ce2bf11c-61cb-49c7-8135-906719050d28	1	62926040	63394156	357	0.1569
ce2bf11c-61cb-49c7-8135-906719050d28	1	63396358	63659999	164	-0.1147
