GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	62920	2376239	442	0.1306
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	2376785	34626073	18552	0.0154
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	34637053	34638890	20	-0.433
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	34648667	38808453	2308	0.0128
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	38808696	38812362	3	-1.116
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	38813652	72284670	21444	0.0125
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	72290430	72297687	9	-0.8815
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	72302735	72345465	48	0.9323
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	72346221	105478582	20958	0.006
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	105478597	105479753	11	0.5387
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	105481433	105616180	111	0.0057
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	105616414	106134751	308	0.494
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	106134930	108187137	1521	0.0069
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	108191613	108194874	3	-0.7751
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	108196482	108223733	17	-0.0181
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	108226680	108274557	2	1.0479
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	108310648	109690352	675	-0.0041
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	109690415	109692006	9	-1.1267
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	109696900	111285057	1197	0.0015
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	111285089	111285842	7	-0.48
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	111285956	111633854	310	-0.0073
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	111637531	111641877	5	0.4702
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	111644034	112147704	432	-0.004
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	112153343	112154768	25	0.4777
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	112163334	116651953	2886	0.0108
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	116657749	116657782	2	-1.2009
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	116663714	143582192	2300	0.018
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	143586758	143942271	101	0.3558
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	144432083	152583051	2315	0.0252
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	152583230	152613762	31	-1.4731
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	152613802	196742057	29672	0.0055
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	196745692	196843377	61	0.2756
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	1	196843400	248930189	35810	0.0157
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	12784	34295406	23985	0.0137
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	34298911	34300513	2	-2.4113
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	34300900	34466002	95	0.0228
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	34474248	34512096	47	0.6707
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	34512489	86710564	34964	0.0076
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	86725947	86726731	2	-1.7872
dbebd9f1-57ff-403d-8e36-4f48b84cfc9b	2	86743283	87695122	198	0.05
