GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	62920	846869	39	0.0396
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	850545	3259896	684	0.2487
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	3260916	12777697	5765	0.0297
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	12778601	12807374	17	0.4524
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	12807507	16679483	2176	0.0347
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	16685961	16988207	98	0.2344
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	16993283	25256850	5241	0.0217
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	25266637	25320253	23	-1.6803
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	25320455	30678605	2744	0.0309
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	30680834	30789158	71	0.2606
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	30789990	72297687	25918	0.0184
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	72302735	72345465	48	-0.9427
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	72346221	73303097	567	-0.0109
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	73303490	73310692	5	-0.8355
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	73311013	74711600	870	-0.004
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	74718734	74720685	2	-1.4001
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	74721817	102197851	17830	0.0125
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	102198253	102400087	167	-0.1759
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	102400209	105478597	1517	0.0068
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	105478759	105491593	22	-0.5866
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	105492316	109690352	2627	0.0048
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	109690415	109697556	12	1.8573
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	109702376	110834746	837	0.0106
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	110834943	110845604	38	-0.915
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	110849445	112147704	1073	0.0103
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	112153343	112154768	25	0.3782
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	112163334	143541857	5164	0.0165
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	143545399	143708149	74	-0.6072
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	143708229	143714703	19	-0.0563
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	143734438	143762042	23	-0.6868
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	143796140	152583051	2325	0.0416
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152583230	152613762	31	-1.6418
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152613802	152787202	171	0.0175
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152789447	152789809	7	0.7216
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152789918	152794991	14	0.2348
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152795006	152796224	16	0.8888
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	152801429	189679027	24711	0.0114
6382fd27-7576-4b8c-ab43-cde8365ab2ad	1	189679353	189679397	2	-2.5679
