GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	62920	16480430	8616	0.0325
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	16480729	16643683	40	-0.3601
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	16643816	22296464	3629	0.0362
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	22296873	22298018	3	-0.9946
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	22298753	25256352	1700	0.0362
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	25256800	25336853	28	-0.3102
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	25346663	34626037	4943	0.0305
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	34626073	34638890	21	-0.6304
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	34648667	72274390	23706	0.0335
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	72275051	72345465	64	0.3152
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	72346221	109679105	23540	0.0327
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	109684695	109697556	15	-1.2678
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	109702376	112153465	1947	0.0284
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	112153571	112154619	21	0.6734
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	112154754	152583051	7580	0.0281
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	152583230	152613242	29	0.513
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	152613641	152789447	173	0.0393
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	152789463	152796224	36	0.4289
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	152801429	196745743	29363	0.03
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	196758720	196832312	56	-0.3552
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	196832525	223446392	18041	0.0277
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	223454848	223473439	61	0.8067
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	223473497	248525314	17443	0.029
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	248546369	248646068	39	-0.4045
f4558e75-6fb7-4042-8b8b-589aacc8ff47	1	248661836	248930189	138	0.0889
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	12784	14560505	11014	0.0272
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	14560559	14569897	17	-0.7799
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	14569968	34466002	13014	0.025
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	34474248	34512096	47	-0.4109
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	34512489	35742970	869	0.0418
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	35750907	35762850	7	-1.0777
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	35762881	87286164	34134	0.0264
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	87287256	87295819	3	-1.3605
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	87299357	88960188	629	0.0101
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	88960628	94675975	292	-0.1016
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	94680914	97118402	821	0.0214
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	97124542	97211436	42	-0.2924
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	97310327	116828073	11311	0.0214
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	116831010	116832277	3	-1.5536
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	116833669	122719438	3745	0.0264
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	122722323	122724665	8	-2.1272
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	122726077	130036283	4765	0.0279
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	130036310	130116915	13	-0.9196
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	130117303	131781169	561	-0.0008
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	131790948	131802808	3	-1.3186
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	131814020	132589162	330	-0.0998
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	132590332	146104517	8612	0.028
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	146106836	146109366	24	-1.4255
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	146120238	187567108	25248	0.0265
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	187567285	187595098	27	-0.6748
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	187595627	207486030	11576	0.0252
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	207490188	207495422	22	-0.4136
f4558e75-6fb7-4042-8b8b-589aacc8ff47	2	207495498	242147305	22012	0.0306
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	20930	26570158	19950	0.0357
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	26570176	26570394	4	-2.1534
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	26570407	26571710	8	-0.1478
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	26573483	26573486	3	-1.4247
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	26574458	46733286	13131	0.0237
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	46733893	46802910	40	0.3288
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	46802949	75511990	19475	0.0279
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	75519398	75547095	8	-1.2674
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	75559488	84650033	4962	0.0283
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	84650533	84653449	19	-0.5416
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	84657133	99218119	5959	0.0296
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	99218940	99229699	19	0.4711
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	99229738	130044855	18694	0.0314
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	130047743	130087393	37	-1.3105
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	130088081	131987852	1164	0.0116
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	131989313	131996155	3	-1.3827
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	131999130	154827731	14219	0.0294
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	154829278	154830355	2	-1.6121
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	154831198	162404969	4547	0.0285
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	162404983	162424917	16	-0.5172
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	162426460	162790480	256	0.0615
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	162794869	162908207	70	0.6217
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	162908784	168199334	2949	0.037
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	168202470	168209586	4	-1.3099
f4558e75-6fb7-4042-8b8b-589aacc8ff47	3	168210319	198169247	18875	0.0307
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	68929	3899125	1569	-0.1415
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	3901987	4176082	73	-0.3942
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	4180275	5308576	876	-0.1493
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	5308694	5321568	6	-1.4383
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	5322472	10208766	3167	-0.1414
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	10212536	10229874	29	-1.689
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	10232590	10244648	17	-0.7122
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	10245888	10385349	159	-0.1576
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	10388498	10401140	21	0.266
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	10401374	34777418	16734	-0.127
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	34777432	34828306	42	0.2599
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	34828327	35147957	205	-0.1039
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	35147999	35155099	4	-1.1397
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	35155184	38938795	2711	-0.1289
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	38939009	49214614	6024	0.03
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	49289175	49289338	2	-1.7759
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	49295203	55364952	2460	0.0238
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	55370970	68352434	7961	-0.1278
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	68354665	68726064	100	0.1903
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	68729873	114252544	27603	-0.1272
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	114254167	114261019	23	-1.0876
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	114263073	121352989	4322	-0.1266
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	121353499	121371000	33	-0.6832
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	121375746	151868634	17657	-0.1261
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	151870381	151871739	13	-1.0843
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	151873644	151873707	3	1.3835
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	151874236	171448195	12507	-0.1273
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	171453733	171456559	10	1.0272
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	171456573	172066777	397	-0.1295
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	172067997	172074828	13	-1.2451
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	172075742	172501371	230	-0.0994
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	172503796	172507492	7	1.2481
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	172519981	185125423	8514	-0.1294
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	185125548	185127112	2	-2.0006
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	185127173	189938973	3244	-0.1393
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	189939613	189988171	17	-0.7775
f4558e75-6fb7-4042-8b8b-589aacc8ff47	4	189988277	190106768	17	-0.2063
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	15532	9898850	7995	0.0211
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	9901840	9926299	31	-0.6752
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	9926575	46196012	22546	0.0291
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	46199332	46199333	2	-2.2221
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	46209197	46246558	12	0.0429
f4558e75-6fb7-4042-8b8b-589aacc8ff47	5	46251204	46273400	9	0.7355
