GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	62920	259407	14	-0.6454
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	259422	877652	37	-0.0269
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	877938	3318992	707	0.1128
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	3319477	5435541	1601	0.0329
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	5442662	5444949	2	-1.0654
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	5452609	15823420	5979	0.0208
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	15827002	15827430	6	0.6959
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	15827706	25256850	5672	0.0303
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	25266637	25320455	24	0.7736
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	25336819	72303233	28744	0.0179
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	72303253	72345465	45	-1.0084
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	72346221	74339653	1176	0.0231
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	74340060	74340481	2	0.972
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	74340868	74725098	269	-0.0164
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	74727351	74733606	3	-0.8481
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	74734100	75585159	481	0.0113
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	75589078	75589169	2	-2.1446
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	75593824	103620877	18097	0.0094
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	103621165	103717410	4	-1.3355
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	103717617	105470754	919	0.0194
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	105476583	105479753	17	0.5797
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	105481433	109690352	2638	0.0084
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	109690415	109697556	12	-1.2669
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	109702376	143547055	7143	0.0137
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	143547139	143748012	91	0.2162
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	143748074	143751380	8	0.7213
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	143751625	144432083	23	0.3301
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	144432313	152583051	2314	0.032
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	152583230	152613762	31	1.5014
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	152613802	169247699	11491	0.0321
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	169264736	169272528	7	-1.84
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	169273163	171143351	1305	0.0345
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	171146991	171147621	3	-0.8476
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	171147974	174827267	2211	0.0337
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	174827418	174832702	16	-0.5547
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	174832716	189553933	9813	0.027
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	189557469	189583741	20	-0.3115
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	189584937	189679027	73	0.0453
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	189679353	189679397	2	-1.5863
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	189682917	194479104	3286	0.0302
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	194482281	194485888	2	1.1386
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	194487886	196745692	1451	0.0273
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	196745743	196820637	46	0.2966
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	196820704	209897717	8804	0.0348
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	209908268	209910639	3	-2.0074
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	209913207	248585918	26853	0.0346
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	248586259	248645808	32	0.3332
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	1	248646068	248930189	139	0.0572
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	12784	34474248	24094	0.0161
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	34476327	34483565	6	-2.514
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	34483583	34492907	23	-1.0891
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	34492921	34511990	16	-2.0517
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	34512096	52527330	13004	0.0113
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	52527342	52554404	39	0.6945
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	2	52560811	242147305	112356	0.0166
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	20930	141230	112	0.0212
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	142563	143853	3	-1.2348
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	144336	367815	215	-0.0219
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	367832	370884	2	-1.383
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	371242	6604856	5485	-0.002
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	6609441	6611645	23	-0.7628
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	6613391	26384700	14043	0.0198
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	26392633	26397852	5	-0.8446
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	26404482	26559609	114	0.0289
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	26560269	26570158	5	-0.7842
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	26570176	26570394	4	-2.8262
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	26570407	68697013	27776	0.017
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	68697108	68699607	15	0.4186
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	68699635	99201668	15896	0.0127
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	99201783	99230464	49	-0.437
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	99230470	130044016	18709	0.0142
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	130044855	130087393	38	-1.2918
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	130088081	136300257	4028	0.0253
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	136304109	136306584	2	1.111
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	136319699	143566976	4337	0.0154
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	143567073	143567132	2	1.1309
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	143567959	162794951	11904	0.0123
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	162795304	162908207	68	0.4157
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	162908784	192890184	18975	0.0169
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	192890293	192890762	5	1.0306
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	192890809	193160113	189	0.0033
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	193160173	193165114	19	-0.8371
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	3	193168646	198169247	2694	0.0238
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	68929	10221792	5706	0.0281
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	10222004	10232984	30	-1.5075
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	10233383	10243331	12	-0.3474
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	10244274	26287196	11719	0.0203
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	26290363	26293154	3	-1.1519
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	26293552	32398929	3895	0.0115
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	32398943	32398977	3	-0.9015
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	32399891	34784878	1343	0.0193
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	34785333	34822561	36	0.6542
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	34823103	45003738	6638	0.0107
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	45003835	45004318	4	-1.0635
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	45008952	68478894	12811	0.0139
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	68494770	68620261	67	-1.4692
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	68623617	114254167	27695	0.0158
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	114254188	114261019	22	0.5314
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	114263073	114586468	226	0.0227
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	114587010	114589298	3	-0.8848
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	114593270	121360818	4112	0.0112
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	121361313	121363980	28	-0.7885
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	121369976	160952694	23592	0.015
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	160952754	160963756	26	-0.5089
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	160963767	171448195	6669	0.0205
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	171453733	171456559	10	1.3478
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	171456573	172068073	401	0.0197
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	172068149	172068382	9	0.5951
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	172074828	184200401	8113	0.0133
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	184200563	184200580	2	-2.7961
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	4	184202241	190106768	3962	0.0246
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	5	15532	808932	338	0.0856
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	5	817735	833513	15	-0.7611
9064b4c5-d3d4-46c1-85bd-bdacb338ff6c	5	852451	32102625	21922	0.0181
