GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2982d7ef-2692-4c0d-bb90-17970ea21af2	1	3301765	21477964	10221	-0.005
2982d7ef-2692-4c0d-bb90-17970ea21af2	1	21478555	21483259	3	1.3947
2982d7ef-2692-4c0d-bb90-17970ea21af2	1	21484015	247650984	119465	0.0015
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	480597	16244088	10085	0.0057
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	16246199	16248973	3	1.579
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	16250513	175335261	84173	0.0045
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	175340473	175345944	6	-0.8751
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	175347662	214475611	21251	0.0033
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	214486070	214496516	12	0.741
2982d7ef-2692-4c0d-bb90-17970ea21af2	2	214496956	241537572	16578	0.0059
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	2170634	105059129	57177	0.0074
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	105063306	105067700	4	-1.0288
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	105067877	125758919	12051	0.0093
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	125761627	125773560	2	1.5349
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	125779509	186441341	31701	0.0074
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	186442313	186443121	2	-1.3245
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	186445130	194863477	5449	0.0046
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	194863606	194874542	3	-0.9002
2982d7ef-2692-4c0d-bb90-17970ea21af2	3	194874642	197812401	708	0.0202
2982d7ef-2692-4c0d-bb90-17970ea21af2	4	1059384	187842528	103417	0.0073
2982d7ef-2692-4c0d-bb90-17970ea21af2	5	914118	180934240	101066	0.0051
2982d7ef-2692-4c0d-bb90-17970ea21af2	6	1011760	170596889	97109	0.0064
2982d7ef-2692-4c0d-bb90-17970ea21af2	7	664936	158592540	81887	0.0086
2982d7ef-2692-4c0d-bb90-17970ea21af2	8	667625	144182542	82172	0.0039
2982d7ef-2692-4c0d-bb90-17970ea21af2	9	789794	138044505	68436	0.0038
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	366509	25848926	18096	0.0055
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	25849046	25851137	2	-1.6519
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	25851193	85148023	32838	0.0046
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	85148306	85150645	5	-1.0809
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	85153428	102696968	10262	0.0015
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	102702605	102706328	3	2.0109
2982d7ef-2692-4c0d-bb90-17970ea21af2	10	102707852	133411599	20028	0.0017
2982d7ef-2692-4c0d-bb90-17970ea21af2	11	456012	134272740	77514	0.0031
2982d7ef-2692-4c0d-bb90-17970ea21af2	12	780472	132605822	74283	0.0069
2982d7ef-2692-4c0d-bb90-17970ea21af2	13	18874255	114226675	56978	0.0082
2982d7ef-2692-4c0d-bb90-17970ea21af2	14	20033191	23487063	1211	0.0063
2982d7ef-2692-4c0d-bb90-17970ea21af2	14	23487170	23487294	2	-1.8835
2982d7ef-2692-4c0d-bb90-17970ea21af2	14	23489664	105533894	48539	0.0066
2982d7ef-2692-4c0d-bb90-17970ea21af2	15	23437561	101344124	44760	-0.0037
2982d7ef-2692-4c0d-bb90-17970ea21af2	16	603333	89317317	41187	0.0029
2982d7ef-2692-4c0d-bb90-17970ea21af2	17	1074619	5558194	1974	0.0304
2982d7ef-2692-4c0d-bb90-17970ea21af2	17	5558388	73769275	31813	-0.0029
2982d7ef-2692-4c0d-bb90-17970ea21af2	17	73769588	82959812	3474	0.0234
2982d7ef-2692-4c0d-bb90-17970ea21af2	18	326691	79349796	42931	0.0014
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	283868	14999787	5472	0.0332
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	15000298	15000768	3	-1.0478
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	15001239	15635661	391	0.0314
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	15635994	16069728	271	-0.044
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	16069927	21201635	1675	0.0504
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	21219960	34150751	5792	-0.0023
2982d7ef-2692-4c0d-bb90-17970ea21af2	19	34153081	58370362	10538	0.0212
2982d7ef-2692-4c0d-bb90-17970ea21af2	20	472817	63588502	37538	-0.003
2982d7ef-2692-4c0d-bb90-17970ea21af2	21	13974127	42134417	18869	-0.0008
2982d7ef-2692-4c0d-bb90-17970ea21af2	21	42137549	42139672	2	-1.23
2982d7ef-2692-4c0d-bb90-17970ea21af2	21	42139792	46262057	1728	0.0156
2982d7ef-2692-4c0d-bb90-17970ea21af2	22	16934932	36137894	9355	-0.0088
2982d7ef-2692-4c0d-bb90-17970ea21af2	22	36186514	36188665	2	-1.1318
2982d7ef-2692-4c0d-bb90-17970ea21af2	22	36188898	36320876	29	-0.0131
2982d7ef-2692-4c0d-bb90-17970ea21af2	22	36323118	44223014	4227	0.0306
2982d7ef-2692-4c0d-bb90-17970ea21af2	22	44223820	48940621	3461	-0.0029
2982d7ef-2692-4c0d-bb90-17970ea21af2	X	3236359	107867059	41873	0.0053
2982d7ef-2692-4c0d-bb90-17970ea21af2	X	107867912	107868802	2	-1.6472
2982d7ef-2692-4c0d-bb90-17970ea21af2	X	107873582	155677414	22073	0.0043
