GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
88b99775-efd8-4957-b94d-5293fceab079	1	62920	98602	13	0.5923
88b99775-efd8-4957-b94d-5293fceab079	1	259407	10310344	5152	0.0047
88b99775-efd8-4957-b94d-5293fceab079	1	10310483	10317925	17	-0.5243
88b99775-efd8-4957-b94d-5293fceab079	1	10321714	12294250	1042	0.0011
88b99775-efd8-4957-b94d-5293fceab079	1	12295430	12295446	2	-1.4316
88b99775-efd8-4957-b94d-5293fceab079	1	12297031	16542868	2418	0.008
88b99775-efd8-4957-b94d-5293fceab079	1	16544783	16679483	33	0.4475
88b99775-efd8-4957-b94d-5293fceab079	1	16685961	16686246	2	-2.0355
88b99775-efd8-4957-b94d-5293fceab079	1	16689764	25244339	5334	0.0135
88b99775-efd8-4957-b94d-5293fceab079	1	25244778	25292440	24	0.548
88b99775-efd8-4957-b94d-5293fceab079	1	25292549	30258675	2389	0.0144
88b99775-efd8-4957-b94d-5293fceab079	1	30258730	30258851	2	-1.3004
88b99775-efd8-4957-b94d-5293fceab079	1	30259533	34626073	2564	0.0239
88b99775-efd8-4957-b94d-5293fceab079	1	34637053	34638890	20	-0.6335
88b99775-efd8-4957-b94d-5293fceab079	1	34648667	47121516	6865	0.0127
88b99775-efd8-4957-b94d-5293fceab079	1	47122807	47125936	2	-1.588
88b99775-efd8-4957-b94d-5293fceab079	1	47127902	53968937	3785	-0.0043
88b99775-efd8-4957-b94d-5293fceab079	1	53969370	53974555	3	-1.3393
88b99775-efd8-4957-b94d-5293fceab079	1	53982416	59576071	4359	0.0083
88b99775-efd8-4957-b94d-5293fceab079	1	59578252	59586394	9	-1.0237
88b99775-efd8-4957-b94d-5293fceab079	1	59592607	72302815	8737	-0.0024
88b99775-efd8-4957-b94d-5293fceab079	1	72303233	72345450	45	-1.4749
88b99775-efd8-4957-b94d-5293fceab079	1	72345465	75585159	1933	-0.0004
88b99775-efd8-4957-b94d-5293fceab079	1	75589078	75589169	2	-2.4537
88b99775-efd8-4957-b94d-5293fceab079	1	75593824	94665141	12469	-0.0019
88b99775-efd8-4957-b94d-5293fceab079	1	94665210	94689843	59	-0.9701
88b99775-efd8-4957-b94d-5293fceab079	1	94689855	103620877	5569	-0.0054
88b99775-efd8-4957-b94d-5293fceab079	1	103621165	103717410	4	-1.1894
88b99775-efd8-4957-b94d-5293fceab079	1	103717617	108202381	2887	0.0058
88b99775-efd8-4957-b94d-5293fceab079	1	108202617	108202633	2	-1.9615
88b99775-efd8-4957-b94d-5293fceab079	1	108203051	152583938	10283	0.0058
88b99775-efd8-4957-b94d-5293fceab079	1	152587808	152598693	5	-1.4479
88b99775-efd8-4957-b94d-5293fceab079	1	152598884	152676638	93	-0.0219
88b99775-efd8-4957-b94d-5293fceab079	1	152678055	152687598	9	0.5629
88b99775-efd8-4957-b94d-5293fceab079	1	152687773	152787202	88	0.0253
88b99775-efd8-4957-b94d-5293fceab079	1	152789447	152795883	35	0.5237
88b99775-efd8-4957-b94d-5293fceab079	1	152796094	155691436	1556	-0.0012
88b99775-efd8-4957-b94d-5293fceab079	1	155692180	155693566	2	-2.0619
88b99775-efd8-4957-b94d-5293fceab079	1	155697170	199138574	29345	0.0039
88b99775-efd8-4957-b94d-5293fceab079	1	199142235	199142844	5	0.9917
88b99775-efd8-4957-b94d-5293fceab079	1	199143343	204407080	3539	0.0054
88b99775-efd8-4957-b94d-5293fceab079	1	204413461	204414328	2	-2.1629
88b99775-efd8-4957-b94d-5293fceab079	1	204417745	209897717	3866	0.0061
88b99775-efd8-4957-b94d-5293fceab079	1	209908268	209910639	3	-1.8309
88b99775-efd8-4957-b94d-5293fceab079	1	209913207	231852378	14610	-0.0002
88b99775-efd8-4957-b94d-5293fceab079	1	231855385	231855945	2	-1.6324
88b99775-efd8-4957-b94d-5293fceab079	1	231856747	238586809	5246	-0.0012
88b99775-efd8-4957-b94d-5293fceab079	1	238588320	238588637	5	-1.4476
88b99775-efd8-4957-b94d-5293fceab079	1	238589096	248930189	7163	-0.0027
88b99775-efd8-4957-b94d-5293fceab079	2	12784	3197646	2249	-0.0169
88b99775-efd8-4957-b94d-5293fceab079	2	3199226	3199974	2	-2.06
88b99775-efd8-4957-b94d-5293fceab079	2	3200081	34295406	21745	0.0092
88b99775-efd8-4957-b94d-5293fceab079	2	34298911	34300513	2	-2.0494
88b99775-efd8-4957-b94d-5293fceab079	2	34300900	34485794	107	-0.0062
88b99775-efd8-4957-b94d-5293fceab079	2	34485834	34515690	39	0.2239
88b99775-efd8-4957-b94d-5293fceab079	2	34515732	35356085	533	-0.0061
88b99775-efd8-4957-b94d-5293fceab079	2	35356441	35390609	53	-0.9006
88b99775-efd8-4957-b94d-5293fceab079	2	35396850	35750907	281	0.0125
88b99775-efd8-4957-b94d-5293fceab079	2	35752724	35761650	4	-1.7389
88b99775-efd8-4957-b94d-5293fceab079	2	35761842	87256891	34207	0.0063
88b99775-efd8-4957-b94d-5293fceab079	2	87260822	87261116	2	-2.3497
88b99775-efd8-4957-b94d-5293fceab079	2	87262561	97359885	1808	0.0143
88b99775-efd8-4957-b94d-5293fceab079	2	97524284	97550415	10	0.8199
88b99775-efd8-4957-b94d-5293fceab079	2	97552143	106266773	5569	0.0121
88b99775-efd8-4957-b94d-5293fceab079	2	106266875	106268901	7	-2.3111
88b99775-efd8-4957-b94d-5293fceab079	2	106270799	111511630	2635	0.0114
88b99775-efd8-4957-b94d-5293fceab079	2	111519763	111540248	5	1.13
88b99775-efd8-4957-b94d-5293fceab079	2	111541447	141088902	18114	0.0072
88b99775-efd8-4957-b94d-5293fceab079	2	141089320	141091341	2	-1.7907
88b99775-efd8-4957-b94d-5293fceab079	2	141091474	179196928	23362	0.0064
88b99775-efd8-4957-b94d-5293fceab079	2	179202465	179214417	3	-2.0752
88b99775-efd8-4957-b94d-5293fceab079	2	179218864	188703060	5639	0.0096
88b99775-efd8-4957-b94d-5293fceab079	2	188703229	188715812	26	-0.7163
88b99775-efd8-4957-b94d-5293fceab079	2	188715816	242147305	33124	0.0043
88b99775-efd8-4957-b94d-5293fceab079	3	20930	75519398	52724	-0.0007
88b99775-efd8-4957-b94d-5293fceab079	3	75523398	75537654	6	-1.9839
88b99775-efd8-4957-b94d-5293fceab079	3	75546030	75770101	44	0.139
88b99775-efd8-4957-b94d-5293fceab079	3	75773308	75777035	3	-1.9143
88b99775-efd8-4957-b94d-5293fceab079	3	75778459	88376521	6995	-0.0001
88b99775-efd8-4957-b94d-5293fceab079	3	88377767	88384687	9	-0.9018
88b99775-efd8-4957-b94d-5293fceab079	3	88387070	121866299	17751	-0.0012
88b99775-efd8-4957-b94d-5293fceab079	3	121866785	121869079	2	-1.6651
88b99775-efd8-4957-b94d-5293fceab079	3	121873305	145761336	14700	-0.0082
88b99775-efd8-4957-b94d-5293fceab079	3	145761448	145761775	2	-1.8408
88b99775-efd8-4957-b94d-5293fceab079	3	145762978	158303305	7725	-0.002
88b99775-efd8-4957-b94d-5293fceab079	3	158312308	158312593	4	-1.1579
88b99775-efd8-4957-b94d-5293fceab079	3	158312871	158439717	66	-0.1024
88b99775-efd8-4957-b94d-5293fceab079	3	158440316	158441528	3	-1.2673
88b99775-efd8-4957-b94d-5293fceab079	3	158445978	162815162	2724	-0.0089
88b99775-efd8-4957-b94d-5293fceab079	3	162816942	162822702	6	-1.3211
88b99775-efd8-4957-b94d-5293fceab079	3	162827928	166404642	2075	0.0132
88b99775-efd8-4957-b94d-5293fceab079	3	166408281	166422625	12	0.6401
88b99775-efd8-4957-b94d-5293fceab079	3	166425880	189642489	14628	-0.0004
88b99775-efd8-4957-b94d-5293fceab079	3	189642965	189646849	12	-0.9541
88b99775-efd8-4957-b94d-5293fceab079	3	189653199	193155702	2487	0.0062
88b99775-efd8-4957-b94d-5293fceab079	3	193155761	193162798	13	0.7868
88b99775-efd8-4957-b94d-5293fceab079	3	193162937	195702830	1506	0.0052
88b99775-efd8-4957-b94d-5293fceab079	3	195702853	195751823	34	-0.4663
88b99775-efd8-4957-b94d-5293fceab079	3	195751990	198169247	1165	-0.0082
88b99775-efd8-4957-b94d-5293fceab079	4	68929	8720526	5100	0.0013
88b99775-efd8-4957-b94d-5293fceab079	4	8722817	9496271	70	0.4762
88b99775-efd8-4957-b94d-5293fceab079	4	9499750	10208766	536	0.0068
88b99775-efd8-4957-b94d-5293fceab079	4	10221792	10229874	28	-2.0697
88b99775-efd8-4957-b94d-5293fceab079	4	10232590	14413360	3408	-0.0045
88b99775-efd8-4957-b94d-5293fceab079	4	14414371	14414708	2	-1.4089
88b99775-efd8-4957-b94d-5293fceab079	4	14414919	20558970	4188	-0.0015
88b99775-efd8-4957-b94d-5293fceab079	4	20559065	20562261	35	-0.752
88b99775-efd8-4957-b94d-5293fceab079	4	20562289	21367070	579	-0.0032
88b99775-efd8-4957-b94d-5293fceab079	4	21370380	21370726	5	-0.8459
88b99775-efd8-4957-b94d-5293fceab079	4	21370904	34777382	8760	0.0014
88b99775-efd8-4957-b94d-5293fceab079	4	34777403	34822561	40	0.4797
88b99775-efd8-4957-b94d-5293fceab079	4	34823103	61071220	15058	0.0079
88b99775-efd8-4957-b94d-5293fceab079	4	61075217	61076234	2	-1.796
88b99775-efd8-4957-b94d-5293fceab079	4	61079968	63839481	1514	0.0055
88b99775-efd8-4957-b94d-5293fceab079	4	63839590	63842099	13	-0.4337
88b99775-efd8-4957-b94d-5293fceab079	4	63842411	63842540	4	-1.281
