GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
715ce921-f822-47cc-aec7-3c97cc2a2667	1	62920	98588	12	-0.9291
715ce921-f822-47cc-aec7-3c97cc2a2667	1	98602	16570326	8627	0.0026
715ce921-f822-47cc-aec7-3c97cc2a2667	1	16583114	16721984	39	-0.6295
715ce921-f822-47cc-aec7-3c97cc2a2667	1	16766762	18856284	1500	0.0129
715ce921-f822-47cc-aec7-3c97cc2a2667	1	18859635	18860632	2	-1.5325
715ce921-f822-47cc-aec7-3c97cc2a2667	1	18860749	20556030	1105	0.0023
715ce921-f822-47cc-aec7-3c97cc2a2667	1	20556451	20557010	4	-1.0297
715ce921-f822-47cc-aec7-3c97cc2a2667	1	20557029	25256138	2713	0.0139
715ce921-f822-47cc-aec7-3c97cc2a2667	1	25256188	25359224	37	-0.3535
715ce921-f822-47cc-aec7-3c97cc2a2667	1	25359294	59580430	19973	0.0083
715ce921-f822-47cc-aec7-3c97cc2a2667	1	59586394	59592607	2	-1.7133
715ce921-f822-47cc-aec7-3c97cc2a2667	1	59593034	72305460	8738	0.0189
715ce921-f822-47cc-aec7-3c97cc2a2667	1	72305684	72345465	43	-0.5498
715ce921-f822-47cc-aec7-3c97cc2a2667	1	72346221	103614695	20010	0.0196
715ce921-f822-47cc-aec7-3c97cc2a2667	1	103614714	103760781	11	-1.0799
715ce921-f822-47cc-aec7-3c97cc2a2667	1	103760879	107749064	2546	0.0223
715ce921-f822-47cc-aec7-3c97cc2a2667	1	107750015	107751277	2	1.2967
715ce921-f822-47cc-aec7-3c97cc2a2667	1	107751653	109690352	1024	0.0152
715ce921-f822-47cc-aec7-3c97cc2a2667	1	109690415	109697556	12	-1.8424
715ce921-f822-47cc-aec7-3c97cc2a2667	1	109702376	121705338	7129	0.013
715ce921-f822-47cc-aec7-3c97cc2a2667	1	143459641	144432083	129	-0.785
715ce921-f822-47cc-aec7-3c97cc2a2667	1	144432313	152583230	2310	0.0071
715ce921-f822-47cc-aec7-3c97cc2a2667	1	152583291	152614118	34	-1.8831
715ce921-f822-47cc-aec7-3c97cc2a2667	1	152618018	158989785	3879	0.0138
715ce921-f822-47cc-aec7-3c97cc2a2667	1	158992249	158993006	2	-1.3593
715ce921-f822-47cc-aec7-3c97cc2a2667	1	158997074	169247699	7596	0.0114
715ce921-f822-47cc-aec7-3c97cc2a2667	1	169264736	169272528	7	-3.9879
715ce921-f822-47cc-aec7-3c97cc2a2667	1	169273163	184377962	10050	0.018
715ce921-f822-47cc-aec7-3c97cc2a2667	1	184378490	184378695	2	-1.3636
715ce921-f822-47cc-aec7-3c97cc2a2667	1	184378887	185134141	468	0.0164
715ce921-f822-47cc-aec7-3c97cc2a2667	1	185138722	185159118	11	0.6376
715ce921-f822-47cc-aec7-3c97cc2a2667	1	185160305	209897717	16473	0.0221
715ce921-f822-47cc-aec7-3c97cc2a2667	1	209908268	209910639	3	1.3846
715ce921-f822-47cc-aec7-3c97cc2a2667	1	209913207	248415915	26793	0.0171
715ce921-f822-47cc-aec7-3c97cc2a2667	1	248420269	248471839	18	0.4673
715ce921-f822-47cc-aec7-3c97cc2a2667	1	248473963	248546369	15	-0.0998
715ce921-f822-47cc-aec7-3c97cc2a2667	1	248550567	248645563	36	-2.0849
715ce921-f822-47cc-aec7-3c97cc2a2667	1	248645808	248930189	140	0.0375
715ce921-f822-47cc-aec7-3c97cc2a2667	2	12784	34466002	24059	0.0229
715ce921-f822-47cc-aec7-3c97cc2a2667	2	34474248	34511990	46	-1.949
715ce921-f822-47cc-aec7-3c97cc2a2667	2	34512096	48624013	10204	0.0249
715ce921-f822-47cc-aec7-3c97cc2a2667	2	48626833	48628795	2	-2.4504
715ce921-f822-47cc-aec7-3c97cc2a2667	2	48634765	51309666	1971	0.0412
715ce921-f822-47cc-aec7-3c97cc2a2667	2	51311298	51313307	2	-1.389
715ce921-f822-47cc-aec7-3c97cc2a2667	2	51319583	52514599	810	0.033
715ce921-f822-47cc-aec7-3c97cc2a2667	2	52516787	52527743	8	-1.1226
715ce921-f822-47cc-aec7-3c97cc2a2667	2	52531615	52554366	31	-0.3946
715ce921-f822-47cc-aec7-3c97cc2a2667	2	52554384	86710564	21902	0.027
715ce921-f822-47cc-aec7-3c97cc2a2667	2	86725947	86726731	2	-2.1831
715ce921-f822-47cc-aec7-3c97cc2a2667	2	86743283	87286164	129	-0.0114
715ce921-f822-47cc-aec7-3c97cc2a2667	2	87287256	87295819	3	-1.6703
715ce921-f822-47cc-aec7-3c97cc2a2667	2	87299357	122719438	16866	0.0189
715ce921-f822-47cc-aec7-3c97cc2a2667	2	122722323	122724665	8	-1.176
715ce921-f822-47cc-aec7-3c97cc2a2667	2	122726077	128880504	3881	0.0314
715ce921-f822-47cc-aec7-3c97cc2a2667	2	128880904	128882755	16	-0.6737
715ce921-f822-47cc-aec7-3c97cc2a2667	2	128888874	167316422	23032	0.0206
715ce921-f822-47cc-aec7-3c97cc2a2667	2	167319338	167324930	9	-1.183
715ce921-f822-47cc-aec7-3c97cc2a2667	2	167331418	207486030	24332	0.0258
715ce921-f822-47cc-aec7-3c97cc2a2667	2	207490188	207494752	19	-0.7265
715ce921-f822-47cc-aec7-3c97cc2a2667	2	207494795	242147305	22063	0.0215
715ce921-f822-47cc-aec7-3c97cc2a2667	3	20930	24349	2	-1.381
715ce921-f822-47cc-aec7-3c97cc2a2667	3	26924	1740119	1534	0.0507
715ce921-f822-47cc-aec7-3c97cc2a2667	3	1740840	1745897	6	-0.9896
715ce921-f822-47cc-aec7-3c97cc2a2667	3	1747474	6604856	4269	0.0229
715ce921-f822-47cc-aec7-3c97cc2a2667	3	6609441	6613561	25	-0.6394
715ce921-f822-47cc-aec7-3c97cc2a2667	3	6613684	68697108	41921	0.0158
715ce921-f822-47cc-aec7-3c97cc2a2667	3	68697133	68698262	13	-1.2536
715ce921-f822-47cc-aec7-3c97cc2a2667	3	68699607	89337896	12614	0.0209
715ce921-f822-47cc-aec7-3c97cc2a2667	3	89337951	89360887	29	-0.4263
715ce921-f822-47cc-aec7-3c97cc2a2667	3	89360979	89367382	17	-0.9622
715ce921-f822-47cc-aec7-3c97cc2a2667	3	89367427	89370771	7	-0.4977
715ce921-f822-47cc-aec7-3c97cc2a2667	3	89371081	96670804	1842	0.0392
715ce921-f822-47cc-aec7-3c97cc2a2667	3	96672102	96672116	2	-1.4254
715ce921-f822-47cc-aec7-3c97cc2a2667	3	96675233	98190281	788	0.013
715ce921-f822-47cc-aec7-3c97cc2a2667	3	98194581	98195973	2	-1.3849
715ce921-f822-47cc-aec7-3c97cc2a2667	3	98197104	130068178	19339	0.0187
715ce921-f822-47cc-aec7-3c97cc2a2667	3	130068356	130079938	21	0.5494
715ce921-f822-47cc-aec7-3c97cc2a2667	3	130080170	133303572	2110	0.0044
715ce921-f822-47cc-aec7-3c97cc2a2667	3	133303861	133303967	2	1.659
715ce921-f822-47cc-aec7-3c97cc2a2667	3	133304036	162766594	18119	0.0194
715ce921-f822-47cc-aec7-3c97cc2a2667	3	162767051	162898127	91	0.289
715ce921-f822-47cc-aec7-3c97cc2a2667	3	162906054	162996729	77	0.0492
715ce921-f822-47cc-aec7-3c97cc2a2667	3	162999939	163001774	2	-2.2285
715ce921-f822-47cc-aec7-3c97cc2a2667	3	163008371	173287550	6115	0.0289
715ce921-f822-47cc-aec7-3c97cc2a2667	3	173294482	173890096	417	0.1045
715ce921-f822-47cc-aec7-3c97cc2a2667	3	173891025	175378730	1067	0.0366
715ce921-f822-47cc-aec7-3c97cc2a2667	3	175378757	176041982	396	0.122
715ce921-f822-47cc-aec7-3c97cc2a2667	3	176042772	186688349	6350	0.0105
715ce921-f822-47cc-aec7-3c97cc2a2667	3	186695072	186697745	8	-1.0537
715ce921-f822-47cc-aec7-3c97cc2a2667	3	186698220	193160113	4725	0.0279
715ce921-f822-47cc-aec7-3c97cc2a2667	3	193160173	193165114	19	1.1368
715ce921-f822-47cc-aec7-3c97cc2a2667	3	193168646	198169247	2687	0.0177
715ce921-f822-47cc-aec7-3c97cc2a2667	4	68929	9455251	5151	0.0189
715ce921-f822-47cc-aec7-3c97cc2a2667	4	9459504	9477699	6	-1.0999
715ce921-f822-47cc-aec7-3c97cc2a2667	4	9484440	10208766	539	-0.0237
715ce921-f822-47cc-aec7-3c97cc2a2667	4	10212536	10232642	31	-1.8037
715ce921-f822-47cc-aec7-3c97cc2a2667	4	10232984	34777432	16974	0.0167
715ce921-f822-47cc-aec7-3c97cc2a2667	4	34784878	34823103	38	-0.4933
715ce921-f822-47cc-aec7-3c97cc2a2667	4	34828250	49214614	8973	0.0213
715ce921-f822-47cc-aec7-3c97cc2a2667	4	49289175	49289338	2	-1.9141
715ce921-f822-47cc-aec7-3c97cc2a2667	4	49295203	51823256	25	-0.3026
715ce921-f822-47cc-aec7-3c97cc2a2667	4	51823373	68395346	10431	0.0252
715ce921-f822-47cc-aec7-3c97cc2a2667	4	68416487	68422424	5	-1.1426
715ce921-f822-47cc-aec7-3c97cc2a2667	4	68429081	68506285	12	0.1682
715ce921-f822-47cc-aec7-3c97cc2a2667	4	68509223	68530744	11	0.7295
715ce921-f822-47cc-aec7-3c97cc2a2667	4	68530748	69523998	533	0.0709
715ce921-f822-47cc-aec7-3c97cc2a2667	4	69524143	69525061	2	-2.2751
715ce921-f822-47cc-aec7-3c97cc2a2667	4	69526170	86054941	10317	0.0126
715ce921-f822-47cc-aec7-3c97cc2a2667	4	86055238	86058936	20	-0.6029
715ce921-f822-47cc-aec7-3c97cc2a2667	4	86061275	114252544	16851	0.0227
715ce921-f822-47cc-aec7-3c97cc2a2667	4	114254167	114261019	23	0.6766
