GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
54873d8f-3cbb-4fb3-a5ea-986248555523	1	3301765	7658080	2838	0.0507
54873d8f-3cbb-4fb3-a5ea-986248555523	1	7658713	247543946	126852	0.0131
54873d8f-3cbb-4fb3-a5ea-986248555523	1	247544430	247650984	66	0.0903
54873d8f-3cbb-4fb3-a5ea-986248555523	2	480597	85105322	49496	0.0221
54873d8f-3cbb-4fb3-a5ea-986248555523	2	85105337	85106283	2	-1.755
54873d8f-3cbb-4fb3-a5ea-986248555523	2	85106853	140814540	24366	0.0239
54873d8f-3cbb-4fb3-a5ea-986248555523	2	140815125	140815538	3	-1.2178
54873d8f-3cbb-4fb3-a5ea-986248555523	2	140822635	166249021	14733	0.0215
54873d8f-3cbb-4fb3-a5ea-986248555523	2	166249262	166250418	3	-1.4838
54873d8f-3cbb-4fb3-a5ea-986248555523	2	166252881	208129321	23251	0.016
54873d8f-3cbb-4fb3-a5ea-986248555523	2	208129973	208130203	2	-1.3443
54873d8f-3cbb-4fb3-a5ea-986248555523	2	208130385	241537572	20360	0.0239
54873d8f-3cbb-4fb3-a5ea-986248555523	3	2170634	197812401	107184	0.0135
54873d8f-3cbb-4fb3-a5ea-986248555523	4	1059384	5156957	1878	0.0119
54873d8f-3cbb-4fb3-a5ea-986248555523	4	5157525	5157927	2	-1.5648
54873d8f-3cbb-4fb3-a5ea-986248555523	4	5159044	7150968	1450	0.0226
54873d8f-3cbb-4fb3-a5ea-986248555523	4	7151915	7729833	453	0.0994
54873d8f-3cbb-4fb3-a5ea-986248555523	4	7731337	15067414	4666	0.021
54873d8f-3cbb-4fb3-a5ea-986248555523	4	15073233	15077909	6	-1.0285
54873d8f-3cbb-4fb3-a5ea-986248555523	4	15079750	187842528	95042	0.0149
54873d8f-3cbb-4fb3-a5ea-986248555523	5	913983	9837722	6541	0.0388
54873d8f-3cbb-4fb3-a5ea-986248555523	5	9837887	178670048	93410	0.0125
54873d8f-3cbb-4fb3-a5ea-986248555523	5	178670197	180934240	1167	0.045
54873d8f-3cbb-4fb3-a5ea-986248555523	6	1011760	170596889	97169	0.0126
54873d8f-3cbb-4fb3-a5ea-986248555523	7	664936	2110708	382	0.0776
54873d8f-3cbb-4fb3-a5ea-986248555523	7	2114554	157463385	81060	0.0154
54873d8f-3cbb-4fb3-a5ea-986248555523	7	157465415	158592540	492	0.0985
54873d8f-3cbb-4fb3-a5ea-986248555523	8	667625	9442782	3958	0.0277
54873d8f-3cbb-4fb3-a5ea-986248555523	8	9448220	9522622	55	-1.4466
54873d8f-3cbb-4fb3-a5ea-986248555523	8	9528318	117978790	61445	0.0127
54873d8f-3cbb-4fb3-a5ea-986248555523	8	117979911	120814582	2006	-0.017
54873d8f-3cbb-4fb3-a5ea-986248555523	8	120815228	120815257	3	-1.0361
54873d8f-3cbb-4fb3-a5ea-986248555523	8	120816679	130559717	6556	-0.0071
54873d8f-3cbb-4fb3-a5ea-986248555523	8	130560769	144182542	8198	0.017
54873d8f-3cbb-4fb3-a5ea-986248555523	9	789794	138044505	68474	0.0165
54873d8f-3cbb-4fb3-a5ea-986248555523	10	366509	30764799	21547	0.0123
54873d8f-3cbb-4fb3-a5ea-986248555523	10	30765175	30765248	2	-1.4826
54873d8f-3cbb-4fb3-a5ea-986248555523	10	30765375	43696538	5472	0.0068
54873d8f-3cbb-4fb3-a5ea-986248555523	10	43698061	52183409	3800	0.043
54873d8f-3cbb-4fb3-a5ea-986248555523	10	52184875	72373979	12178	0.0172
54873d8f-3cbb-4fb3-a5ea-986248555523	10	72375477	75292874	1252	-0.0334
54873d8f-3cbb-4fb3-a5ea-986248555523	10	75293898	128261522	34659	0.016
54873d8f-3cbb-4fb3-a5ea-986248555523	10	128268204	133411599	2379	0.0532
54873d8f-3cbb-4fb3-a5ea-986248555523	11	456012	134272740	77559	0.0131
54873d8f-3cbb-4fb3-a5ea-986248555523	12	780472	132605822	74336	0.0135
54873d8f-3cbb-4fb3-a5ea-986248555523	13	18874255	19553745	367	0.0332
54873d8f-3cbb-4fb3-a5ea-986248555523	13	19561562	20034598	37	-0.2262
54873d8f-3cbb-4fb3-a5ea-986248555523	13	20035109	28048267	4769	0.0316
54873d8f-3cbb-4fb3-a5ea-986248555523	13	28048288	53248547	15640	0.0063
54873d8f-3cbb-4fb3-a5ea-986248555523	13	53249374	114226675	36179	0.0252
54873d8f-3cbb-4fb3-a5ea-986248555523	14	20033191	49321339	15086	0.023
54873d8f-3cbb-4fb3-a5ea-986248555523	14	49322263	82558640	20835	0.0077
54873d8f-3cbb-4fb3-a5ea-986248555523	14	82561203	87960415	3442	0.0319
54873d8f-3cbb-4fb3-a5ea-986248555523	14	87960467	93388056	3172	-0.0129
54873d8f-3cbb-4fb3-a5ea-986248555523	14	93393153	95062525	1290	0.0277
54873d8f-3cbb-4fb3-a5ea-986248555523	14	95063724	95064395	2	-1.518
54873d8f-3cbb-4fb3-a5ea-986248555523	14	95069957	105533894	5965	0.0316
54873d8f-3cbb-4fb3-a5ea-986248555523	15	23437561	35847205	5461	0.0334
