GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f413a46e-2b09-429d-8463-286cbcdad0b6	1	62920	5083928	2082	0.1771
f413a46e-2b09-429d-8463-286cbcdad0b6	1	5085006	15822848	6258	0.0302
f413a46e-2b09-429d-8463-286cbcdad0b6	1	15823420	15827430	7	0.8641
f413a46e-2b09-429d-8463-286cbcdad0b6	1	15827706	19605393	2315	0.043
f413a46e-2b09-429d-8463-286cbcdad0b6	1	19606106	20252075	444	0.2981
f413a46e-2b09-429d-8463-286cbcdad0b6	1	20255925	27255435	3745	0.0286
f413a46e-2b09-429d-8463-286cbcdad0b6	1	27258908	28859224	656	0.1002
f413a46e-2b09-429d-8463-286cbcdad0b6	1	28865051	52377580	13153	0.0358
f413a46e-2b09-429d-8463-286cbcdad0b6	1	52377955	55456347	2037	0.0819
f413a46e-2b09-429d-8463-286cbcdad0b6	1	55457312	56235009	602	0.0451
f413a46e-2b09-429d-8463-286cbcdad0b6	1	56236941	70224130	10219	0.0086
f413a46e-2b09-429d-8463-286cbcdad0b6	1	70224766	72302815	1268	0.0483
f413a46e-2b09-429d-8463-286cbcdad0b6	1	72303233	72351338	50	0.4105
f413a46e-2b09-429d-8463-286cbcdad0b6	1	72352916	75584489	1926	0.0097
f413a46e-2b09-429d-8463-286cbcdad0b6	1	75585130	75593824	5	0.6957
f413a46e-2b09-429d-8463-286cbcdad0b6	1	75594194	76388163	632	0.0066
f413a46e-2b09-429d-8463-286cbcdad0b6	1	76393816	76612646	150	0.4238
f413a46e-2b09-429d-8463-286cbcdad0b6	1	76612910	93019705	10649	0.0277
f413a46e-2b09-429d-8463-286cbcdad0b6	1	93021792	95696727	1846	0.1515
f413a46e-2b09-429d-8463-286cbcdad0b6	1	95699010	103587546	4813	0.0407
f413a46e-2b09-429d-8463-286cbcdad0b6	1	103589737	103697364	14	-0.5702
f413a46e-2b09-429d-8463-286cbcdad0b6	1	103717410	105470754	920	0.0394
f413a46e-2b09-429d-8463-286cbcdad0b6	1	105476583	105479753	17	-1.7438
f413a46e-2b09-429d-8463-286cbcdad0b6	1	105481433	109690352	2639	0.0294
f413a46e-2b09-429d-8463-286cbcdad0b6	1	109690415	109697556	12	-1.3681
f413a46e-2b09-429d-8463-286cbcdad0b6	1	109702376	112147704	1951	0.0094
f413a46e-2b09-429d-8463-286cbcdad0b6	1	112153343	112163334	26	0.6079
f413a46e-2b09-429d-8463-286cbcdad0b6	1	112163438	121170716	5080	0.0265
f413a46e-2b09-429d-8463-286cbcdad0b6	1	121201569	121413668	7	0.1923
f413a46e-2b09-429d-8463-286cbcdad0b6	1	121426988	121705338	76	0.6302
f413a46e-2b09-429d-8463-286cbcdad0b6	1	143459641	152295561	2236	0.117
f413a46e-2b09-429d-8463-286cbcdad0b6	1	152298587	152583051	208	0.3868
f413a46e-2b09-429d-8463-286cbcdad0b6	1	152583230	152614118	35	-1.9936
f413a46e-2b09-429d-8463-286cbcdad0b6	1	152618018	153018584	372	0.3259
f413a46e-2b09-429d-8463-286cbcdad0b6	1	153023248	153028238	4	-1.1285
f413a46e-2b09-429d-8463-286cbcdad0b6	1	153028502	169247699	11113	0.0236
f413a46e-2b09-429d-8463-286cbcdad0b6	1	169264736	169272528	7	1.015
f413a46e-2b09-429d-8463-286cbcdad0b6	1	169273163	173404044	2803	0.0212
f413a46e-2b09-429d-8463-286cbcdad0b6	1	173404313	173468638	50	0.1279
