GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	62920	12807507	6509	0.0157
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	12807715	13114062	20	0.5464
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	13118266	16679483	2154	0.0003
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	16685961	16949746	79	0.3057
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	16951445	25256850	5261	0.0059
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	25266637	25320198	22	-1.789
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	25320253	34625857	4950	0.0042
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	34625993	34638890	23	-0.5751
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	34648667	46900456	6767	0.0037
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	46901766	72297687	16999	0.0293
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	72302735	72345465	48	-1.3937
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	72346221	110834746	24453	0.0229
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	110834943	110836273	5	-1.8965
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	110836443	110836709	7	-4.0046
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	110836717	110845604	26	-2.1517
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	110849445	114949777	2770	0.0121
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	114950070	121000674	3401	0.0916
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	121013779	143547055	99	0.006
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	143547139	143709115	72	-0.6853
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	143709361	143714703	17	-0.1653
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	143734438	143927536	29	-0.8194
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	143927887	149844715	896	0.1463
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	149844893	149845018	3	-0.9033
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	149845205	152527952	1362	0.1174
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152531300	152535661	5	-0.5189
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152536086	152583230	54	0.0909
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152583291	152614064	32	-2.1128
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152614100	152787202	169	0.113
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152789447	152795805	33	0.6414
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	152795862	169247699	11288	0.1138
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	169264736	169272528	7	0.8499
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	169273163	170418064	884	0.1029
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	170418190	189679027	12557	0.0712
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	189679353	189679397	2	-1.2541
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	189682917	196762956	4742	0.0625
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196769493	196846661	57	-0.5004
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196847600	196932623	62	0.0857
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196936029	196940515	2	1.2794
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196944667	196981143	25	0.0451
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196983126	196983271	3	0.9829
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	196983282	199138424	1280	0.0509
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	199138468	199144712	12	-0.5826
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	1	199145110	248930189	34440	0.0523
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	12784	34783581	24335	0.0203
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	34783786	34783798	2	-1.7958
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	34784153	38121433	2564	0.0099
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	38122373	38123672	2	-1.375
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	38124827	38727353	416	0.034
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	38728724	38747742	10	0.574
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	38753780	40622258	1302	0.0115
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	40622459	40622473	2	-1.3783
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	40622483	52527423	8517	0.011
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	52527590	52527743	3	-1.7964
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	52531615	128880504	42872	0.009
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	128880904	128882741	15	-3.3378
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	128882755	146104517	10420	0.0035
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	146106836	146109366	24	-1.8837
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	2	146120238	242147305	59061	-0.0012
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	20930	1085498	880	-0.0482
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	1087482	1092761	4	-1.0998
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	1096461	6604856	4934	-0.0138
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	6609441	6611645	23	-0.8439
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	6613391	16956955	7623	-0.0045
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	16958362	16969663	9	-1.0964
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	16978705	26570006	6539	-0.0049
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	26570116	26570394	6	-0.8095
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	26570407	61141148	21867	-0.0051
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	61141532	61142344	3	-1.2382
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	61145227	75519398	10850	0.0022
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	75523398	75537654	6	-1.6697
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	75546030	75828037	59	0.2129
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	75828653	76726446	542	0.0195
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	76728172	90368798	7516	-0.0075
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	90369509	99218940	2855	0.0363
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	99225614	99230577	38	0.393
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	99232120	130044855	18711	0.0238
2e76f6c4-3790-4662-ab4e-ea255fc37ca0	3	130047743	130067097	5	-0.706
