GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
afd13313-993c-4452-b105-d8d6b2836d20	1	3301765	4308381	572	0.0152
afd13313-993c-4452-b105-d8d6b2836d20	1	4308759	4310014	2	-3.0295
afd13313-993c-4452-b105-d8d6b2836d20	1	4310286	247650984	128887	0.0062
afd13313-993c-4452-b105-d8d6b2836d20	2	480597	241537572	131898	0.0061
afd13313-993c-4452-b105-d8d6b2836d20	3	2170634	197812401	106947	0.0061
afd13313-993c-4452-b105-d8d6b2836d20	4	1059384	22445885	13388	0.0074
afd13313-993c-4452-b105-d8d6b2836d20	4	22446550	22448429	3	-1.2335
afd13313-993c-4452-b105-d8d6b2836d20	4	22448499	174453027	83135	0.0055
afd13313-993c-4452-b105-d8d6b2836d20	4	174455068	174455373	2	-1.6937
afd13313-993c-4452-b105-d8d6b2836d20	4	174456148	187842528	6695	0.0089
afd13313-993c-4452-b105-d8d6b2836d20	5	913983	108974972	57154	0.0078
afd13313-993c-4452-b105-d8d6b2836d20	5	108975783	108978336	2	-2.0891
afd13313-993c-4452-b105-d8d6b2836d20	5	108986126	180934240	43716	0.0069
afd13313-993c-4452-b105-d8d6b2836d20	6	1011760	170596889	96931	0.0063
afd13313-993c-4452-b105-d8d6b2836d20	7	664936	82287414	41868	0.0064
afd13313-993c-4452-b105-d8d6b2836d20	7	82295764	82320284	13	-0.8357
afd13313-993c-4452-b105-d8d6b2836d20	7	82324032	158592540	39860	0.0045
afd13313-993c-4452-b105-d8d6b2836d20	8	667625	144182542	82056	0.0073
afd13313-993c-4452-b105-d8d6b2836d20	9	789794	138044505	68338	0.0078
afd13313-993c-4452-b105-d8d6b2836d20	10	366509	83954436	49997	0.0055
afd13313-993c-4452-b105-d8d6b2836d20	10	83954653	83955396	2	-2.3092
afd13313-993c-4452-b105-d8d6b2836d20	10	83955497	133411599	31085	0.0073
afd13313-993c-4452-b105-d8d6b2836d20	11	456012	134272740	77392	0.0075
afd13313-993c-4452-b105-d8d6b2836d20	12	780472	132605822	74178	0.0084
afd13313-993c-4452-b105-d8d6b2836d20	13	18874255	114226675	56841	0.0076
afd13313-993c-4452-b105-d8d6b2836d20	14	20033191	105533894	49670	0.009
afd13313-993c-4452-b105-d8d6b2836d20	15	23437561	101344124	44702	0.0063
afd13313-993c-4452-b105-d8d6b2836d20	16	603333	89317317	41144	0.005
afd13313-993c-4452-b105-d8d6b2836d20	17	1074619	82959812	37226	0.0059
afd13313-993c-4452-b105-d8d6b2836d20	18	326691	79349796	42868	0.0077
afd13313-993c-4452-b105-d8d6b2836d20	19	283868	58370362	24117	0.0071
afd13313-993c-4452-b105-d8d6b2836d20	20	472817	58053260	33927	0.0068
afd13313-993c-4452-b105-d8d6b2836d20	20	58063268	58070378	8	-1.0209
afd13313-993c-4452-b105-d8d6b2836d20	20	58071312	63588502	3549	0.0103
afd13313-993c-4452-b105-d8d6b2836d20	21	13974127	46262057	20537	0.0063
afd13313-993c-4452-b105-d8d6b2836d20	22	16934932	48940621	17068	0.0006
afd13313-993c-4452-b105-d8d6b2836d20	X	3236359	25718213	9625	0.0064
afd13313-993c-4452-b105-d8d6b2836d20	X	25718315	25725589	2	-1.7757
afd13313-993c-4452-b105-d8d6b2836d20	X	25726964	113595298	35225	0.0101
afd13313-993c-4452-b105-d8d6b2836d20	X	113603379	113745698	91	0.4515
afd13313-993c-4452-b105-d8d6b2836d20	X	113749519	134932486	9798	0.0037
afd13313-993c-4452-b105-d8d6b2836d20	X	134932569	134934057	3	-1.7228
afd13313-993c-4452-b105-d8d6b2836d20	X	134935481	155677414	9126	0.0094
