GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b3068552-cd69-4e1f-942d-346a779fefcb	1	62920	98588	12	0.5854
b3068552-cd69-4e1f-942d-346a779fefcb	1	98602	3296382	719	-0.205
b3068552-cd69-4e1f-942d-346a779fefcb	1	3298168	16583114	7838	-0.065
b3068552-cd69-4e1f-942d-346a779fefcb	1	16604834	16636818	11	0.4766
b3068552-cd69-4e1f-942d-346a779fefcb	1	16637050	16643961	15	0.7812
b3068552-cd69-4e1f-942d-346a779fefcb	1	16679239	16721701	10	0.0871
b3068552-cd69-4e1f-942d-346a779fefcb	1	16721910	16855942	16	0.5038
b3068552-cd69-4e1f-942d-346a779fefcb	1	16863509	16935752	55	-0.5556
b3068552-cd69-4e1f-942d-346a779fefcb	1	16949746	23213935	4072	-0.0672
b3068552-cd69-4e1f-942d-346a779fefcb	1	23214050	23214937	3	-1.4499
b3068552-cd69-4e1f-942d-346a779fefcb	1	23222520	25275368	1125	-0.0706
b3068552-cd69-4e1f-942d-346a779fefcb	1	25275481	25319693	14	-0.6299
b3068552-cd69-4e1f-942d-346a779fefcb	1	25320198	55257768	16278	-0.0675
b3068552-cd69-4e1f-942d-346a779fefcb	1	55258350	55258626	6	-2.2431
b3068552-cd69-4e1f-942d-346a779fefcb	1	55263695	72284670	12067	-0.0593
b3068552-cd69-4e1f-942d-346a779fefcb	1	72290430	72297687	9	-1.0831
b3068552-cd69-4e1f-942d-346a779fefcb	1	72302735	72345465	48	1.3836
b3068552-cd69-4e1f-942d-346a779fefcb	1	72346221	72647676	211	-0.0729
b3068552-cd69-4e1f-942d-346a779fefcb	1	72648237	72648418	3	0.954
b3068552-cd69-4e1f-942d-346a779fefcb	1	72652042	73788929	645	-0.07
b3068552-cd69-4e1f-942d-346a779fefcb	1	73789669	74138991	196	0.0936
b3068552-cd69-4e1f-942d-346a779fefcb	1	74148390	84550876	6747	-0.0576
b3068552-cd69-4e1f-942d-346a779fefcb	1	84551489	84551643	2	-1.8036
b3068552-cd69-4e1f-942d-346a779fefcb	1	84552369	103589737	11963	-0.0652
b3068552-cd69-4e1f-942d-346a779fefcb	1	103613021	103764621	19	0.5139
b3068552-cd69-4e1f-942d-346a779fefcb	1	103764636	108951525	3189	-0.0583
b3068552-cd69-4e1f-942d-346a779fefcb	1	108954232	108961034	15	-0.9145
b3068552-cd69-4e1f-942d-346a779fefcb	1	108962290	109684893	324	-0.0637
b3068552-cd69-4e1f-942d-346a779fefcb	1	109690352	109702376	14	-1.0392
b3068552-cd69-4e1f-942d-346a779fefcb	1	109703504	119602851	6649	-0.0633
b3068552-cd69-4e1f-942d-346a779fefcb	1	119605804	119606894	2	-1.8393
b3068552-cd69-4e1f-942d-346a779fefcb	1	119608060	120885464	295	-0.0923
b3068552-cd69-4e1f-942d-346a779fefcb	1	120885477	120954128	2	-1.2713
b3068552-cd69-4e1f-942d-346a779fefcb	1	120954165	143494500	96	-0.008
b3068552-cd69-4e1f-942d-346a779fefcb	1	143541857	143927887	124	0.7354
b3068552-cd69-4e1f-942d-346a779fefcb	1	143928045	144442342	7	-0.3434
