GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
05df16cd-58e7-435d-88b0-f04493e3838e	1	3301765	5003792	1239	0.0313
05df16cd-58e7-435d-88b0-f04493e3838e	1	5004070	5004145	2	-1.1797
05df16cd-58e7-435d-88b0-f04493e3838e	1	5005790	12294250	3875	0.0263
05df16cd-58e7-435d-88b0-f04493e3838e	1	12295430	12295446	2	-1.2063
05df16cd-58e7-435d-88b0-f04493e3838e	1	12297031	13526460	298	0.0299
05df16cd-58e7-435d-88b0-f04493e3838e	1	13529113	13529263	3	-1.7786
05df16cd-58e7-435d-88b0-f04493e3838e	1	13529289	233586764	115306	0.0189
05df16cd-58e7-435d-88b0-f04493e3838e	1	233589354	233611792	24	-1.7708
05df16cd-58e7-435d-88b0-f04493e3838e	1	233618245	239848610	4533	0.0162
05df16cd-58e7-435d-88b0-f04493e3838e	1	239851866	239851879	2	-1.3143
05df16cd-58e7-435d-88b0-f04493e3838e	1	239852008	247429840	4326	0.0175
05df16cd-58e7-435d-88b0-f04493e3838e	1	247430414	247431288	2	-1.5333
05df16cd-58e7-435d-88b0-f04493e3838e	1	247433449	247650984	147	0.0014
05df16cd-58e7-435d-88b0-f04493e3838e	2	480597	241537572	132223	0.0165
05df16cd-58e7-435d-88b0-f04493e3838e	3	2170634	61141148	33733	0.0188
05df16cd-58e7-435d-88b0-f04493e3838e	3	61141532	61142344	3	-1.3485
05df16cd-58e7-435d-88b0-f04493e3838e	3	61145227	136230515	41671	0.0204
05df16cd-58e7-435d-88b0-f04493e3838e	3	136233270	136238491	7	-1.2199
05df16cd-58e7-435d-88b0-f04493e3838e	3	136242407	144895685	4495	0.0203
05df16cd-58e7-435d-88b0-f04493e3838e	3	144899179	144899523	3	-1.2339
05df16cd-58e7-435d-88b0-f04493e3838e	3	144900660	150140863	2576	0.0183
05df16cd-58e7-435d-88b0-f04493e3838e	3	150141312	150141488	3	-1.6294
05df16cd-58e7-435d-88b0-f04493e3838e	3	150144654	197812401	24713	0.0138
05df16cd-58e7-435d-88b0-f04493e3838e	4	1059384	53200838	29134	0.0151
05df16cd-58e7-435d-88b0-f04493e3838e	4	53204794	53214075	6	-1.0194
05df16cd-58e7-435d-88b0-f04493e3838e	4	53220572	97515194	25213	0.0166
05df16cd-58e7-435d-88b0-f04493e3838e	4	97520435	97521463	3	-1.5845
05df16cd-58e7-435d-88b0-f04493e3838e	4	97521550	102766385	2922	0.0131
05df16cd-58e7-435d-88b0-f04493e3838e	4	102769957	102790415	11	0.6951
05df16cd-58e7-435d-88b0-f04493e3838e	4	102796972	187842528	46237	0.0142
05df16cd-58e7-435d-88b0-f04493e3838e	5	913983	4662408	2422	0.016
05df16cd-58e7-435d-88b0-f04493e3838e	5	4664344	4665065	4	0.9867
05df16cd-58e7-435d-88b0-f04493e3838e	5	4668101	17957233	8625	0.0174
05df16cd-58e7-435d-88b0-f04493e3838e	5	17960987	18002560	3	-1.3106
05df16cd-58e7-435d-88b0-f04493e3838e	5	18002966	105666124	44338	0.0188
05df16cd-58e7-435d-88b0-f04493e3838e	5	105668983	105671826	4	-1.1252
05df16cd-58e7-435d-88b0-f04493e3838e	5	105677491	111573675	3342	0.0212
05df16cd-58e7-435d-88b0-f04493e3838e	5	111573806	111574957	4	-1.058
05df16cd-58e7-435d-88b0-f04493e3838e	5	111575348	121226197	6013	0.0221
05df16cd-58e7-435d-88b0-f04493e3838e	5	121229224	121234299	5	-1.3621
05df16cd-58e7-435d-88b0-f04493e3838e	5	121239953	180934240	36367	0.0161
05df16cd-58e7-435d-88b0-f04493e3838e	6	1011760	155783230	89170	0.0199
05df16cd-58e7-435d-88b0-f04493e3838e	6	155787112	155806780	14	-1.1398
05df16cd-58e7-435d-88b0-f04493e3838e	6	155807672	170596889	7977	0.0157
05df16cd-58e7-435d-88b0-f04493e3838e	7	664936	20488523	9857	0.019
05df16cd-58e7-435d-88b0-f04493e3838e	7	20491144	20495248	7	-1.2027
05df16cd-58e7-435d-88b0-f04493e3838e	7	20497561	158592540	72094	0.0199
05df16cd-58e7-435d-88b0-f04493e3838e	8	667625	144182542	82248	0.0176
05df16cd-58e7-435d-88b0-f04493e3838e	9	789794	7725521	4257	0.0228
05df16cd-58e7-435d-88b0-f04493e3838e	9	7727062	7727088	2	-1.7026
05df16cd-58e7-435d-88b0-f04493e3838e	9	7727388	138044505	64232	0.0188
05df16cd-58e7-435d-88b0-f04493e3838e	10	366509	69639452	41116	0.0176
05df16cd-58e7-435d-88b0-f04493e3838e	10	69640477	69641261	3	-1.472
05df16cd-58e7-435d-88b0-f04493e3838e	10	69641364	117851693	30215	0.0211
05df16cd-58e7-435d-88b0-f04493e3838e	10	117852318	117852887	2	-1.6063
05df16cd-58e7-435d-88b0-f04493e3838e	10	117854833	133411599	9969	0.016
05df16cd-58e7-435d-88b0-f04493e3838e	11	456012	134272740	77594	0.0172
05df16cd-58e7-435d-88b0-f04493e3838e	12	780472	59780047	31189	0.0205
05df16cd-58e7-435d-88b0-f04493e3838e	12	59780097	59793884	8	-0.7263
05df16cd-58e7-435d-88b0-f04493e3838e	12	59807661	81818870	13593	0.0177
05df16cd-58e7-435d-88b0-f04493e3838e	12	81825597	81828773	4	-1.057
05df16cd-58e7-435d-88b0-f04493e3838e	12	81839500	82863210	574	0.0213
05df16cd-58e7-435d-88b0-f04493e3838e	12	82863591	82864432	5	-1.1731
05df16cd-58e7-435d-88b0-f04493e3838e	12	82871667	90495927	4252	0.0148
05df16cd-58e7-435d-88b0-f04493e3838e	12	90498540	90504131	6	-0.9116
05df16cd-58e7-435d-88b0-f04493e3838e	12	90507965	94843682	2911	0.0171
05df16cd-58e7-435d-88b0-f04493e3838e	12	94844441	94844551	3	1.1821
05df16cd-58e7-435d-88b0-f04493e3838e	12	94845229	99417243	3117	0.0202
05df16cd-58e7-435d-88b0-f04493e3838e	12	99417270	99417280	2	-1.8724
05df16cd-58e7-435d-88b0-f04493e3838e	12	99417781	132605822	18687	0.0197
05df16cd-58e7-435d-88b0-f04493e3838e	13	18874255	114226675	57009	0.0165
05df16cd-58e7-435d-88b0-f04493e3838e	14	20033191	34828587	8103	0.0184
05df16cd-58e7-435d-88b0-f04493e3838e	14	34829886	34837959	5	-1.2069
05df16cd-58e7-435d-88b0-f04493e3838e	14	34841880	74414090	22507	0.0196
05df16cd-58e7-435d-88b0-f04493e3838e	14	74414604	74416126	4	-1.237
05df16cd-58e7-435d-88b0-f04493e3838e	14	74416975	100704151	17130	0.0158
05df16cd-58e7-435d-88b0-f04493e3838e	14	100704187	100704203	2	-1.355
05df16cd-58e7-435d-88b0-f04493e3838e	14	100711730	105533894	2050	0.0202
05df16cd-58e7-435d-88b0-f04493e3838e	15	23437561	33980704	4493	0.0182
05df16cd-58e7-435d-88b0-f04493e3838e	15	33980809	33980913	3	-1.4788
05df16cd-58e7-435d-88b0-f04493e3838e	15	33981076	56443492	13258	0.0188
05df16cd-58e7-435d-88b0-f04493e3838e	15	56444230	56444380	3	-1.5352
05df16cd-58e7-435d-88b0-f04493e3838e	15	56445727	101344124	27039	0.0206
05df16cd-58e7-435d-88b0-f04493e3838e	16	603333	89317317	41222	0.0195
05df16cd-58e7-435d-88b0-f04493e3838e	17	1074619	9581857	4313	0.0126
05df16cd-58e7-435d-88b0-f04493e3838e	17	9583764	9583987	2	-1.4031
