GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	62920	72303233	42735	-0.0002
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	72303253	72345465	45	1.1605
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	72346221	92108206	12941	0.005
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	92113687	92119483	6	-0.9564
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	92120274	105470754	7984	0.0048
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	105476583	105479753	17	-2.3452
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	105481433	119572930	9337	0.0075
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	119575373	119580703	12	-0.6016
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	119580764	155210569	4439	0.0059
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	155210675	155231273	12	0.9539
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	155241876	166579136	7858	0.0109
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	166582964	166583858	6	-1.0207
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	166584258	178689682	8094	0.007
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	178690798	178705053	54	-0.8314
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	178707731	196745743	12065	0.0068
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	196758720	196832525	57	-1.9136
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	196832720	215194437	12411	0.006
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	215197227	215207418	11	-1.5761
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	215207922	248546369	23171	0.0052
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	248550567	248645563	36	-0.7448
bbb413a2-f087-4e3a-b67d-29d39e4c45fa	1	248645808	248930189	139	-0.059
