GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	3301765	7874094	2973	-0.0228
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	7874111	12366567	2179	0.031
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	12366666	23022239	5969	-0.0185
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	23025073	29425197	2758	0.0482
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	29426937	45151640	8787	-0.0046
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	45153815	45170130	9	-1.0603
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	45172888	49352462	2231	-0.0068
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	49355791	49365708	7	-0.9875
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	49367395	60190921	6756	-0.0047
54e81f6d-f990-4e06-afee-5f6e69d200d1	1	60191250	247650984	98153	0.0231
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	480597	137203399	72228	0.0135
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	137205782	139250085	806	0.0503
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	139250852	139255710	2	-1.3761
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	139255933	142719167	2152	0.0463
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	142720845	142723181	2	-1.8148
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	142723619	175334568	19189	0.0362
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	175334837	175345944	8	-1.0859
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	175347662	229465183	30935	0.0358
54e81f6d-f990-4e06-afee-5f6e69d200d1	2	229465775	241537572	6951	0.0091
54e81f6d-f990-4e06-afee-5f6e69d200d1	3	2170634	73597737	42837	0.0086
54e81f6d-f990-4e06-afee-5f6e69d200d1	3	73599519	181603477	55937	0.029
54e81f6d-f990-4e06-afee-5f6e69d200d1	3	181605239	197812401	8466	0.0141
54e81f6d-f990-4e06-afee-5f6e69d200d1	4	1059384	15103211	8493	-0.0099
54e81f6d-f990-4e06-afee-5f6e69d200d1	4	15103688	39939100	15711	0.0258
54e81f6d-f990-4e06-afee-5f6e69d200d1	4	39941248	39947513	4	1.3288
54e81f6d-f990-4e06-afee-5f6e69d200d1	4	39952550	187842528	79357	0.0261
54e81f6d-f990-4e06-afee-5f6e69d200d1	5	913983	8376890	5386	-0.0009
54e81f6d-f990-4e06-afee-5f6e69d200d1	5	8383201	168418786	88553	0.024
54e81f6d-f990-4e06-afee-5f6e69d200d1	5	168419017	180934240	7231	-0.0043
54e81f6d-f990-4e06-afee-5f6e69d200d1	6	1011760	54073513	32250	0.0063
54e81f6d-f990-4e06-afee-5f6e69d200d1	6	54074718	166125319	63384	0.028
54e81f6d-f990-4e06-afee-5f6e69d200d1	6	166126896	170596889	1583	0.0091
54e81f6d-f990-4e06-afee-5f6e69d200d1	7	664936	158592540	81995	0.023
54e81f6d-f990-4e06-afee-5f6e69d200d1	8	667625	62400733	34269	0.0121
54e81f6d-f990-4e06-afee-5f6e69d200d1	8	62400913	117827940	31141	0.0293
54e81f6d-f990-4e06-afee-5f6e69d200d1	8	117829161	135760094	12734	0.01
