GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	1	3301765	69361085	38041	0.0004
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	1	69362780	69362837	2	-1.9182
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	1	69365297	238691981	86429	0.0026
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	1	238692338	238692794	3	-1.1636
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	1	238699149	247650984	5292	-0.0059
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	2	480597	241537572	132223	0.0066
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	2170634	105002720	57187	0.0011
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	105004403	105005007	6	-1.3054
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	105009578	158452897	29942	0.0021
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	158454344	158456099	3	-1.2802
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	158458805	169035941	4988	0.0004
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	169037795	169038625	3	-1.4698
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	3	169039699	197812401	15061	-0.0005
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	4	1059384	72603999	39709	0.0005
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	4	72607752	72608343	2	-2.8993
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	4	72608964	111753426	22589	-0.0027
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	4	111755632	111759439	13	-0.99
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	4	111763595	187842528	41204	-0.0017
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	913983	105666124	55393	0.0001
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	105668983	105671826	3	-2.9948
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	105677491	148270005	25280	-0.0004
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	148272996	148290011	3	-1.3185
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	148291455	155024317	4466	0.0034
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	155024876	155024889	2	-1.3264
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	5	155026260	180934240	15977	0.0065
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	1011760	24946443	16967	0.0031
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	24947544	24947577	2	1.524
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	24950971	102856507	39915	0
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	102856872	102856893	2	-1.4968
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	102856913	165459827	38223	-0.002
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	165462868	165480270	13	0.5375
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	165482803	169663558	1783	0.0053
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	169664479	169664747	2	1.1785
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	6	169670627	170596889	281	-0.0099
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	7	664936	88503107	45383	0.0016
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	7	88507579	88517017	6	-0.8666
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	7	90266400	158592540	36560	0.0025
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	667625	79158462	43866	0.0016
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	79158718	79162234	3	-1.4209
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	79168184	87503165	4363	0.0038
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	87503497	87503681	5	-1.2776
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	87503893	102587468	8871	0.0038
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	102590555	102592811	4	-1.0929
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	102594818	104447802	1067	-0.0015
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	104449428	104452426	2	-3.4606
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	8	104453645	144182542	24049	0.0016
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	789794	4120725	2397	0.0076
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	4121848	4123868	4	-1.0432
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	4124377	83898356	32007	-0.0005
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	83899540	83902079	5	0.9464
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	83902625	85823088	1377	0.0053
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	85826914	85830791	3	-1.7825
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	85831172	104597890	11719	0.0047
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	104609372	104614673	16	-1.0684
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	9	104615150	138044505	20973	-0.0002
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	10	366509	68441912	40402	0.0001
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	10	68442786	68506691	25	0.9633
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	10	68510208	133411599	40885	0.0026
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	11	456012	35823380	22908	0.0011
b0e1a097-322d-4e21-8e17-5dc0f0c54d5d	11	35824010	35827852	2	-3.0015
