GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
afb999b8-8e00-44c4-8a1f-1be051a82745	1	62920	16721910	8688	0.0074
afb999b8-8e00-44c4-8a1f-1be051a82745	1	16721984	16959824	77	0.3731
afb999b8-8e00-44c4-8a1f-1be051a82745	1	16965399	30261189	7667	0.0013
afb999b8-8e00-44c4-8a1f-1be051a82745	1	30264526	30266949	8	-1.0999
afb999b8-8e00-44c4-8a1f-1be051a82745	1	30268649	72302735	26347	0.0032
afb999b8-8e00-44c4-8a1f-1be051a82745	1	72302815	72331180	26	0.407
afb999b8-8e00-44c4-8a1f-1be051a82745	1	72331209	72343036	12	-0.1272
afb999b8-8e00-44c4-8a1f-1be051a82745	1	72343068	72346757	11	0.5604
afb999b8-8e00-44c4-8a1f-1be051a82745	1	72351072	103616762	20036	0.0037
afb999b8-8e00-44c4-8a1f-1be051a82745	1	103620877	103717410	5	1.5936
afb999b8-8e00-44c4-8a1f-1be051a82745	1	103717617	105470132	918	0.0277
afb999b8-8e00-44c4-8a1f-1be051a82745	1	105470754	105479753	18	0.6275
afb999b8-8e00-44c4-8a1f-1be051a82745	1	105481433	109640399	2622	0.0065
afb999b8-8e00-44c4-8a1f-1be051a82745	1	109642611	109690352	16	-0.2716
afb999b8-8e00-44c4-8a1f-1be051a82745	1	109690415	109697556	12	0.9892
afb999b8-8e00-44c4-8a1f-1be051a82745	1	109702376	169264736	21110	0.008
afb999b8-8e00-44c4-8a1f-1be051a82745	1	169265291	169272528	5	-1.9466
afb999b8-8e00-44c4-8a1f-1be051a82745	1	169273163	196762956	18187	0.009
afb999b8-8e00-44c4-8a1f-1be051a82745	1	196769493	196846661	57	-0.4061
afb999b8-8e00-44c4-8a1f-1be051a82745	1	196847600	209895652	8788	0.005
afb999b8-8e00-44c4-8a1f-1be051a82745	1	209897717	209908720	3	-1.2375
afb999b8-8e00-44c4-8a1f-1be051a82745	1	209910639	215687122	3892	0.0106
afb999b8-8e00-44c4-8a1f-1be051a82745	1	215687267	215688069	3	1.0957
afb999b8-8e00-44c4-8a1f-1be051a82745	1	215688127	236118155	13928	0.0033
afb999b8-8e00-44c4-8a1f-1be051a82745	1	236122114	236127405	6	-1.2321
afb999b8-8e00-44c4-8a1f-1be051a82745	1	236128593	243690894	5835	0.0092
afb999b8-8e00-44c4-8a1f-1be051a82745	1	243697622	243697743	4	-1.4663
afb999b8-8e00-44c4-8a1f-1be051a82745	1	243697759	248525264	3182	0.0041
afb999b8-8e00-44c4-8a1f-1be051a82745	1	248525284	248661836	43	-0.6806
afb999b8-8e00-44c4-8a1f-1be051a82745	1	248661962	248930189	137	0.016
afb999b8-8e00-44c4-8a1f-1be051a82745	2	12784	14059468	10616	-0.0024
afb999b8-8e00-44c4-8a1f-1be051a82745	2	14061503	14064392	9	-1.4891
afb999b8-8e00-44c4-8a1f-1be051a82745	2	14064940	34466002	13469	-0.0021
afb999b8-8e00-44c4-8a1f-1be051a82745	2	34474248	34511990	46	-2.3317
afb999b8-8e00-44c4-8a1f-1be051a82745	2	34512096	146104517	66320	0.0042
afb999b8-8e00-44c4-8a1f-1be051a82745	2	146106836	146109366	24	-1.985
afb999b8-8e00-44c4-8a1f-1be051a82745	2	146120238	166726382	12292	0.0044
afb999b8-8e00-44c4-8a1f-1be051a82745	2	166740228	166744975	3	-1.1676
afb999b8-8e00-44c4-8a1f-1be051a82745	2	166745005	176394114	6134	0.0006
afb999b8-8e00-44c4-8a1f-1be051a82745	2	176402448	176407805	2	1.4349
afb999b8-8e00-44c4-8a1f-1be051a82745	2	176410410	184260262	5064	0.0028
afb999b8-8e00-44c4-8a1f-1be051a82745	2	184260578	184261045	7	-0.8314
afb999b8-8e00-44c4-8a1f-1be051a82745	2	184261884	242147305	35572	0.0018
afb999b8-8e00-44c4-8a1f-1be051a82745	3	20930	189776	156	-0.0247
afb999b8-8e00-44c4-8a1f-1be051a82745	3	190956	191117	2	-1.6704
afb999b8-8e00-44c4-8a1f-1be051a82745	3	193194	3011548	2464	-0.0075
afb999b8-8e00-44c4-8a1f-1be051a82745	3	3013038	3013068	2	1.6902
afb999b8-8e00-44c4-8a1f-1be051a82745	3	3013366	65200174	42701	-0.001
afb999b8-8e00-44c4-8a1f-1be051a82745	3	65202778	65231981	62	-0.5693
afb999b8-8e00-44c4-8a1f-1be051a82745	3	65232734	68697013	2416	-0.0092
afb999b8-8e00-44c4-8a1f-1be051a82745	3	68697108	68699607	15	0.9953
afb999b8-8e00-44c4-8a1f-1be051a82745	3	68699635	75478054	4911	-0.0018
afb999b8-8e00-44c4-8a1f-1be051a82745	3	75481744	75547095	26	0.3631
afb999b8-8e00-44c4-8a1f-1be051a82745	3	75559488	99226455	10987	0.0054
afb999b8-8e00-44c4-8a1f-1be051a82745	3	99226551	99230212	13	-0.9036
afb999b8-8e00-44c4-8a1f-1be051a82745	3	99230225	125713562	16249	0.0022
afb999b8-8e00-44c4-8a1f-1be051a82745	3	125716420	125739919	13	0.701
afb999b8-8e00-44c4-8a1f-1be051a82745	3	125743486	130044016	2458	-0.0067
afb999b8-8e00-44c4-8a1f-1be051a82745	3	130044855	130089433	41	0.4799
afb999b8-8e00-44c4-8a1f-1be051a82745	3	130089968	131987852	1164	0.0054
afb999b8-8e00-44c4-8a1f-1be051a82745	3	131989313	131989627	2	-2.1494
afb999b8-8e00-44c4-8a1f-1be051a82745	3	131996155	143566923	7199	-0.002
afb999b8-8e00-44c4-8a1f-1be051a82745	3	143566958	143567959	5	-0.9191
afb999b8-8e00-44c4-8a1f-1be051a82745	3	143568209	146730707	2060	-0.0106
afb999b8-8e00-44c4-8a1f-1be051a82745	3	146731712	146758696	13	-0.4915
afb999b8-8e00-44c4-8a1f-1be051a82745	3	146759265	162822221	9847	0.0018
afb999b8-8e00-44c4-8a1f-1be051a82745	3	162822685	162822702	2	-1.5631
afb999b8-8e00-44c4-8a1f-1be051a82745	3	162827928	162996729	120	0.0069
afb999b8-8e00-44c4-8a1f-1be051a82745	3	162999939	163001774	2	-3.3
afb999b8-8e00-44c4-8a1f-1be051a82745	3	163008371	187877506	15270	0.0001
afb999b8-8e00-44c4-8a1f-1be051a82745	3	187877590	187877925	2	1.5109
afb999b8-8e00-44c4-8a1f-1be051a82745	3	187877952	190538297	1991	-0.0037
afb999b8-8e00-44c4-8a1f-1be051a82745	3	190542248	190542906	3	-1.538
afb999b8-8e00-44c4-8a1f-1be051a82745	3	190543126	193155915	1830	-0.0047
afb999b8-8e00-44c4-8a1f-1be051a82745	3	193156018	193165114	22	-1.2484
afb999b8-8e00-44c4-8a1f-1be051a82745	3	193168646	194941224	1187	-0.0112
afb999b8-8e00-44c4-8a1f-1be051a82745	3	194948867	194952897	2	-1.783
afb999b8-8e00-44c4-8a1f-1be051a82745	3	194953385	195558822	294	-0.0019
afb999b8-8e00-44c4-8a1f-1be051a82745	3	195559056	195729177	34	0.6122
afb999b8-8e00-44c4-8a1f-1be051a82745	3	195730018	198169247	1177	0.0073
afb999b8-8e00-44c4-8a1f-1be051a82745	4	68929	9455251	5160	-0.0002
afb999b8-8e00-44c4-8a1f-1be051a82745	4	9459504	9484440	7	0.9791
afb999b8-8e00-44c4-8a1f-1be051a82745	4	9494650	10208766	539	-0.0021
afb999b8-8e00-44c4-8a1f-1be051a82745	4	10221792	10229874	28	-1.9873
afb999b8-8e00-44c4-8a1f-1be051a82745	4	10232590	10233644	7	-0.8345
afb999b8-8e00-44c4-8a1f-1be051a82745	4	10234518	10389091	171	-0.0358
afb999b8-8e00-44c4-8a1f-1be051a82745	4	10390730	10398532	14	0.6349
afb999b8-8e00-44c4-8a1f-1be051a82745	4	10398887	13269760	2327	0.004
afb999b8-8e00-44c4-8a1f-1be051a82745	4	13272224	13274333	2	-1.5024
afb999b8-8e00-44c4-8a1f-1be051a82745	4	13275028	34777432	14467	0.0037
afb999b8-8e00-44c4-8a1f-1be051a82745	4	34784878	34823103	38	-0.6747
afb999b8-8e00-44c4-8a1f-1be051a82745	4	34828250	48180135	8462	0.0015
afb999b8-8e00-44c4-8a1f-1be051a82745	4	48180232	48188521	19	0.514
afb999b8-8e00-44c4-8a1f-1be051a82745	4	48188569	63827261	8075	0.0088
afb999b8-8e00-44c4-8a1f-1be051a82745	4	63828222	63850713	30	0.5901
afb999b8-8e00-44c4-8a1f-1be051a82745	4	63851308	114254188	30648	0.0039
afb999b8-8e00-44c4-8a1f-1be051a82745	4	114254202	114263110	24	0.6375
afb999b8-8e00-44c4-8a1f-1be051a82745	4	114263154	114586468	223	-0.0029
afb999b8-8e00-44c4-8a1f-1be051a82745	4	114587010	114589298	3	-1.2899
afb999b8-8e00-44c4-8a1f-1be051a82745	4	114593270	157639988	25677	0.0043
afb999b8-8e00-44c4-8a1f-1be051a82745	4	157640195	157640571	4	-1.141
afb999b8-8e00-44c4-8a1f-1be051a82745	4	157640707	172066777	9161	0.0029
afb999b8-8e00-44c4-8a1f-1be051a82745	4	172067997	172074828	13	0.9917
afb999b8-8e00-44c4-8a1f-1be051a82745	4	172075742	172501371	229	-0.0015
afb999b8-8e00-44c4-8a1f-1be051a82745	4	172503796	172507492	7	1.2614
afb999b8-8e00-44c4-8a1f-1be051a82745	4	172519981	188515761	10915	0.0063
afb999b8-8e00-44c4-8a1f-1be051a82745	4	188515932	188516256	8	-1.0989
afb999b8-8e00-44c4-8a1f-1be051a82745	4	188518718	189267889	570	0.0068
afb999b8-8e00-44c4-8a1f-1be051a82745	4	189273964	189278110	4	-2.9188
afb999b8-8e00-44c4-8a1f-1be051a82745	4	189278617	190106768	350	0.0001
afb999b8-8e00-44c4-8a1f-1be051a82745	5	15532	11161513	9100	-0.0003
afb999b8-8e00-44c4-8a1f-1be051a82745	5	11162524	11162659	3	-1.2294
afb999b8-8e00-44c4-8a1f-1be051a82745	5	11167165	12819201	1092	0.0025
afb999b8-8e00-44c4-8a1f-1be051a82745	5	12819263	12838421	11	-1.8157
