GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a6c0c588-2e05-4e83-a010-a6247e217211	1	62920	82650	7	0.3939
a6c0c588-2e05-4e83-a010-a6247e217211	1	85936	86341	4	1.1823
a6c0c588-2e05-4e83-a010-a6247e217211	1	98588	983193	57	0.0638
a6c0c588-2e05-4e83-a010-a6247e217211	1	987641	3304487	671	-0.0902
a6c0c588-2e05-4e83-a010-a6247e217211	1	3305057	64963532	37208	0.0187
a6c0c588-2e05-4e83-a010-a6247e217211	1	64963643	64964291	6	-1.0212
a6c0c588-2e05-4e83-a010-a6247e217211	1	64969380	72297687	4788	0.0227
a6c0c588-2e05-4e83-a010-a6247e217211	1	72302735	72345465	48	-1.3652
a6c0c588-2e05-4e83-a010-a6247e217211	1	72346221	91238876	12337	0.0247
a6c0c588-2e05-4e83-a010-a6247e217211	1	91239287	91256118	10	-0.8827
a6c0c588-2e05-4e83-a010-a6247e217211	1	91260008	103199785	7531	0.0189
a6c0c588-2e05-4e83-a010-a6247e217211	1	103201695	103203224	3	-1.1175
a6c0c588-2e05-4e83-a010-a6247e217211	1	103204696	103589737	119	0.0043
a6c0c588-2e05-4e83-a010-a6247e217211	1	103613021	103717410	14	-1.0704
a6c0c588-2e05-4e83-a010-a6247e217211	1	103717617	105476688	922	0.0019
a6c0c588-2e05-4e83-a010-a6247e217211	1	105476748	105479753	14	0.5192
a6c0c588-2e05-4e83-a010-a6247e217211	1	105481433	107970862	1769	0.0225
a6c0c588-2e05-4e83-a010-a6247e217211	1	107971392	107972725	3	-1.3779
a6c0c588-2e05-4e83-a010-a6247e217211	1	107976248	109690415	865	0.0252
a6c0c588-2e05-4e83-a010-a6247e217211	1	109690431	109692006	8	-1.1259
a6c0c588-2e05-4e83-a010-a6247e217211	1	109696900	110828100	834	0.0153
a6c0c588-2e05-4e83-a010-a6247e217211	1	110828115	110852244	51	0.2632
a6c0c588-2e05-4e83-a010-a6247e217211	1	110852488	112147704	1066	0.0219
a6c0c588-2e05-4e83-a010-a6247e217211	1	112153343	112154619	23	-2.429
a6c0c588-2e05-4e83-a010-a6247e217211	1	112154754	112163460	6	0.138
a6c0c588-2e05-4e83-a010-a6247e217211	1	112163496	112211365	61	0.05
a6c0c588-2e05-4e83-a010-a6247e217211	1	112213831	112231977	9	-0.6732
a6c0c588-2e05-4e83-a010-a6247e217211	1	112232517	143748012	5181	0.01
a6c0c588-2e05-4e83-a010-a6247e217211	1	143748074	143760271	20	0.5867
a6c0c588-2e05-4e83-a010-a6247e217211	1	143762042	152583051	2325	0.0076
a6c0c588-2e05-4e83-a010-a6247e217211	1	152583230	152614118	35	1.3401
a6c0c588-2e05-4e83-a010-a6247e217211	1	152618018	158896783	3814	0.0165
a6c0c588-2e05-4e83-a010-a6247e217211	1	158898711	158899969	2	2.0681
a6c0c588-2e05-4e83-a010-a6247e217211	1	158905028	161648901	1650	0.0193
a6c0c588-2e05-4e83-a010-a6247e217211	1	161649069	161649222	5	1.0171
a6c0c588-2e05-4e83-a010-a6247e217211	1	161649268	167795598	4891	0.0218
a6c0c588-2e05-4e83-a010-a6247e217211	1	167796946	167797213	3	-1.5617
a6c0c588-2e05-4e83-a010-a6247e217211	1	167797682	169247699	1111	0.0194
a6c0c588-2e05-4e83-a010-a6247e217211	1	169264736	169269507	6	0.8098
a6c0c588-2e05-4e83-a010-a6247e217211	1	169272528	179402260	6637	0.0174
a6c0c588-2e05-4e83-a010-a6247e217211	1	179403407	179406062	2	-2.0823
a6c0c588-2e05-4e83-a010-a6247e217211	1	179412167	248930189	47374	0.018
a6c0c588-2e05-4e83-a010-a6247e217211	2	12784	1286874	840	-0.0139
a6c0c588-2e05-4e83-a010-a6247e217211	2	1287127	1816288	330	-0.1043
a6c0c588-2e05-4e83-a010-a6247e217211	2	1817522	3147886	1012	0.0166
a6c0c588-2e05-4e83-a010-a6247e217211	2	3148670	3206425	77	-0.2036
a6c0c588-2e05-4e83-a010-a6247e217211	2	3207834	24376374	15653	0.02
a6c0c588-2e05-4e83-a010-a6247e217211	2	24376380	24388858	21	-0.8124
a6c0c588-2e05-4e83-a010-a6247e217211	2	24390690	34466002	6135	0.0205
a6c0c588-2e05-4e83-a010-a6247e217211	2	34474248	34511990	46	0.4821
a6c0c588-2e05-4e83-a010-a6247e217211	2	34512096	34762695	170	0.0392
a6c0c588-2e05-4e83-a010-a6247e217211	2	34763152	34763261	3	-1.6255
a6c0c588-2e05-4e83-a010-a6247e217211	2	34763325	41895010	5411	0.0294
a6c0c588-2e05-4e83-a010-a6247e217211	2	41897986	41898152	2	-1.7546
a6c0c588-2e05-4e83-a010-a6247e217211	2	41899263	97181113	31256	0.0195
a6c0c588-2e05-4e83-a010-a6247e217211	2	97181150	97211436	18	-0.8218
a6c0c588-2e05-4e83-a010-a6247e217211	2	97310327	207485538	66370	0.0201
a6c0c588-2e05-4e83-a010-a6247e217211	2	207485595	207495072	25	-0.8336
a6c0c588-2e05-4e83-a010-a6247e217211	2	207495422	234164814	17076	0.0198
a6c0c588-2e05-4e83-a010-a6247e217211	2	234165502	234169573	3	-1.6339
a6c0c588-2e05-4e83-a010-a6247e217211	2	234169635	242147305	4983	0.0163
a6c0c588-2e05-4e83-a010-a6247e217211	3	20930	37940617	27616	0.028
a6c0c588-2e05-4e83-a010-a6247e217211	3	37940970	37945437	17	-0.9503
a6c0c588-2e05-4e83-a010-a6247e217211	3	37945615	52988908	8070	0.0166
a6c0c588-2e05-4e83-a010-a6247e217211	3	52988933	52998009	14	0.5601
a6c0c588-2e05-4e83-a010-a6247e217211	3	52998022	59954647	4823	0.0137
a6c0c588-2e05-4e83-a010-a6247e217211	3	59955112	60935353	1127	0.08
a6c0c588-2e05-4e83-a010-a6247e217211	3	60936035	75625217	11067	0.0207
a6c0c588-2e05-4e83-a010-a6247e217211	3	75625462	75782481	36	-0.3158
a6c0c588-2e05-4e83-a010-a6247e217211	3	75793727	125713562	27193	0.0209
a6c0c588-2e05-4e83-a010-a6247e217211	3	125716420	125739919	13	-0.572
a6c0c588-2e05-4e83-a010-a6247e217211	3	125743486	130047743	2460	0.0253
a6c0c588-2e05-4e83-a010-a6247e217211	3	130057015	130079938	31	0.7875
a6c0c588-2e05-4e83-a010-a6247e217211	3	130080170	153068555	14401	0.0231
a6c0c588-2e05-4e83-a010-a6247e217211	3	153073953	153078493	5	-1.0891
a6c0c588-2e05-4e83-a010-a6247e217211	3	153079394	162405578	5577	0.0189
a6c0c588-2e05-4e83-a010-a6247e217211	3	162419812	162424917	14	-0.6276
a6c0c588-2e05-4e83-a010-a6247e217211	3	162426460	175369161	7990	0.024
a6c0c588-2e05-4e83-a010-a6247e217211	3	175369763	175724965	252	0.1447
a6c0c588-2e05-4e83-a010-a6247e217211	3	175725860	192890293	11058	0.0237
a6c0c588-2e05-4e83-a010-a6247e217211	3	192890429	192890762	4	1.1661
a6c0c588-2e05-4e83-a010-a6247e217211	3	192890809	198169247	2897	0.0243
a6c0c588-2e05-4e83-a010-a6247e217211	4	68929	4081209	1618	0.0085
a6c0c588-2e05-4e83-a010-a6247e217211	4	4091837	4169608	21	-0.5821
a6c0c588-2e05-4e83-a010-a6247e217211	4	4173850	9379218	3460	0.0145
a6c0c588-2e05-4e83-a010-a6247e217211	4	9379465	9484440	63	0.8257
a6c0c588-2e05-4e83-a010-a6247e217211	4	9494650	10221792	538	-0.0166
a6c0c588-2e05-4e83-a010-a6247e217211	4	10222004	10229874	27	1.7171
a6c0c588-2e05-4e83-a010-a6247e217211	4	10232590	34777432	16976	0.0188
a6c0c588-2e05-4e83-a010-a6247e217211	4	34784878	34823103	38	0.514
a6c0c588-2e05-4e83-a010-a6247e217211	4	34828250	54974870	11220	0.0286
a6c0c588-2e05-4e83-a010-a6247e217211	4	54976869	54976892	2	-1.8108
a6c0c588-2e05-4e83-a010-a6247e217211	4	54977909	62802116	4762	0.0212
a6c0c588-2e05-4e83-a010-a6247e217211	4	62804218	62805944	8	-0.8923
a6c0c588-2e05-4e83-a010-a6247e217211	4	62813912	68506285	3455	0.0172
a6c0c588-2e05-4e83-a010-a6247e217211	4	68509223	68620261	65	0.4311
a6c0c588-2e05-4e83-a010-a6247e217211	4	68623617	190106768	74849	0.0207
a6c0c588-2e05-4e83-a010-a6247e217211	5	15532	58025819	35733	0.0203
a6c0c588-2e05-4e83-a010-a6247e217211	5	58030200	58037706	32	2.2293
a6c0c588-2e05-4e83-a010-a6247e217211	5	58042530	83926497	15353	0.0204
a6c0c588-2e05-4e83-a010-a6247e217211	5	83927193	83927906	2	-2.3007
a6c0c588-2e05-4e83-a010-a6247e217211	5	83928354	104515520	11476	0.0236
a6c0c588-2e05-4e83-a010-a6247e217211	5	104524672	104524903	4	-1.8115
a6c0c588-2e05-4e83-a010-a6247e217211	5	104525348	105097721	443	0.0276
a6c0c588-2e05-4e83-a010-a6247e217211	5	105097893	105167266	45	-0.9024
a6c0c588-2e05-4e83-a010-a6247e217211	5	105168236	123661384	12508	0.0237
a6c0c588-2e05-4e83-a010-a6247e217211	5	123662163	123663126	2	-3.6306
a6c0c588-2e05-4e83-a010-a6247e217211	5	123663718	156045123	20413	0.0202
a6c0c588-2e05-4e83-a010-a6247e217211	5	156048089	156055719	18	-0.7118
a6c0c588-2e05-4e83-a010-a6247e217211	5	156068240	180766199	16483	0.0171
a6c0c588-2e05-4e83-a010-a6247e217211	5	180766779	180768522	4	-1.3544
a6c0c588-2e05-4e83-a010-a6247e217211	5	180769816	180947523	100	-0.0462
a6c0c588-2e05-4e83-a010-a6247e217211	5	180951710	181006264	21	0.435
a6c0c588-2e05-4e83-a010-a6247e217211	5	181015400	181363319	168	-0.0145
a6c0c588-2e05-4e83-a010-a6247e217211	6	149661	253272	98	-0.0307
a6c0c588-2e05-4e83-a010-a6247e217211	6	253861	384521	106	-0.3999
a6c0c588-2e05-4e83-a010-a6247e217211	6	384546	32510338	22623	0.0205
a6c0c588-2e05-4e83-a010-a6247e217211	6	32515192	32641650	48	-0.3807
a6c0c588-2e05-4e83-a010-a6247e217211	6	32656527	32658841	6	-2.1567
a6c0c588-2e05-4e83-a010-a6247e217211	6	32682835	37015643	2552	0.0258
a6c0c588-2e05-4e83-a010-a6247e217211	6	37016105	37016344	2	-4.4481
a6c0c588-2e05-4e83-a010-a6247e217211	6	37017495	46008061	5900	0.0271
a6c0c588-2e05-4e83-a010-a6247e217211	6	46010406	46010499	3	-1.3045
a6c0c588-2e05-4e83-a010-a6247e217211	6	46012820	54066269	5227	0.0267
a6c0c588-2e05-4e83-a010-a6247e217211	6	54066286	54070550	9	-0.9272
a6c0c588-2e05-4e83-a010-a6247e217211	6	54070617	73882142	10379	0.0227
a6c0c588-2e05-4e83-a010-a6247e217211	6	73882509	73887625	9	0.9698
a6c0c588-2e05-4e83-a010-a6247e217211	6	73891694	76726815	1770	0.0166
a6c0c588-2e05-4e83-a010-a6247e217211	6	76730151	76733530	11	-4.3441
a6c0c588-2e05-4e83-a010-a6247e217211	6	76736482	76743040	10	-1.5892
a6c0c588-2e05-4e83-a010-a6247e217211	6	76751356	78253157	975	0.0116
a6c0c588-2e05-4e83-a010-a6247e217211	6	78253172	78263079	16	-0.5344
a6c0c588-2e05-4e83-a010-a6247e217211	6	78263236	78301599	39	-0.2509
a6c0c588-2e05-4e83-a010-a6247e217211	6	78301617	78325468	59	-0.5925
a6c0c588-2e05-4e83-a010-a6247e217211	6	78329517	93859703	9955	0.0228
a6c0c588-2e05-4e83-a010-a6247e217211	6	93863067	94159895	186	0.1666
a6c0c588-2e05-4e83-a010-a6247e217211	6	94160024	103286770	5324	0.0219
a6c0c588-2e05-4e83-a010-a6247e217211	6	103286928	103314186	50	0.7164
a6c0c588-2e05-4e83-a010-a6247e217211	6	103317795	167220185	42067	0.0253
a6c0c588-2e05-4e83-a010-a6247e217211	6	167220439	167777194	172	-0.1438
a6c0c588-2e05-4e83-a010-a6247e217211	6	167777329	167931821	57	0.0093
a6c0c588-2e05-4e83-a010-a6247e217211	6	167934598	168182924	172	0.589
a6c0c588-2e05-4e83-a010-a6247e217211	6	168186704	170741917	1686	-0.0032
a6c0c588-2e05-4e83-a010-a6247e217211	7	43355	6915679	3457	0.0124
a6c0c588-2e05-4e83-a010-a6247e217211	7	6921171	6924888	4	-1.705
a6c0c588-2e05-4e83-a010-a6247e217211	7	6928556	29266486	17611	0.0273
a6c0c588-2e05-4e83-a010-a6247e217211	7	29269184	29269949	2	-1.9778
a6c0c588-2e05-4e83-a010-a6247e217211	7	29270225	38347842	6395	0.0186
a6c0c588-2e05-4e83-a010-a6247e217211	7	38351764	38356875	4	-1.4549
a6c0c588-2e05-4e83-a010-a6247e217211	7	38361356	54305455	10976	0.0213
a6c0c588-2e05-4e83-a010-a6247e217211	7	54318812	54318824	6	-1.3956
a6c0c588-2e05-4e83-a010-a6247e217211	7	54325795	57529838	1912	0.0021
a6c0c588-2e05-4e83-a010-a6247e217211	7	57530097	62909456	251	-0.1364
a6c0c588-2e05-4e83-a010-a6247e217211	7	62924899	76445663	6095	0.0178
a6c0c588-2e05-4e83-a010-a6247e217211	7	76479444	76532105	17	-0.5325
a6c0c588-2e05-4e83-a010-a6247e217211	7	76550397	109797612	20165	0.0231
a6c0c588-2e05-4e83-a010-a6247e217211	7	109797616	109801722	18	-0.5252
a6c0c588-2e05-4e83-a010-a6247e217211	7	109801752	134101035	14746	0.0209
a6c0c588-2e05-4e83-a010-a6247e217211	7	134101043	134114444	25	-0.4231
a6c0c588-2e05-4e83-a010-a6247e217211	7	134121491	135886540	1256	0.027
a6c0c588-2e05-4e83-a010-a6247e217211	7	135887005	135888034	2	-2.264
a6c0c588-2e05-4e83-a010-a6247e217211	7	135888492	139636115	2343	0.0207
a6c0c588-2e05-4e83-a010-a6247e217211	7	139636143	139639221	2	-1.4635
a6c0c588-2e05-4e83-a010-a6247e217211	7	139639518	142063324	1585	0.0224
a6c0c588-2e05-4e83-a010-a6247e217211	7	142069843	142092108	33	-0.5257
a6c0c588-2e05-4e83-a010-a6247e217211	7	142092307	144264193	1210	-0.004
a6c0c588-2e05-4e83-a010-a6247e217211	7	144295437	144312471	3	-2.1801
a6c0c588-2e05-4e83-a010-a6247e217211	7	144326306	159334314	9644	0.0072
a6c0c588-2e05-4e83-a010-a6247e217211	8	81254	644944	323	-0.0247
a6c0c588-2e05-4e83-a010-a6247e217211	8	644973	645908	9	-1.0154
a6c0c588-2e05-4e83-a010-a6247e217211	8	656117	1053292	252	0.0214
a6c0c588-2e05-4e83-a010-a6247e217211	8	1053585	1054029	3	-1.2302
a6c0c588-2e05-4e83-a010-a6247e217211	8	1054751	2134090	900	0.0136
