GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2b871bde-acbd-47df-a210-4878d3a78247	1	3301765	29434134	13870	0.0292
2b871bde-acbd-47df-a210-4878d3a78247	1	29434636	29745789	223	0.0838
2b871bde-acbd-47df-a210-4878d3a78247	1	29746577	29748056	2	-1.0809
2b871bde-acbd-47df-a210-4878d3a78247	1	29748214	30639790	695	0.099
2b871bde-acbd-47df-a210-4878d3a78247	1	30640295	50343231	10479	0.0317
2b871bde-acbd-47df-a210-4878d3a78247	1	50343622	52724144	978	-0.0274
2b871bde-acbd-47df-a210-4878d3a78247	1	52727074	60136152	5345	0.0391
2b871bde-acbd-47df-a210-4878d3a78247	1	60136184	247650984	98058	0.0126
2b871bde-acbd-47df-a210-4878d3a78247	2	480597	141400617	74175	0.0171
2b871bde-acbd-47df-a210-4878d3a78247	2	141401856	230170151	51285	0.0071
2b871bde-acbd-47df-a210-4878d3a78247	2	230170533	241537572	6667	0.0294
2b871bde-acbd-47df-a210-4878d3a78247	3	2170634	197812401	107131	0.0144
2b871bde-acbd-47df-a210-4878d3a78247	4	1059384	75856110	41644	0.0153
2b871bde-acbd-47df-a210-4878d3a78247	4	75856722	75860024	3	-1.3148
2b871bde-acbd-47df-a210-4878d3a78247	4	75861346	187842528	61820	0.0085
2b871bde-acbd-47df-a210-4878d3a78247	5	913983	8912023	5793	0.0217
2b871bde-acbd-47df-a210-4878d3a78247	5	8912974	133131052	65704	0.0081
2b871bde-acbd-47df-a210-4878d3a78247	5	133131334	180934240	29581	0.0221
2b871bde-acbd-47df-a210-4878d3a78247	6	1011760	170596889	97114	0.0098
2b871bde-acbd-47df-a210-4878d3a78247	7	664936	67307705	34467	0.0119
2b871bde-acbd-47df-a210-4878d3a78247	7	67313340	67315854	4	-1.0876
2b871bde-acbd-47df-a210-4878d3a78247	7	67321387	101596982	16895	0.007
2b871bde-acbd-47df-a210-4878d3a78247	7	101601694	101609085	3	-1.8619
2b871bde-acbd-47df-a210-4878d3a78247	7	101610210	158592540	30525	0.0098
2b871bde-acbd-47df-a210-4878d3a78247	8	667625	144182542	82193	0.0129
2b871bde-acbd-47df-a210-4878d3a78247	9	789794	138044505	68453	0.0157
2b871bde-acbd-47df-a210-4878d3a78247	10	366509	7649604	5002	0.0217
2b871bde-acbd-47df-a210-4878d3a78247	10	7652091	42520575	21281	0.002
