GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
36334043-4a27-4b60-945a-bef7a9adacbc	1	62920	3302046	734	-0.0593
36334043-4a27-4b60-945a-bef7a9adacbc	1	3302359	4734054	1024	0.0125
36334043-4a27-4b60-945a-bef7a9adacbc	1	4736498	4737438	2	-1.087
36334043-4a27-4b60-945a-bef7a9adacbc	1	4737961	9266599	2893	0.0106
36334043-4a27-4b60-945a-bef7a9adacbc	1	9267354	9342344	56	0.5255
36334043-4a27-4b60-945a-bef7a9adacbc	1	9344634	16864367	3989	0.0117
36334043-4a27-4b60-945a-bef7a9adacbc	1	16868660	16958425	58	-0.5783
36334043-4a27-4b60-945a-bef7a9adacbc	1	16959715	21313491	2937	0.0139
36334043-4a27-4b60-945a-bef7a9adacbc	1	21313631	21313902	2	-2.2023
36334043-4a27-4b60-945a-bef7a9adacbc	1	21314008	30006923	4507	-0.0008
36334043-4a27-4b60-945a-bef7a9adacbc	1	30012663	30015714	5	-1.4637
36334043-4a27-4b60-945a-bef7a9adacbc	1	30017747	30259533	213	-0.0218
36334043-4a27-4b60-945a-bef7a9adacbc	1	30261189	30272363	13	-0.5933
36334043-4a27-4b60-945a-bef7a9adacbc	1	30274729	37433067	4073	0.0122
36334043-4a27-4b60-945a-bef7a9adacbc	1	37434572	37434814	2	-1.3833
36334043-4a27-4b60-945a-bef7a9adacbc	1	37436534	53553800	8885	-0.0017
36334043-4a27-4b60-945a-bef7a9adacbc	1	53553995	53554869	3	-1.0766
36334043-4a27-4b60-945a-bef7a9adacbc	1	53561879	61648334	6072	-0.0087
36334043-4a27-4b60-945a-bef7a9adacbc	1	61648509	61652515	3	-1.253
36334043-4a27-4b60-945a-bef7a9adacbc	1	61654137	72303253	7297	-0.0174
36334043-4a27-4b60-945a-bef7a9adacbc	1	72305460	72313397	8	-2.4761
36334043-4a27-4b60-945a-bef7a9adacbc	1	72313408	72345465	36	-1.2524
36334043-4a27-4b60-945a-bef7a9adacbc	1	72346221	105476583	20959	-0.0218
36334043-4a27-4b60-945a-bef7a9adacbc	1	105476614	105479753	16	-1.9617
36334043-4a27-4b60-945a-bef7a9adacbc	1	105481433	109684893	2636	-0.0226
36334043-4a27-4b60-945a-bef7a9adacbc	1	109690352	109697556	13	-1.0579
36334043-4a27-4b60-945a-bef7a9adacbc	1	109702376	112147704	1949	-0.0093
36334043-4a27-4b60-945a-bef7a9adacbc	1	112153343	112154768	25	-0.4483
36334043-4a27-4b60-945a-bef7a9adacbc	1	112163334	116721484	2943	-0.006
36334043-4a27-4b60-945a-bef7a9adacbc	1	116721539	116724057	2	-1.1794
36334043-4a27-4b60-945a-bef7a9adacbc	1	116725418	143748012	2315	-0.0133
