GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	62920	98588	12	0.4123
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	98602	16877002	8600	-0.0545
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	16883108	16935752	51	0.6107
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	16949746	25266637	5195	-0.0673
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	25269390	25284961	13	0.7912
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	25289805	53201394	14908	-0.0533
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	53203545	72297687	13429	0.2326
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	72302735	72345450	47	-1.1071
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	72345465	84803171	7994	0.2522
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	84809867	103613021	11742	-0.0268
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	103613109	103717410	13	-1.0222
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	103717617	121593055	10556	-0.0304
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	121593930	143547226	16	0.4269
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	143547578	143796140	109	0.7986
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	143811517	152583051	2286	0.4217
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	152583230	152614118	35	-1.4323
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	152618018	174826800	14765	0.432
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	174827128	174832734	20	-0.4066
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	174832782	193186662	12100	0.4478
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	193187149	193187218	4	-1.2704
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	193190593	196745743	2374	0.4797
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	196758720	196832525	57	0.9534
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	196832720	248572774	35160	0.4455
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	248574146	248646068	36	-0.3345
67091f0b-d37a-45b7-9b30-9254fdf898a5	1	248661836	248930189	136	0.4953
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	12784	34476516	23776	0.2107
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	34476558	34511990	43	0.7596
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	34512096	146104517	65430	0.2162
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	146106836	146109366	24	-1.8162
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	146120238	207490188	36528	0.2274
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	207490231	207494612	17	-0.5498
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	207494752	208374897	504	0.2099
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	208374911	214851445	4110	0.2504
67091f0b-d37a-45b7-9b30-9254fdf898a5	2	214851508	242147305	17147	0.2084
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	20930	1134266	905	-0.0415
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	1140629	2761735	1457	-0.3694
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	2762047	37940617	24830	-0.023
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	37940970	37945437	17	-1.158
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	37945615	59807336	12572	-0.0343
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	59807935	59810199	3	-3.1358
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	59810815	68697013	7262	-0.0157
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	68697108	68698262	14	-0.9432
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	68699607	74371164	4241	-0.0262
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	74374574	74807580	279	-0.3378
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	74813762	99218940	11196	0.0046
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	99225614	99230470	36	-0.6164
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	99230577	162795304	38444	-0.0158
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	162795361	162908207	67	0.842
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	162908784	176988181	8613	-0.0079
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	176988210	177157836	101	0.4485
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	177160171	193160113	10194	-0.0189
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	193160173	193168646	20	0.6606
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	193168669	194523993	888	0.0004
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	194524911	194532008	3	-2.0822
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	194532531	195559056	565	-0.0366
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	195656271	195720051	25	0.4776
67091f0b-d37a-45b7-9b30-9254fdf898a5	3	195728637	198169247	1171	-0.0239
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	68929	10227493	5610	-0.3817
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	10227562	10233644	26	-1.6594
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	10234518	69102303	36186	-0.338
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	69102348	69105246	5	-3.5099
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	69105345	105143597	21551	-0.3289
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	105143876	105144151	2	-3.7426
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	105145136	114252544	5486	-0.3309
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	114254167	114272202	42	-1.0509
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	114272405	114455224	127	-0.3691
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	114461252	114805997	190	-0.7355
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	114806113	172066777	34182	-0.328
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	172067997	172068382	12	-1.6316
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	172074828	186089972	9291	-0.3444
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	186091059	186094670	2	-2.9817
67091f0b-d37a-45b7-9b30-9254fdf898a5	4	186095456	190106768	2583	-0.3415
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	15532	46699	16	-0.1338
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	48691	49445	3	0.9348
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	49460	685633	284	-0.0215
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	698256	773453	27	1.0059
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	779766	21449167	15132	-0.0266
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	21451091	21451889	4	-1.6957
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	21452329	35458373	8582	-0.0162
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	35458429	35460175	5	-1.2412
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	35463399	46271006	6158	-0.0309
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	46271828	46273400	6	1.0707
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	46278110	58025819	5001	-0.0187
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	58030200	58037128	29	1.2536
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	58037466	58037706	3	3.1039
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	58042530	105097893	26920	-0.017
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	105100642	105162694	43	-0.7205
67091f0b-d37a-45b7-9b30-9254fdf898a5	5	105167266	181363319	49038	-0.0262
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	149661	254283	99	-0.3224
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	257353	381149	101	0.2981
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	382559	28572190	20543	-0.3658
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	28572711	31313046	1185	-0.0296
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	31318499	31328176	8	-1.4293
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	31328210	32486746	490	-0.0529
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	32488906	32541699	16	1.6006
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	32549151	52301763	12269	-0.0387
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	52302317	66298393	6524	-0.3271
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	66299130	66350296	68	-0.848
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	66350323	69910305	2360	-0.3264
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	69910995	70640728	485	0.0057
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	70642109	78263079	4825	-0.3253
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	78263236	78325223	93	0.0451
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	78325310	87351857	5516	-0.3272
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	87351935	103286950	9753	-0.0087
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	103286954	103314186	47	0.5552
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	103317795	107948875	2909	-0.0086
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	107949363	113809065	3581	-0.3571
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	113816269	113900791	65	-0.0225
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	113903677	113903852	2	-2.6031
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	113904647	133491503	11928	0.0045
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	133496318	136105736	1806	-0.3464
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	136109504	136253284	105	-0.814
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	136257517	140887745	2877	-0.3565
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	140888440	143809641	1806	-0.0048
67091f0b-d37a-45b7-9b30-9254fdf898a5	6	143810100	150763791	4544	-0.3428
