GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
21687ac4-cd2a-4b20-83c4-543826209a37	1	3301765	25396759	12268	0.0205
21687ac4-cd2a-4b20-83c4-543826209a37	1	25407761	25419576	2	1.245
21687ac4-cd2a-4b20-83c4-543826209a37	1	25423606	31148580	2745	0.03
21687ac4-cd2a-4b20-83c4-543826209a37	1	31150820	31152542	3	-2.3322
21687ac4-cd2a-4b20-83c4-543826209a37	1	31154252	247037337	114447	0.0103
21687ac4-cd2a-4b20-83c4-543826209a37	1	247037748	247042658	8	-0.9755
21687ac4-cd2a-4b20-83c4-543826209a37	1	247044642	247650984	348	-0.016
21687ac4-cd2a-4b20-83c4-543826209a37	2	480597	14163304	8723	0.0122
21687ac4-cd2a-4b20-83c4-543826209a37	2	14176789	14176973	3	-1.3045
21687ac4-cd2a-4b20-83c4-543826209a37	2	14178821	151578311	71524	0.0082
21687ac4-cd2a-4b20-83c4-543826209a37	2	151608986	151608999	2	-1.4129
21687ac4-cd2a-4b20-83c4-543826209a37	2	151609811	152515529	622	0.0028
21687ac4-cd2a-4b20-83c4-543826209a37	2	152517338	218684865	37525	0.0216
21687ac4-cd2a-4b20-83c4-543826209a37	2	218687552	221606293	1868	0.0001
21687ac4-cd2a-4b20-83c4-543826209a37	2	221606740	221606796	2	1.7616
21687ac4-cd2a-4b20-83c4-543826209a37	2	221607842	241537572	12009	0.0167
21687ac4-cd2a-4b20-83c4-543826209a37	3	2170634	197812401	107237	0.0123
21687ac4-cd2a-4b20-83c4-543826209a37	4	1059384	57634986	32171	0.0089
21687ac4-cd2a-4b20-83c4-543826209a37	4	57635142	57635246	3	-1.1594
21687ac4-cd2a-4b20-83c4-543826209a37	4	57639758	60461594	1623	0.0124
21687ac4-cd2a-4b20-83c4-543826209a37	4	60464276	60465899	2	1.4145
21687ac4-cd2a-4b20-83c4-543826209a37	4	60469846	110121184	27572	0.0137
21687ac4-cd2a-4b20-83c4-543826209a37	4	110121916	110122054	2	-1.9364
21687ac4-cd2a-4b20-83c4-543826209a37	4	110123089	187842528	42183	0.0148
21687ac4-cd2a-4b20-83c4-543826209a37	5	913983	179676725	100578	0.0145
21687ac4-cd2a-4b20-83c4-543826209a37	5	179677049	179678327	2	1.5278
21687ac4-cd2a-4b20-83c4-543826209a37	5	179681196	180934240	583	0.0165
21687ac4-cd2a-4b20-83c4-543826209a37	6	1011760	86337793	47893	0.016
21687ac4-cd2a-4b20-83c4-543826209a37	6	86350819	86351379	4	-0.9701
21687ac4-cd2a-4b20-83c4-543826209a37	6	86353162	88121932	1061	0.0093
21687ac4-cd2a-4b20-83c4-543826209a37	6	88126335	88128591	4	-1.287
21687ac4-cd2a-4b20-83c4-543826209a37	6	88157769	170596889	48251	0.0161
21687ac4-cd2a-4b20-83c4-543826209a37	7	664936	158592540	81976	0.0121
21687ac4-cd2a-4b20-83c4-543826209a37	8	667625	3625109	1510	0.0128
21687ac4-cd2a-4b20-83c4-543826209a37	8	3630124	3630522	3	-1.2399
21687ac4-cd2a-4b20-83c4-543826209a37	8	3630780	40859830	22302	0.009
21687ac4-cd2a-4b20-83c4-543826209a37	8	40860219	40861180	2	-2.0298
21687ac4-cd2a-4b20-83c4-543826209a37	8	40863108	144182542	58459	0.0148
21687ac4-cd2a-4b20-83c4-543826209a37	9	789794	122933267	60607	0.0086
21687ac4-cd2a-4b20-83c4-543826209a37	9	122934667	131662970	4956	0.0318
21687ac4-cd2a-4b20-83c4-543826209a37	9	131662999	131663019	2	-1.3476
21687ac4-cd2a-4b20-83c4-543826209a37	9	131663502	138044505	2951	0.0387
21687ac4-cd2a-4b20-83c4-543826209a37	10	366509	75166836	44216	0.011
