GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2890b547-6c17-4466-a63e-dc09ed9600ae	1	3301765	247650984	129686	0.0032
2890b547-6c17-4466-a63e-dc09ed9600ae	2	480597	119186147	63008	0.0035
2890b547-6c17-4466-a63e-dc09ed9600ae	2	119188377	119194869	2	-2.3319
2890b547-6c17-4466-a63e-dc09ed9600ae	2	119196902	241537572	69108	0.0034
2890b547-6c17-4466-a63e-dc09ed9600ae	3	2170634	20609967	11098	0.0038
2890b547-6c17-4466-a63e-dc09ed9600ae	3	20610453	20615282	7	-0.7892
2890b547-6c17-4466-a63e-dc09ed9600ae	3	20615694	61141148	22612	0.0001
2890b547-6c17-4466-a63e-dc09ed9600ae	3	61141532	61142344	3	-1.0492
2890b547-6c17-4466-a63e-dc09ed9600ae	3	61145227	78520647	11651	0.0011
2890b547-6c17-4466-a63e-dc09ed9600ae	3	78520669	78520810	2	-1.6081
2890b547-6c17-4466-a63e-dc09ed9600ae	3	78521071	197812401	61766	0.0046
2890b547-6c17-4466-a63e-dc09ed9600ae	4	1059384	74075975	40544	0.0011
2890b547-6c17-4466-a63e-dc09ed9600ae	4	74076919	74078917	3	-1.0632
2890b547-6c17-4466-a63e-dc09ed9600ae	4	74080155	85781626	7167	0.0036
2890b547-6c17-4466-a63e-dc09ed9600ae	4	85782390	85783411	2	-1.3943
2890b547-6c17-4466-a63e-dc09ed9600ae	4	85783644	187842528	55718	0.0017
2890b547-6c17-4466-a63e-dc09ed9600ae	5	914118	108395309	56949	0.003
2890b547-6c17-4466-a63e-dc09ed9600ae	5	108397914	108427420	16	0.6241
2890b547-6c17-4466-a63e-dc09ed9600ae	5	108431910	180934240	44124	0.0067
2890b547-6c17-4466-a63e-dc09ed9600ae	6	1011760	148180808	83829	0.0035
2890b547-6c17-4466-a63e-dc09ed9600ae	6	148185476	148185808	2	-1.5703
2890b547-6c17-4466-a63e-dc09ed9600ae	6	148186119	170596889	13267	0.007
2890b547-6c17-4466-a63e-dc09ed9600ae	7	664936	158592540	81890	0.0045
2890b547-6c17-4466-a63e-dc09ed9600ae	8	667625	117358784	65002	0.0035
2890b547-6c17-4466-a63e-dc09ed9600ae	8	117372087	117533052	97	-1.1383
2890b547-6c17-4466-a63e-dc09ed9600ae	8	117534437	144182542	17074	0.0045
2890b547-6c17-4466-a63e-dc09ed9600ae	9	789794	138044505	68442	0.0041
2890b547-6c17-4466-a63e-dc09ed9600ae	10	366509	133411599	81232	0.0034
2890b547-6c17-4466-a63e-dc09ed9600ae	11	456012	91239010	49098	0.0023
2890b547-6c17-4466-a63e-dc09ed9600ae	11	91240605	91240681	2	-2.9029
2890b547-6c17-4466-a63e-dc09ed9600ae	11	91241618	125321947	22354	0.0106
2890b547-6c17-4466-a63e-dc09ed9600ae	11	125322385	125322475	3	-1.0769
2890b547-6c17-4466-a63e-dc09ed9600ae	11	125323060	134272740	6075	0.0046
2890b547-6c17-4466-a63e-dc09ed9600ae	12	780472	97390845	54252	0.0031
2890b547-6c17-4466-a63e-dc09ed9600ae	12	97393819	97397231	5	-1.2391
2890b547-6c17-4466-a63e-dc09ed9600ae	12	97397302	132605822	20035	0.0047
2890b547-6c17-4466-a63e-dc09ed9600ae	13	18874255	80354615	35777	0.0023
2890b547-6c17-4466-a63e-dc09ed9600ae	13	80360679	80367145	7	-1.0723
2890b547-6c17-4466-a63e-dc09ed9600ae	13	80368163	114226675	21178	0.0046
2890b547-6c17-4466-a63e-dc09ed9600ae	14	20033191	24779087	1910	0.0017
2890b547-6c17-4466-a63e-dc09ed9600ae	14	24779340	24780616	2	-1.6044
2890b547-6c17-4466-a63e-dc09ed9600ae	14	24780895	105533894	47840	0.0022
2890b547-6c17-4466-a63e-dc09ed9600ae	15	23437561	101344124	44773	0
2890b547-6c17-4466-a63e-dc09ed9600ae	16	603333	63177186	24835	0.0033
2890b547-6c17-4466-a63e-dc09ed9600ae	16	63177539	63181565	2	-1.1949
2890b547-6c17-4466-a63e-dc09ed9600ae	16	63183957	71241357	4223	0.0004
2890b547-6c17-4466-a63e-dc09ed9600ae	16	71244786	71245630	2	-1.307
2890b547-6c17-4466-a63e-dc09ed9600ae	16	71246083	75191124	2292	0.0016
2890b547-6c17-4466-a63e-dc09ed9600ae	16	75194071	75194085	2	1.3209
2890b547-6c17-4466-a63e-dc09ed9600ae	16	75195731	83760390	7131	-0.0034
2890b547-6c17-4466-a63e-dc09ed9600ae	16	83760392	83760401	2	-1.3812
2890b547-6c17-4466-a63e-dc09ed9600ae	16	83760419	89317317	2693	0.005
2890b547-6c17-4466-a63e-dc09ed9600ae	17	1074619	29033095	10683	0.0045
2890b547-6c17-4466-a63e-dc09ed9600ae	17	29033175	29033390	2	-1.2786
2890b547-6c17-4466-a63e-dc09ed9600ae	17	29033815	82959812	26575	0
2890b547-6c17-4466-a63e-dc09ed9600ae	18	326691	4700983	2213	-0.0016
2890b547-6c17-4466-a63e-dc09ed9600ae	18	4705870	4709510	4	-0.9842
2890b547-6c17-4466-a63e-dc09ed9600ae	18	4710695	79349796	40711	0.0026
2890b547-6c17-4466-a63e-dc09ed9600ae	19	283868	48028055	19869	-0.001
2890b547-6c17-4466-a63e-dc09ed9600ae	19	48028073	48028075	2	-1.5202
2890b547-6c17-4466-a63e-dc09ed9600ae	19	48028119	58370362	4264	-0.0012
2890b547-6c17-4466-a63e-dc09ed9600ae	20	472817	63588502	37540	0.001
2890b547-6c17-4466-a63e-dc09ed9600ae	21	13974127	22850940	5584	-0.0063
2890b547-6c17-4466-a63e-dc09ed9600ae	21	22874307	22993657	3	-0.9749
2890b547-6c17-4466-a63e-dc09ed9600ae	21	22993856	46262057	15002	0.0003
2890b547-6c17-4466-a63e-dc09ed9600ae	22	16934932	48940621	17079	0.0004
2890b547-6c17-4466-a63e-dc09ed9600ae	X	3236359	90269093	35003	0.0031
2890b547-6c17-4466-a63e-dc09ed9600ae	X	90271385	90271648	2	-1.4362
2890b547-6c17-4466-a63e-dc09ed9600ae	X	90271786	155677414	28958	0.0024
