GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3413df66-0de3-4518-ab85-b8fd172ba43e	1	62920	850609	41	0.163
3413df66-0de3-4518-ab85-b8fd172ba43e	1	854017	3282920	690	-0.1401
3413df66-0de3-4518-ab85-b8fd172ba43e	1	3283773	8242285	3379	-0.0066
3413df66-0de3-4518-ab85-b8fd172ba43e	1	8244547	8252522	2	-1.809
3413df66-0de3-4518-ab85-b8fd172ba43e	1	8253834	25256850	9884	0.0028
3413df66-0de3-4518-ab85-b8fd172ba43e	1	25266637	25336819	25	0.5042
3413df66-0de3-4518-ab85-b8fd172ba43e	1	25336853	34626073	4947	0.0019
3413df66-0de3-4518-ab85-b8fd172ba43e	1	34637053	34638890	20	-2.5344
3413df66-0de3-4518-ab85-b8fd172ba43e	1	34648667	38131187	1819	0.0082
3413df66-0de3-4518-ab85-b8fd172ba43e	1	38135808	38136401	2	-1.2923
3413df66-0de3-4518-ab85-b8fd172ba43e	1	38140728	40315122	1232	0.0097
3413df66-0de3-4518-ab85-b8fd172ba43e	1	40315366	40326906	6	-0.6157
3413df66-0de3-4518-ab85-b8fd172ba43e	1	40329956	40555364	119	0.0251
3413df66-0de3-4518-ab85-b8fd172ba43e	1	40556404	40562538	4	-1.272
3413df66-0de3-4518-ab85-b8fd172ba43e	1	40563254	72284670	20535	0.0063
3413df66-0de3-4518-ab85-b8fd172ba43e	1	72290430	72297687	9	-1.0026
3413df66-0de3-4518-ab85-b8fd172ba43e	1	72302735	86782367	9424	0.0111
3413df66-0de3-4518-ab85-b8fd172ba43e	1	86786875	86790431	5	-0.9799
3413df66-0de3-4518-ab85-b8fd172ba43e	1	86795511	103589737	10581	0.0063
3413df66-0de3-4518-ab85-b8fd172ba43e	1	103613021	103717410	14	-0.5309
3413df66-0de3-4518-ab85-b8fd172ba43e	1	103717617	105476583	916	0.0117
3413df66-0de3-4518-ab85-b8fd172ba43e	1	105476614	105479753	16	1.5348
3413df66-0de3-4518-ab85-b8fd172ba43e	1	105481433	105544653	49	0.5259
3413df66-0de3-4518-ab85-b8fd172ba43e	1	105548298	121573287	9700	0.0071
3413df66-0de3-4518-ab85-b8fd172ba43e	1	121573699	145670653	158	0.1816
3413df66-0de3-4518-ab85-b8fd172ba43e	1	145674253	152583230	2281	0.0048
3413df66-0de3-4518-ab85-b8fd172ba43e	1	152583291	152613762	30	-1.4252
3413df66-0de3-4518-ab85-b8fd172ba43e	1	152613802	152787202	170	0.025
3413df66-0de3-4518-ab85-b8fd172ba43e	1	152789447	152796224	37	-0.37
3413df66-0de3-4518-ab85-b8fd172ba43e	1	152801429	196758720	29375	0.0069
3413df66-0de3-4518-ab85-b8fd172ba43e	1	196761905	196769493	4	0.9607
3413df66-0de3-4518-ab85-b8fd172ba43e	1	196769506	228419264	21069	0.006
3413df66-0de3-4518-ab85-b8fd172ba43e	1	228422190	228453329	16	-0.4065
3413df66-0de3-4518-ab85-b8fd172ba43e	1	228455370	229675422	753	0.0059
3413df66-0de3-4518-ab85-b8fd172ba43e	1	229681109	229684449	3	0.819
3413df66-0de3-4518-ab85-b8fd172ba43e	1	229684709	230546167	666	0.0033
3413df66-0de3-4518-ab85-b8fd172ba43e	1	230547067	230547657	2	-1.0389
3413df66-0de3-4518-ab85-b8fd172ba43e	1	230548155	230776747	217	0.0134
