GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	62920	9255788	4660	-0.2439
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	9266599	9340475	56	0.5026
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	9342344	9529354	102	-0.2581
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	9536422	9542315	3	0.3665
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	9543723	9821054	110	-0.2677
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	9830913	11156608	685	0.2375
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	11157670	16542868	3032	-0.2466
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	16544783	16643961	30	-0.5993
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	16679239	16921178	58	-0.1818
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	16921232	16921350	2	1.1146
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	16921391	25256850	5284	-0.2425
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	25266637	25320253	23	0.2075
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	25320455	34626073	4952	-0.2486
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	34637053	34638890	20	-1.3623
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	34648667	51672618	9346	-0.2498
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	51676964	52502019	361	0.2419
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	52506967	72303233	14062	-0.2567
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	72303253	72313397	9	-2.1697
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	72313408	72345450	35	-1.0096
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	72345465	102009187	19173	-0.2516
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	102011574	103613109	855	0.2634
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	103613180	103621165	9	-0.2181
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	103697067	104168503	220	0.2716
062f01fb-85b6-4c22-bb39-1ebaeca09d82	1	104168691	117812346	8995	-0.2517
