GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bd75ffe3-49e1-4077-a960-a65750fdebd1	1	3301765	247650984	129670	0.0004
bd75ffe3-49e1-4077-a960-a65750fdebd1	2	480597	29593934	18109	0.006
bd75ffe3-49e1-4077-a960-a65750fdebd1	2	29594377	29600786	6	-0.9212
bd75ffe3-49e1-4077-a960-a65750fdebd1	2	29601381	29872980	231	0.0054
bd75ffe3-49e1-4077-a960-a65750fdebd1	2	29874613	29896907	18	-1.2222
bd75ffe3-49e1-4077-a960-a65750fdebd1	2	29897192	241537572	113789	0.0071
bd75ffe3-49e1-4077-a960-a65750fdebd1	3	2170634	24390330	12986	0.0043
bd75ffe3-49e1-4077-a960-a65750fdebd1	3	24390931	24426564	5	0.8503
bd75ffe3-49e1-4077-a960-a65750fdebd1	3	24427979	45435202	12841	-0.0004
bd75ffe3-49e1-4077-a960-a65750fdebd1	3	45435233	45441971	5	-1.0379
bd75ffe3-49e1-4077-a960-a65750fdebd1	3	45448406	197812401	81303	0.0029
bd75ffe3-49e1-4077-a960-a65750fdebd1	4	1059384	187842528	103470	0.0007
bd75ffe3-49e1-4077-a960-a65750fdebd1	5	914118	41583900	24353	0.0053
bd75ffe3-49e1-4077-a960-a65750fdebd1	5	41587169	41595002	7	-1.0757
bd75ffe3-49e1-4077-a960-a65750fdebd1	5	41599347	180934240	76715	0.0012
bd75ffe3-49e1-4077-a960-a65750fdebd1	6	1011760	146198255	82495	-0.0016
bd75ffe3-49e1-4077-a960-a65750fdebd1	6	146203254	146212780	7	-0.8672
bd75ffe3-49e1-4077-a960-a65750fdebd1	6	146213011	170596889	14633	0.0014
bd75ffe3-49e1-4077-a960-a65750fdebd1	7	664936	158592540	81911	0.0011
bd75ffe3-49e1-4077-a960-a65750fdebd1	8	667625	101732380	56615	-0.0007
bd75ffe3-49e1-4077-a960-a65750fdebd1	8	101732749	101733123	2	-2.2751
bd75ffe3-49e1-4077-a960-a65750fdebd1	8	101733699	144182542	25583	0.0032
bd75ffe3-49e1-4077-a960-a65750fdebd1	9	789794	138044505	68452	0.0016
bd75ffe3-49e1-4077-a960-a65750fdebd1	10	366509	83882992	50053	0.0015
bd75ffe3-49e1-4077-a960-a65750fdebd1	10	83884015	83884021	2	-1.6406
bd75ffe3-49e1-4077-a960-a65750fdebd1	10	83885121	98926381	9315	0.0036
bd75ffe3-49e1-4077-a960-a65750fdebd1	10	98930295	98930675	2	-1.8499
bd75ffe3-49e1-4077-a960-a65750fdebd1	10	98949424	133411599	21882	-0.002
bd75ffe3-49e1-4077-a960-a65750fdebd1	11	456012	95320134	51533	0.0036
bd75ffe3-49e1-4077-a960-a65750fdebd1	11	95328081	95353559	31	-1.0408
bd75ffe3-49e1-4077-a960-a65750fdebd1	11	95356718	105066115	6363	0.0001
bd75ffe3-49e1-4077-a960-a65750fdebd1	11	105066644	105066732	2	-1.523
bd75ffe3-49e1-4077-a960-a65750fdebd1	11	105068780	134272740	19629	-0.0004
bd75ffe3-49e1-4077-a960-a65750fdebd1	12	780472	3480963	1276	0.0014
bd75ffe3-49e1-4077-a960-a65750fdebd1	12	3482308	3483326	5	-1.1534
bd75ffe3-49e1-4077-a960-a65750fdebd1	12	3487827	132605822	73037	0.0003
bd75ffe3-49e1-4077-a960-a65750fdebd1	13	18874255	114226675	56971	0.0029
bd75ffe3-49e1-4077-a960-a65750fdebd1	14	20033191	105533894	49760	0.0001
bd75ffe3-49e1-4077-a960-a65750fdebd1	15	23437561	101344124	44763	0.001
bd75ffe3-49e1-4077-a960-a65750fdebd1	16	603333	89317317	41202	-0.0024
bd75ffe3-49e1-4077-a960-a65750fdebd1	17	1074619	82959812	37258	-0.0005
bd75ffe3-49e1-4077-a960-a65750fdebd1	18	326691	9887860	5476	0.0009
bd75ffe3-49e1-4077-a960-a65750fdebd1	18	9887939	9888030	2	-2.2526
bd75ffe3-49e1-4077-a960-a65750fdebd1	18	9888561	79349796	37469	-0.0015
bd75ffe3-49e1-4077-a960-a65750fdebd1	19	283868	11689020	4061	0.005
bd75ffe3-49e1-4077-a960-a65750fdebd1	19	11692667	11731642	32	0.5397
bd75ffe3-49e1-4077-a960-a65750fdebd1	19	11735655	58370362	20043	0.0021
bd75ffe3-49e1-4077-a960-a65750fdebd1	20	472817	43955594	24344	0.002
bd75ffe3-49e1-4077-a960-a65750fdebd1	20	43955758	43955922	2	-2.6994
bd75ffe3-49e1-4077-a960-a65750fdebd1	20	43956271	63588502	13193	0.003
bd75ffe3-49e1-4077-a960-a65750fdebd1	21	13974127	30061862	10403	0.0013
bd75ffe3-49e1-4077-a960-a65750fdebd1	21	30063847	30167021	69	-0.9196
bd75ffe3-49e1-4077-a960-a65750fdebd1	21	30168897	46262057	10123	0.0018
bd75ffe3-49e1-4077-a960-a65750fdebd1	22	16934932	48940621	17075	-0.0016
bd75ffe3-49e1-4077-a960-a65750fdebd1	X	3236359	126439566	50889	0.0054
bd75ffe3-49e1-4077-a960-a65750fdebd1	X	126464964	126465650	3	1.3903
bd75ffe3-49e1-4077-a960-a65750fdebd1	X	126483043	155677414	12853	0.002
