GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	62920	969227	67	0.0316
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	983193	3298168	670	0.2428
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	3301765	15822793	7601	0.0216
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	15822848	15828515	12	0.6618
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	15839166	17876886	1023	-0.0033
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	17878338	17878413	2	-1.8054
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	17883315	25244778	4639	0.0169
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	25247980	25432164	64	0.3749
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	25433616	30006923	2133	0.0155
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	30012663	30015714	5	-1.0483
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	30017747	37432463	4296	0.0247
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	37433067	37455082	8	0.6758
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	37455442	38117186	307	-0.0118
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	38118360	38119209	3	-1.2067
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	38121474	47032907	5011	0.0122
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	47036663	47036811	2	-1.6418
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	47037650	72284670	16923	0.0084
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	72290430	72339814	46	0.4548
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	72340125	95329065	14963	0.0061
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	95329081	95334434	3	-1.3639
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	95334909	112147704	10609	0.0024
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	112153343	112154576	21	0.5344
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	112154591	114289343	1330	0.0328
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	114291004	114291088	2	-1.4818
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	114291180	121525887	3801	0.0122
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	121528371	147109142	407	0.1541
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	147109255	152582700	2064	0.0231
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	152583051	152614118	36	0.6253
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	152618018	152789447	168	0.0453
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	152789463	152805967	39	0.4922
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	152806050	189130130	24381	0.0093
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	189143017	189368867	135	-0.1725
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	189371230	196758720	4943	0.0039
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	196761905	196820704	45	-0.5003
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	196821139	196846661	15	0.1658
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	196847600	224508926	18708	0.0124
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	224514997	224648812	119	0.47
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	224653097	229675422	3003	0.019
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	229681109	229684383	2	-2.4767
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	229684449	231761212	1496	0.0078
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	231762845	231820622	41	0.3491
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	231820949	246590450	11075	0.015
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	246594147	246780043	127	0.2246
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	246780235	247781066	624	0.0039
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	247783081	247786501	3	-1.7354
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	1	247788437	248930189	614	0.0019
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	12784	1446344	970	0.0356
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	1447264	1912858	266	0.163
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	1913832	3147886	946	-0.0065
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	3148670	3293235	147	0.1976
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	3293722	34466002	21752	0.0084
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	34474248	34502800	44	-1.2824
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	34511446	50678147	11744	0.0092
029b7fb5-ba9b-4ba9-b6af-12b875f45ae3	2	50678620	51108577	294	-0.1469
