GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
12dff233-d164-4560-8045-1712fd973416	1	62920	82315	6	0.3031
12dff233-d164-4560-8045-1712fd973416	1	82650	16721910	8670	0.004
12dff233-d164-4560-8045-1712fd973416	1	16721984	16932568	62	0.3239
12dff233-d164-4560-8045-1712fd973416	1	16934716	31271971	8351	0.0056
12dff233-d164-4560-8045-1712fd973416	1	31277793	35389201	2257	0.0479
12dff233-d164-4560-8045-1712fd973416	1	35389375	44169804	5029	0.0036
12dff233-d164-4560-8045-1712fd973416	1	44170809	44171718	2	-1.774
12dff233-d164-4560-8045-1712fd973416	1	44181708	72302815	18372	0.0142
12dff233-d164-4560-8045-1712fd973416	1	72303233	72362629	60	0.325
12dff233-d164-4560-8045-1712fd973416	1	72362638	94818635	14575	0.0025
12dff233-d164-4560-8045-1712fd973416	1	94819075	94822131	3	-1.1379
12dff233-d164-4560-8045-1712fd973416	1	94823252	105470754	6362	0.0007
12dff233-d164-4560-8045-1712fd973416	1	105476583	105479753	17	0.8686
12dff233-d164-4560-8045-1712fd973416	1	105481433	108187137	1940	0.0087
12dff233-d164-4560-8045-1712fd973416	1	108191613	108194874	3	-3.8376
12dff233-d164-4560-8045-1712fd973416	1	108196482	109028555	402	0.0151
12dff233-d164-4560-8045-1712fd973416	1	109031904	109032025	2	-1.1159
12dff233-d164-4560-8045-1712fd973416	1	109061619	109690352	290	0.0032
12dff233-d164-4560-8045-1712fd973416	1	109690415	109697533	11	-1.2822
12dff233-d164-4560-8045-1712fd973416	1	109697556	110789384	805	-0.0174
12dff233-d164-4560-8045-1712fd973416	1	110789487	110878890	112	0.1259
12dff233-d164-4560-8045-1712fd973416	1	110880054	111285704	284	-0.0063
12dff233-d164-4560-8045-1712fd973416	1	111285776	111285842	2	-1.5565
12dff233-d164-4560-8045-1712fd973416	1	111285956	143494500	5932	0.0064
12dff233-d164-4560-8045-1712fd973416	1	143541857	152437590	2316	0.4299
12dff233-d164-4560-8045-1712fd973416	1	152437990	152459649	16	1.0454
12dff233-d164-4560-8045-1712fd973416	1	152461715	152583051	110	0.4344
12dff233-d164-4560-8045-1712fd973416	1	152583230	152614118	35	-2.2643
12dff233-d164-4560-8045-1712fd973416	1	152618018	152782154	160	0.4221
12dff233-d164-4560-8045-1712fd973416	1	152783832	152796224	44	-0.2085
12dff233-d164-4560-8045-1712fd973416	1	152801429	152828698	25	0.5001
12dff233-d164-4560-8045-1712fd973416	1	152838707	152882330	33	0.9606
12dff233-d164-4560-8045-1712fd973416	1	152883608	161648901	5208	0.4318
12dff233-d164-4560-8045-1712fd973416	1	161649069	161680704	10	0.9623
12dff233-d164-4560-8045-1712fd973416	1	161680831	169247699	6008	0.4456
12dff233-d164-4560-8045-1712fd973416	1	169264736	169272528	7	1.3873
12dff233-d164-4560-8045-1712fd973416	1	169273163	194479104	16729	0.442
12dff233-d164-4560-8045-1712fd973416	1	194482281	194485888	2	2.2688
12dff233-d164-4560-8045-1712fd973416	1	194487886	196762480	1454	0.4323
12dff233-d164-4560-8045-1712fd973416	1	196762956	196788990	32	0.7755
12dff233-d164-4560-8045-1712fd973416	1	196789019	248930189	35844	0.4446
12dff233-d164-4560-8045-1712fd973416	2	12784	52514599	37124	0.0024
12dff233-d164-4560-8045-1712fd973416	2	52516787	52554404	41	0.6404
12dff233-d164-4560-8045-1712fd973416	2	52560811	86901078	21975	-0.0035
12dff233-d164-4560-8045-1712fd973416	2	86902080	86910262	2	-2.4795
12dff233-d164-4560-8045-1712fd973416	2	86934730	106265177	7442	-0.0067
12dff233-d164-4560-8045-1712fd973416	2	106266773	106268557	7	1.0819
12dff233-d164-4560-8045-1712fd973416	2	106268901	107890981	998	-0.0067
12dff233-d164-4560-8045-1712fd973416	2	107891596	107903920	2	1.2954
12dff233-d164-4560-8045-1712fd973416	2	107909583	122719438	8489	0.0088
