GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f52bfd4d-965c-4f12-9e71-7842ed116268	1	62920	783283	24	-0.0258
f52bfd4d-965c-4f12-9e71-7842ed116268	1	787937	833413	13	0.5273
f52bfd4d-965c-4f12-9e71-7842ed116268	1	841742	5731901	2588	-0.0566
f52bfd4d-965c-4f12-9e71-7842ed116268	1	5732493	5735567	2	-1.6219
f52bfd4d-965c-4f12-9e71-7842ed116268	1	5742025	9529354	2189	-0.0383
f52bfd4d-965c-4f12-9e71-7842ed116268	1	9536422	9536806	2	-1.8803
f52bfd4d-965c-4f12-9e71-7842ed116268	1	9542315	16505368	3817	-0.039
f52bfd4d-965c-4f12-9e71-7842ed116268	1	16518437	16766762	46	-0.3643
f52bfd4d-965c-4f12-9e71-7842ed116268	1	16766922	25247980	5313	-0.0455
f52bfd4d-965c-4f12-9e71-7842ed116268	1	25248216	25380533	51	0.2304
f52bfd4d-965c-4f12-9e71-7842ed116268	1	25384565	30682743	2720	-0.0537
f52bfd4d-965c-4f12-9e71-7842ed116268	1	30682974	30691029	5	-1.1397
f52bfd4d-965c-4f12-9e71-7842ed116268	1	30694462	65978966	21851	-0.0468
f52bfd4d-965c-4f12-9e71-7842ed116268	1	65980838	67111138	848	0.049
f52bfd4d-965c-4f12-9e71-7842ed116268	1	67112814	72303253	3251	-0.0654
f52bfd4d-965c-4f12-9e71-7842ed116268	1	72305460	72343748	39	-0.5831
f52bfd4d-965c-4f12-9e71-7842ed116268	1	72344159	108187137	22867	-0.059
f52bfd4d-965c-4f12-9e71-7842ed116268	1	108191613	108192255	2	-3.0711
f52bfd4d-965c-4f12-9e71-7842ed116268	1	108194874	109690352	694	-0.0536
f52bfd4d-965c-4f12-9e71-7842ed116268	1	109690415	109692006	9	-1.0353
f52bfd4d-965c-4f12-9e71-7842ed116268	1	109696900	112147704	1951	-0.062
f52bfd4d-965c-4f12-9e71-7842ed116268	1	112153343	112154390	18	0.4183
f52bfd4d-965c-4f12-9e71-7842ed116268	1	112154552	119984738	5045	-0.0529
f52bfd4d-965c-4f12-9e71-7842ed116268	1	119984772	121549518	101	0.1522
f52bfd4d-965c-4f12-9e71-7842ed116268	1	121551153	143734438	116	0.3516
f52bfd4d-965c-4f12-9e71-7842ed116268	1	143748012	143754077	17	0.8219
f52bfd4d-965c-4f12-9e71-7842ed116268	1	143754192	144432083	15	0.3861
f52bfd4d-965c-4f12-9e71-7842ed116268	1	144432313	152583051	2312	0.1084
