GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	62920	34626073	18935	0.0031
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	34637053	34638645	16	-0.8278
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	34638721	36868682	1098	0.0004
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	36869632	36876656	4	-3.3976
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	36879127	103620877	42588	0.0053
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	103621165	103717410	4	1.596
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	103717617	121598439	10675	0.0049
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	121601998	144503864	145	0.4814
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	144932423	149820412	874	0.0364
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	149844633	149845239	7	-1.4024
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	149847009	149879270	8	0.6502
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	149879339	152778761	1599	-0.0002
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	152782154	152806082	50	-0.4612
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	152806100	196769506	29365	0.0073
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	196769638	196843377	53	0.4339
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	196843400	196846661	2	2.837
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	196847600	248524859	35498	0.0029
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	248525264	248631988	38	-0.5142
bba3b456-8236-47bc-b90b-6d5aac69fc59	1	248633821	248930189	143	0.0813
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	12784	71404938	49432	-0.002
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	71407458	71407708	2	-3.2141
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	71408016	74960767	1849	-0.0022
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	74961122	74961761	2	-3.3244
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	74962422	87146770	7656	-0.0073
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	87147828	87747102	115	0.6483
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	87835245	88932284	543	-0.0195
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	88933156	94681256	311	0.1652
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	94682300	97150698	826	-0.0167
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	97156100	97211436	34	0.705
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	97310327	128880504	18925	0.0007
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	128880904	128882741	15	-0.9125
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	128882755	130022403	864	0.0064
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	130022580	130116915	21	0.755
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	130117303	146104517	9503	0.0077
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	146106836	146109366	24	0.6481
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	146120238	148108494	1007	-0.0178
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	148110213	148172368	33	-0.9504
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	148174421	211495674	38226	0.0002
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	211496349	211497409	2	-2.8165
bba3b456-8236-47bc-b90b-6d5aac69fc59	2	211497538	242147305	19541	-0.0026
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	20930	37935926	27522	0.0034
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	37940617	37945615	19	-0.7854
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	37945651	75451613	24970	-0.0005
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	75458243	75852300	97	0.4151
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	75853316	79902472	2391	0.0061
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	79902628	79910590	2	-2.0362
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	79910602	84651145	2511	0.0113
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	84651166	84653262	12	-0.7697
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	84653312	106218018	10095	0.0084
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	106223706	106224992	2	-3.2299
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	106227813	107317337	641	-0.0046
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	107320614	107324165	2	-2.3556
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	107324202	130027784	13887	-0.0009
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	130028313	130201415	81	0.4934
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	130202376	162490485	19969	0.0055
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	162490617	162508950	28	-0.6711
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	162509006	162795304	179	-0.0016
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	162795361	162908207	67	-0.9126
bba3b456-8236-47bc-b90b-6d5aac69fc59	3	162908784	198169247	21804	0.007
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	68929	3877891	1561	-0.0105
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	3884081	4175446	76	0.4009
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	4176082	9435282	3493	0.0064
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	9435283	9617513	52	0.5628
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	9624789	10208766	498	0.0282
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	10212536	10236812	38	1.2847
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	10237337	10390730	169	0.0405
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	10391530	10401140	18	-0.6991
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	10401374	34785541	16722	0.01
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	34786399	34837370	42	-0.5315
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	34839673	49087357	8914	0.0077
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	49091769	49641746	26	0.5891
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	49647774	68478894	10419	0.0152
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	68494770	68639397	69	-1.0384
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	68640616	121360818	31925	0.0013
bba3b456-8236-47bc-b90b-6d5aac69fc59	4	121361313	121363434	26	-0.7937
