GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	62920	1716055	215	0.0215
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	1716451	1732392	8	1.3057
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	1737662	15822848	8098	0.0077
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	15823420	15827430	7	1.0517
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	15827706	21992508	3751	0.0101
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	21996664	22010750	5	-1.5805
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	22011632	34625993	6876	-0.0044
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	34626037	34638890	22	-0.7982
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	34648667	39631846	2694	0.0127
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	39638789	39638912	2	-1.8352
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	39648952	68557573	18844	-0.0042
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	68558490	68558570	2	-1.6635
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	68560628	72284670	2186	-0.0109
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	72290430	72297687	9	-0.8076
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	72302735	72357136	59	0.2996
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	72357153	73834305	894	-0.0254
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	73834322	73834333	2	-1.2497
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	73839919	75585159	1025	-0.041
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	75589078	75589169	2	-2.9527
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	75593824	87790363	8152	-0.0217
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	87792171	87794965	5	-2.7174
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	87795360	102233991	9206	-0.0265
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	102238929	102240089	3	-1.2815
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	102240920	109684893	4299	-0.0077
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	109690352	109697556	13	-1.5768
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	109702376	121705338	7129	-0.0103
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	143459641	143921397	124	0.7254
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	143927536	144932423	20	-0.0169
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	145642976	152583051	2300	0.7389
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	152583230	152613762	31	1.4934
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	152613802	152787202	171	0.7385
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	152789447	152796224	37	1.2249
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	152801429	158896783	3614	0.7297
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	158898711	158899969	2	-0.7749
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	158905028	158989785	62	0.7423
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	158992249	158993006	2	-1.3144
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	158997074	179354603	14219	0.7403
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	179361393	179362247	2	-2.8753
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	179364180	179640923	178	0.7033
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	179652797	179652946	2	-1.3109
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	179654109	185444970	3940	0.7446
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	185447538	185447580	2	-1.3793
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	185451592	196745743	7448	0.7336
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	196758720	196832720	58	1.1279
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	196843377	213641465	11226	0.737
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	213643968	213651067	2	-1.081
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	213657249	223470919	6922	0.7473
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	223471064	223471136	3	-0.7718
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	223471914	228346751	2896	0.7343
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	228347149	228347860	3	2.0175
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	228355602	246780043	13531	0.7453
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	246780235	246782363	3	-0.7166
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	1	246782442	248930189	1238	0.7572
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	12784	7962159	6263	-0.0234
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	7963956	7964463	4	-1.7538
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	7965499	32824455	16507	-0.0126
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	32825749	32826462	2	-1.8001
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	32827119	38147954	4118	-0.023
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	38148629	38148887	3	-2.4274
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	38149427	40103135	1240	-0.0198
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	40105711	40108270	2	-4.3093
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	40108736	52527423	8969	-0.0195
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	52527590	52527743	3	-2.6958
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	52531615	52554259	28	0.4735
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	52554274	86878753	21962	-0.016
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	86881088	86901078	7	0.2924
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	86902080	86910262	2	-2.2681
a2a1f3e8-7484-4105-92b6-6a7d0b2d9ace	2	86934730	111520729	10077	-0.0199
