GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1959d4e5-55c8-4899-9e50-46ef1499052d	1	62920	1575421	210	-0.1301
1959d4e5-55c8-4899-9e50-46ef1499052d	1	1696479	1756148	17	-1.1428
1959d4e5-55c8-4899-9e50-46ef1499052d	1	1756211	3109696	428	-0.1366
1959d4e5-55c8-4899-9e50-46ef1499052d	1	3118555	16488499	7971	0.0089
1959d4e5-55c8-4899-9e50-46ef1499052d	1	16489035	16934753	115	-0.2035
1959d4e5-55c8-4899-9e50-46ef1499052d	1	16934768	21298294	2937	0.0178
1959d4e5-55c8-4899-9e50-46ef1499052d	1	21304987	21314008	12	-0.9285
1959d4e5-55c8-4899-9e50-46ef1499052d	1	21314072	72284670	31035	0.0187
1959d4e5-55c8-4899-9e50-46ef1499052d	1	72290430	72297687	9	-0.8798
1959d4e5-55c8-4899-9e50-46ef1499052d	1	72302735	72345465	48	0.5317
1959d4e5-55c8-4899-9e50-46ef1499052d	1	72346221	93871492	13795	0.0262
1959d4e5-55c8-4899-9e50-46ef1499052d	1	93871945	93876168	2	1.6206
1959d4e5-55c8-4899-9e50-46ef1499052d	1	93877467	103560166	6192	0.0259
1959d4e5-55c8-4899-9e50-46ef1499052d	1	103560435	103616762	29	0.511
1959d4e5-55c8-4899-9e50-46ef1499052d	1	103620877	105470132	923	0.027
1959d4e5-55c8-4899-9e50-46ef1499052d	1	105470754	105479753	18	-0.5765
1959d4e5-55c8-4899-9e50-46ef1499052d	1	105481433	109690640	2641	0.0258
1959d4e5-55c8-4899-9e50-46ef1499052d	1	109690705	109697556	9	-1.3197
1959d4e5-55c8-4899-9e50-46ef1499052d	1	109702376	152583051	9573	0.0146
1959d4e5-55c8-4899-9e50-46ef1499052d	1	152583230	152614118	35	1.387
1959d4e5-55c8-4899-9e50-46ef1499052d	1	152618018	152789570	172	-0.0078
1959d4e5-55c8-4899-9e50-46ef1499052d	1	152789781	152795487	26	0.5722
1959d4e5-55c8-4899-9e50-46ef1499052d	1	152795783	196729112	29430	0.0221
1959d4e5-55c8-4899-9e50-46ef1499052d	1	196729142	196802150	62	0.2851
1959d4e5-55c8-4899-9e50-46ef1499052d	1	196820098	199138574	1391	0.0215
1959d4e5-55c8-4899-9e50-46ef1499052d	1	199142235	199145110	10	-0.6791
1959d4e5-55c8-4899-9e50-46ef1499052d	1	199145262	209897717	7391	0.017
1959d4e5-55c8-4899-9e50-46ef1499052d	1	209908268	209908720	2	-1.6905
1959d4e5-55c8-4899-9e50-46ef1499052d	1	209910639	248546369	26835	0.0154
1959d4e5-55c8-4899-9e50-46ef1499052d	1	248550567	248633912	35	-0.812
1959d4e5-55c8-4899-9e50-46ef1499052d	1	248645563	248930189	140	0.0112
1959d4e5-55c8-4899-9e50-46ef1499052d	2	12784	4158097	2987	-0.0107
1959d4e5-55c8-4899-9e50-46ef1499052d	2	4166274	4175922	37	-0.7659
1959d4e5-55c8-4899-9e50-46ef1499052d	2	4175977	34476327	21056	0.019
1959d4e5-55c8-4899-9e50-46ef1499052d	2	34476516	34511990	44	-0.4815
1959d4e5-55c8-4899-9e50-46ef1499052d	2	34512096	87074984	35030	0.0254
1959d4e5-55c8-4899-9e50-46ef1499052d	2	87079825	87082140	2	-2.2544
1959d4e5-55c8-4899-9e50-46ef1499052d	2	87082711	87747102	124	-0.1958
1959d4e5-55c8-4899-9e50-46ef1499052d	2	87835245	106258041	7296	0.0135
1959d4e5-55c8-4899-9e50-46ef1499052d	2	106258193	106270952	16	-0.5254
