GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	62920	98588	12	-0.9578
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	98602	54975403	30163	-0.2213
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	54977932	54983600	4	-0.7425
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	54983945	61587292	5056	-0.1654
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	61587519	65754162	3062	-0.215
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	65754363	108187137	27112	-0.1493
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	108191613	108192255	2	-2.9745
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	108194874	109690352	694	-0.1591
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	109690415	109703508	15	0.808
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	109707613	112153880	1939	-0.1712
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	112153915	112163334	19	0.4841
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	112163438	121705338	5134	-0.1663
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	143459641	144442098	132	-0.7509
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	144442342	152588065	2315	0.2046
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	152588392	152614118	26	-0.4659
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	152618018	152784298	162	0.1696
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	152784330	152801429	41	-0.6766
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	152804279	153487826	516	0.2096
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	153487977	158595879	2810	0.1582
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	158596188	196843377	26109	0.2153
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	196843400	196878339	37	-0.3098
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	196878845	209725194	8578	0.2135
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	209725638	210165529	300	0.3947
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	210165934	225461457	10377	0.2344
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	225465182	228358541	1685	0.1694
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	228358786	228505354	57	0.3174
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	228511814	228512270	2	-1.9546
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	228514917	248525314	14488	0.2175
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	248546369	248574146	4	-1.3221
b24caa7b-337e-43d0-9908-2815f24dd7b5	1	248585893	248930189	173	0.2367
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	12784	26428023	18803	-0.274
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	26428089	27738702	604	-0.1514
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	27746967	28020090	124	0.5998
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	28021813	28809298	479	0.817
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	28809372	29942429	949	0.2679
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	29942576	30738780	524	0.0469
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	30739131	30962156	178	0.3697
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	30962845	30981732	18	0.8683
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	30981755	31587991	445	0.5319
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	31599185	34295406	1708	0.3289
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	34298911	34300513	2	-1.4989
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	34300900	34803142	353	0.4205
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	34809665	34939049	91	-0.1741
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	34943067	43758801	6468	-0.0135
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	43759523	52514599	6155	-0.1351
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	52516787	52554404	41	-1.5812
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	52560811	60182244	5348	-0.119
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	60182303	132605370	39057	-0.1626
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	132605398	134308905	1304	-0.1088
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	134309531	134309650	2	-3.1845
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	134310436	137111416	1738	-0.1748
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	137112304	146103836	5542	-0.1038
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	146103878	146109366	26	-1.2357
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	146120238	201296789	33022	-0.1173
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	201298088	201298760	2	-3.3089
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	201305206	211497538	6230	-0.1202
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	211497603	211497627	2	-2.1202
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	211498032	215911546	2892	-0.095
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	215911681	219671260	2285	-0.1775
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	219671367	227032332	4979	-0.1316
b24caa7b-337e-43d0-9908-2815f24dd7b5	2	227033718	242147305	9362	-0.1849
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	20930	32050	11	-0.1913
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	32077	1940909	1718	0.1193
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	1940971	2022666	70	-0.1952
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	2022963	36242052	24599	0.1258
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	36242067	36256182	18	-0.5444
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	36256198	43324113	4606	0.1155
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	43324551	45435202	1135	0.0799
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	45435233	45448406	6	-1.1847
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	45449880	46771536	907	0.0989
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	46771582	46828459	25	0.5061
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	46831077	54540507	3556	0.0622
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	54541743	75511990	15872	0.1233
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	75519398	75537654	7	-1.3389
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	75546030	100648381	11736	0.1186
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	100648519	107556784	4145	-0.1257
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	107559306	109614761	1299	0.1144
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	109618607	115943772	3814	-0.1721
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	115947381	116155945	130	-0.4563
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	116159956	127149173	6893	-0.1557
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	127149481	127152287	6	-2.5056
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	127154043	130057833	1570	-0.1929
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	130062033	130087393	34	-1.6304
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	130088081	142279655	7491	-0.1658
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	142284608	142644590	152	0.1232
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	142645650	148268556	3575	-0.152
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	148269290	155197441	4340	0.1143
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	155197992	155377207	110	-0.138
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	155377573	156205287	445	0.0804
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	156205930	156507959	220	-0.1255
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	156508429	157618329	704	0.1468
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	157618775	157940523	213	-0.0914
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	157942874	159824289	1089	0.1329
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	159829683	162790480	1844	-0.1138
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	162794869	162906054	65	-0.839
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	162906065	173545507	6338	-0.1424
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	173546351	173564525	8	-1.5421
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	173565439	175180468	1079	-0.141
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	175180656	175180817	3	1.656
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	175180943	177363731	1430	-0.1224
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	177367935	177885372	374	0.1202
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	177885731	178834883	533	-0.138
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	178836125	179953634	778	0.1152
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	179953776	180486221	304	-0.1616
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	180504164	180592506	36	0.4994
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	180594386	182800716	1160	-0.1304
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	182801640	182905580	52	0.5107
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	182915361	189642489	4493	-0.1903
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	189642965	189646849	12	-2.1361
b24caa7b-337e-43d0-9908-2815f24dd7b5	3	189653199	198169247	5182	-0.1711
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	68929	264049	93	0.1201
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	264574	21988502	14304	0.0098
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	21989275	68509237	27645	0.0492
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	68509442	68623617	63	-1.1132
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	68639397	71791326	1792	0.1253
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	71794807	71991829	110	0.2794
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	71992537	72856975	544	0.1828
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	72856987	73337384	251	0.332
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	73337415	79630822	4122	0.1219
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	79631045	91991377	7579	0.0549
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	92001246	92074808	25	-0.645
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	92076871	92078014	2	-4.6682
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	92084677	92114603	19	-0.7454
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	92114771	179156338	52449	0.0546
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	179156788	179788607	426	-0.5279
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	179791082	181883310	1713	0.0129
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	181883939	182678506	627	-0.2211
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	182678639	189864410	4855	0.013
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	189870388	189871792	2	-2.3777
b24caa7b-337e-43d0-9908-2815f24dd7b5	4	189872905	190106768	57	0.0872
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	15532	185045	95	-0.357
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	185229	3055934	1861	-0.5229
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	3057278	3059847	4	-2.7302
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	3059903	8413201	4646	-0.5008
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	8413243	26841667	12102	-0.4159
b24caa7b-337e-43d0-9908-2815f24dd7b5	5	26846784	26919816	52	0.4054
