GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	62920	4215231	1247	0.1314
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	4220110	5965473	1547	-0.188
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	5967673	6116631	77	0.1553
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	6117854	7469027	758	-0.1628
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	7469184	7589655	107	0.2507
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	7596443	10449843	1519	-0.1773
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	10449902	10567485	76	0.1213
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	10572525	15822042	3004	-0.1655
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	15822508	15827706	12	0.2999
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	15827744	16570326	304	-0.1743
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	16583114	16679239	28	-0.5692
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	16679281	16863509	26	-0.0128
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	16864367	16949746	55	0.1996
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	16951445	18272912	978	-0.1497
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	18275108	18602432	265	0.2344
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	18607587	20163158	1028	-0.1689
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	20164095	25256850	2987	-0.2991
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	25266637	25320455	24	-1.8283
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	25336819	34637541	4958	-0.3026
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	34637830	34638442	6	0.5054
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	34638588	58113416	13939	-0.3024
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	58113512	72302735	9839	-0.3387
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	72302815	72345465	47	0.4714
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	72346221	75585159	1932	-0.3779
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	75589078	75589169	2	-2.3166
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	75593824	77325441	1307	-0.3509
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	77330234	84179035	4403	0.1473
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	84179610	104437458	12772	-0.3562
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	104441395	105476583	541	0.487
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	105476614	105479753	16	1.2463
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	105481433	106865436	932	0.4807
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	106869931	109679105	1704	0.1732
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	109684695	109702376	16	0.7346
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	109703504	109888398	130	0.1776
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	109888800	109891299	3	-0.7219
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	109893187	113794593	2820	0.1862
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	113795073	115200245	903	0.132
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	115200669	117444548	1539	0.1823
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	117448224	117510870	32	0.5676
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	117512150	152583051	4155	0.1878
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	152583230	152613762	31	-2.0585
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	152613802	152614118	4	-0.6165
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	152618018	152789570	172	0.1792
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	152789781	152796224	32	0.6724
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	152801429	176245434	15795	0.1644
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	176251077	176371568	46	0.4995
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	176373704	176958790	359	0.1558
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	176959387	177269256	245	0.5507
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	177272294	177336261	38	1.0844
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	177336669	177620817	172	0.5699
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	177627533	179354603	1249	0.1724
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	179361393	185561655	4210	0.5198
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	185564173	189679027	2624	0.4528
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	189679353	189679397	2	-2.3533
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	189682917	195524583	3940	0.454
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	195527027	195637907	58	0.0385
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	195640764	196520402	594	0.4603
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	196522064	196745692	146	0.4819
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	196745743	196846661	62	0.8808
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	196847600	198335406	820	0.4796
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	198337730	198338649	3	-0.668
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	198342229	227237600	19641	0.5211
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	227238371	227238705	3	-0.8536
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	227241477	237323479	7153	0.5137
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	237323909	241666784	3484	0.4551
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	241667079	245473108	2529	0.5029
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	245473737	245482979	9	-0.1981
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	245483048	248446755	1990	0.499
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	248447206	248477891	12	-0.0951
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	1	248520099	248930189	188	0.5113
ce2e1bd2-6d7a-45d2-92ca-e2550974cfc8	2	12784	115035	51	0.3714
