GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
2396d2fd-7513-450b-a112-15e1e3afa661	1	3301765	65382392	35354	0.008
2396d2fd-7513-450b-a112-15e1e3afa661	1	65386381	65558432	40	0.5163
2396d2fd-7513-450b-a112-15e1e3afa661	1	65565630	247650984	94234	0.0052
2396d2fd-7513-450b-a112-15e1e3afa661	2	480597	69699520	41102	0.0071
2396d2fd-7513-450b-a112-15e1e3afa661	2	69701324	69701632	2	-2.149
2396d2fd-7513-450b-a112-15e1e3afa661	2	69701793	181719584	57120	0.0013
2396d2fd-7513-450b-a112-15e1e3afa661	2	181720037	181721838	3	-1.9907
2396d2fd-7513-450b-a112-15e1e3afa661	2	181722307	193722432	5711	0.001
2396d2fd-7513-450b-a112-15e1e3afa661	2	193724639	193733648	7	-0.8492
2396d2fd-7513-450b-a112-15e1e3afa661	2	193737212	241351844	27988	0.0016
2396d2fd-7513-450b-a112-15e1e3afa661	2	241357034	241359395	2	-1.5531
2396d2fd-7513-450b-a112-15e1e3afa661	2	241360195	241537572	106	-0.0315
2396d2fd-7513-450b-a112-15e1e3afa661	3	2170634	197812401	107051	0.0087
2396d2fd-7513-450b-a112-15e1e3afa661	4	1059384	187842528	103336	0.0067
2396d2fd-7513-450b-a112-15e1e3afa661	5	914118	103688305	54260	0.0075
2396d2fd-7513-450b-a112-15e1e3afa661	5	103692243	103693035	2	-1.9768
2396d2fd-7513-450b-a112-15e1e3afa661	5	103693070	180934240	46736	0.0076
2396d2fd-7513-450b-a112-15e1e3afa661	6	1011760	74831381	41528	0.0046
2396d2fd-7513-450b-a112-15e1e3afa661	6	74834150	74834414	2	-1.4375
2396d2fd-7513-450b-a112-15e1e3afa661	6	74835204	165197984	53244	0.0059
2396d2fd-7513-450b-a112-15e1e3afa661	6	165198367	165198484	2	2.6891
2396d2fd-7513-450b-a112-15e1e3afa661	6	165199171	170596889	2259	-0.0039
2396d2fd-7513-450b-a112-15e1e3afa661	7	664936	15980674	7771	0.01
2396d2fd-7513-450b-a112-15e1e3afa661	7	15983449	15983465	3	-1.3747
2396d2fd-7513-450b-a112-15e1e3afa661	7	15983505	77676274	31104	0.0069
2396d2fd-7513-450b-a112-15e1e3afa661	7	77678691	77686586	9	-1.0096
2396d2fd-7513-450b-a112-15e1e3afa661	7	77688362	158592540	42969	0.0071
2396d2fd-7513-450b-a112-15e1e3afa661	8	667625	144182542	82153	0.0053
2396d2fd-7513-450b-a112-15e1e3afa661	9	789794	138044505	68411	0.0072
2396d2fd-7513-450b-a112-15e1e3afa661	10	366509	133411599	81208	0.0068
2396d2fd-7513-450b-a112-15e1e3afa661	11	456012	134272740	77504	0.0079
2396d2fd-7513-450b-a112-15e1e3afa661	12	780472	132605822	74253	0.0058
2396d2fd-7513-450b-a112-15e1e3afa661	13	18874255	112607731	56396	0.0077
2396d2fd-7513-450b-a112-15e1e3afa661	13	112610927	112611323	3	-1.3734
2396d2fd-7513-450b-a112-15e1e3afa661	13	112613704	114226675	512	0.0177
2396d2fd-7513-450b-a112-15e1e3afa661	14	20033191	99952762	47306	0.0057
2396d2fd-7513-450b-a112-15e1e3afa661	14	99953096	99954659	2	-1.6066
2396d2fd-7513-450b-a112-15e1e3afa661	14	99969159	105533894	2412	0.0047
2396d2fd-7513-450b-a112-15e1e3afa661	15	23437561	89415911	37435	0.0035
2396d2fd-7513-450b-a112-15e1e3afa661	15	89417281	89417629	3	-1.17
2396d2fd-7513-450b-a112-15e1e3afa661	15	89421400	101344124	7300	0.0029
2396d2fd-7513-450b-a112-15e1e3afa661	16	603333	49296232	15497	0.006
2396d2fd-7513-450b-a112-15e1e3afa661	16	49296972	49300726	7	-0.9753
2396d2fd-7513-450b-a112-15e1e3afa661	16	49301871	89317317	25677	0.0067
2396d2fd-7513-450b-a112-15e1e3afa661	17	1074619	72959038	33232	0.0046
2396d2fd-7513-450b-a112-15e1e3afa661	17	72962973	72963746	2	-1.8468
2396d2fd-7513-450b-a112-15e1e3afa661	17	72964357	82959812	4025	0.0098
2396d2fd-7513-450b-a112-15e1e3afa661	18	326691	9887939	5462	0.0036
2396d2fd-7513-450b-a112-15e1e3afa661	18	9888030	9888561	2	-1.6604
2396d2fd-7513-450b-a112-15e1e3afa661	18	9892289	79349796	37434	0.0093
2396d2fd-7513-450b-a112-15e1e3afa661	19	283868	32599359	12609	0.0043
2396d2fd-7513-450b-a112-15e1e3afa661	19	32603546	32613655	13	-0.9392
2396d2fd-7513-450b-a112-15e1e3afa661	19	32614998	46637422	6674	0.0051
2396d2fd-7513-450b-a112-15e1e3afa661	19	46637901	46640522	2	-2.0002
2396d2fd-7513-450b-a112-15e1e3afa661	19	46642815	58370362	4839	0.0022
2396d2fd-7513-450b-a112-15e1e3afa661	20	472817	38607050	20694	0.0105
2396d2fd-7513-450b-a112-15e1e3afa661	20	38607174	38608851	2	-1.3851
2396d2fd-7513-450b-a112-15e1e3afa661	20	38609775	63588502	16832	0.0071
2396d2fd-7513-450b-a112-15e1e3afa661	21	13974127	46262057	20568	0.0043
2396d2fd-7513-450b-a112-15e1e3afa661	22	16934932	48940621	17081	0.004
2396d2fd-7513-450b-a112-15e1e3afa661	X	3236359	155677414	63926	0.0072
