GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
c89057a9-8d18-44a0-a040-57726857a7ba	1	3301765	247650984	129524	0.0078
c89057a9-8d18-44a0-a040-57726857a7ba	2	480597	241537572	131964	0.0075
c89057a9-8d18-44a0-a040-57726857a7ba	3	2170634	197812401	107074	0.0064
c89057a9-8d18-44a0-a040-57726857a7ba	4	1059384	105369944	58536	0.0049
c89057a9-8d18-44a0-a040-57726857a7ba	4	105370964	105374690	3	-1.7515
c89057a9-8d18-44a0-a040-57726857a7ba	4	105376032	126436421	12086	0.0041
c89057a9-8d18-44a0-a040-57726857a7ba	4	126442970	126444174	6	-0.8766
c89057a9-8d18-44a0-a040-57726857a7ba	4	126444744	187842528	32734	0.0089
c89057a9-8d18-44a0-a040-57726857a7ba	5	914118	30793760	17709	0.0071
c89057a9-8d18-44a0-a040-57726857a7ba	5	30795135	30795248	2	-1.4729
c89057a9-8d18-44a0-a040-57726857a7ba	5	30799414	180934240	83278	0.0109
c89057a9-8d18-44a0-a040-57726857a7ba	6	1011760	170596889	96989	0.0079
c89057a9-8d18-44a0-a040-57726857a7ba	7	664936	50828569	29691	0.0078
c89057a9-8d18-44a0-a040-57726857a7ba	7	50829579	50829774	2	-1.889
c89057a9-8d18-44a0-a040-57726857a7ba	7	50834372	158592540	52114	0.0076
c89057a9-8d18-44a0-a040-57726857a7ba	8	667625	144182542	82099	0.0086
c89057a9-8d18-44a0-a040-57726857a7ba	9	789794	28452254	17702	0.006
c89057a9-8d18-44a0-a040-57726857a7ba	9	28464274	28473656	8	0.7114
c89057a9-8d18-44a0-a040-57726857a7ba	9	28476227	138044505	50648	0.0079
c89057a9-8d18-44a0-a040-57726857a7ba	10	366509	133411599	81149	0.0096
c89057a9-8d18-44a0-a040-57726857a7ba	11	456012	134272740	77450	0.0063
c89057a9-8d18-44a0-a040-57726857a7ba	12	780472	132605822	74221	0.0081
c89057a9-8d18-44a0-a040-57726857a7ba	13	18874255	114226675	56916	0.0105
c89057a9-8d18-44a0-a040-57726857a7ba	14	20033191	105533894	49683	0.009
c89057a9-8d18-44a0-a040-57726857a7ba	15	23437561	101344124	44724	0.0082
c89057a9-8d18-44a0-a040-57726857a7ba	16	603333	89317317	41126	0.0105
c89057a9-8d18-44a0-a040-57726857a7ba	17	1074619	57743579	24496	0.0094
c89057a9-8d18-44a0-a040-57726857a7ba	17	57747588	57747757	2	-1.8279
c89057a9-8d18-44a0-a040-57726857a7ba	17	57747915	82887813	12656	0.0129
c89057a9-8d18-44a0-a040-57726857a7ba	17	82888640	82890848	2	-2.0813
c89057a9-8d18-44a0-a040-57726857a7ba	17	82895012	82959812	52	0.0575
c89057a9-8d18-44a0-a040-57726857a7ba	18	326691	13975228	8117	0.0077
c89057a9-8d18-44a0-a040-57726857a7ba	18	13982899	14642857	126	-1.1304
c89057a9-8d18-44a0-a040-57726857a7ba	18	14648458	77559660	33549	0.0077
c89057a9-8d18-44a0-a040-57726857a7ba	18	77560046	77562925	5	-1.1902
c89057a9-8d18-44a0-a040-57726857a7ba	18	77563724	79349796	1088	0.0077
c89057a9-8d18-44a0-a040-57726857a7ba	19	283868	58370362	24089	0.0045
c89057a9-8d18-44a0-a040-57726857a7ba	20	472817	5408813	3102	0.0118
c89057a9-8d18-44a0-a040-57726857a7ba	20	5416682	5416977	2	-2.2334
c89057a9-8d18-44a0-a040-57726857a7ba	20	5417495	63588502	34381	0.0096
c89057a9-8d18-44a0-a040-57726857a7ba	21	13974127	46262057	20562	0.0115
c89057a9-8d18-44a0-a040-57726857a7ba	22	16934932	48940621	17050	0.006
c89057a9-8d18-44a0-a040-57726857a7ba	X	3236359	155677414	63926	0.006
