GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	1	3301765	247650984	129822	0.0212
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	2	480597	241537572	132271	0.0231
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	3	2170634	73356112	42638	0.0256
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	3	73357331	73368912	3	-2.0298
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	3	73375351	144886530	37285	0.0271
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	3	144887288	144891971	2	-2.6954
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	3	144892714	197812401	27309	0.0275
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	4	1059384	187842528	103556	0.0267
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	5	913983	180934240	101173	0.0246
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	6	1011760	41154956	24563	0.0218
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	6	41157402	41161121	3	-1.9899
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	6	41161367	170596889	72653	0.0277
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	7	664936	158592540	81990	0.0247
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	8	667625	144182542	82281	0.0264
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	9	789794	138044505	68521	0.0239
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	366509	112204060	67467	0.0223
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	112206728	112245965	29	-1.1291
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	112257121	133173642	13783	0.023
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	133173839	133174557	2	-2.2841
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	133182209	133298422	20	0.1571
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	133299595	133344595	12	-0.1278
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	10	133345424	133411599	30	0.0965
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	11	456012	83615936	44730	0.0232
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	11	83625269	83628345	2	-2.6856
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	11	83628723	134272740	32888	0.0275
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	12	780472	132605822	74389	0.0221
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	13	18874255	33212478	8816	0.0271
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	13	33215228	33216766	2	-2.3092
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	13	33218104	76812404	24785	0.0248
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	13	76813365	76814406	3	-1.9942
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	13	76814541	114226675	23425	0.0304
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	14	20033191	21002801	589	0.021
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	14	21006080	21007850	3	-2.0488
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	14	21011296	44792824	12362	0.0235
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	14	44794612	44797256	2	-2.5114
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	14	44800286	105533894	36869	0.0239
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	15	23437561	101344124	44820	0.0206
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	16	603333	89317317	41224	0.0229
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	17	1074619	82959812	37299	0.0181
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	18	326691	79349796	42992	0.0298
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	19	283868	58370362	24165	0.0238
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	20	472817	63588502	37581	0.0203
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	21	13974127	15212881	822	0.0349
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	21	15215975	15221588	2	-1.9594
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	21	15222721	17052432	1083	0.058
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	21	17052725	17058241	3	-2.0226
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	21	17058852	46262057	18700	0.0439
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	22	16934932	48940621	17098	0.0253
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	X	3236359	74814353	28589	0.0286
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	X	74820537	74822467	2	-2.2207
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	X	74824540	133615470	25652	0.0276
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	X	133618337	133628906	2	-2.7985
f0ba3ce7-96a9-4b54-9adb-f51e4c40b8ce	X	133629196	155677414	9750	0.0219
