GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	62920	462795	18	0.262
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	462894	668210	3	-0.8656
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	771719	850545	19	0.2628
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	850609	3009991	570	-0.0973
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	3014763	25256850	13415	-0.0057
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	25266637	25320455	24	-1.718
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	25336819	45772399	11150	0.0055
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	45774377	46129164	190	-0.1217
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	46130011	72284670	17393	0.0078
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	72290430	72297687	9	-0.8329
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	72302735	72345465	48	1.468
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	72346221	105476583	20961	0.0216
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	105476614	105479753	16	-2.1592
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	105481433	109684893	2638	0.0093
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	109690352	109697556	13	-0.8923
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	109702376	110834746	837	0.03
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	110834943	110845604	38	-0.7487
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	110849445	112154566	1095	0.0251
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	112154576	112154619	3	-0.9028
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	112154754	121601998	5164	0.0168
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	121705338	143942271	128	0.6186
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	144432083	146150530	180	-0.1072
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	146161924	146250588	3	-1.2617
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	146716041	151367035	1388	-0.0114
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	151373282	151425328	48	-0.2671
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	151425402	152583051	696	-0.0024
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	152583230	152614118	35	-1.4986
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	152618018	152790039	177	0.023
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	152790180	152796224	26	0.5009
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	152801429	158896783	3616	0.0127
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	158898711	158899969	2	1.354
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	158905028	161509648	1641	0.0248
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	161532067	161648901	10	0.5456
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	161649069	169028126	5840	0.016
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	169033687	169038604	2	-1.3292
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	169039274	189336405	13398	0.0139
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	189338264	189567882	145	0.202
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	189568003	196745743	4827	0.0283
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	196758720	196846661	61	-1.8887
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	196847600	208664109	7781	0.0103
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	208664298	208664564	2	-1.5592
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	208664621	230762485	14923	0.0119
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	230764833	230765361	5	-0.8933
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	230765860	241900849	8588	0.0001
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	241901331	242002676	52	-0.3264
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	242006361	245380056	2188	-0.0013
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	245381707	245381842	2	1.1992
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	245383096	246320644	754	-0.0105
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	246325850	246901595	374	-0.1228
e69620b7-c659-4b4b-8b7d-c999f86d37e8	1	246902046	248930189	1156	0.0138
e69620b7-c659-4b4b-8b7d-c999f86d37e8	2	12784	24376380	17938	0.015
e69620b7-c659-4b4b-8b7d-c999f86d37e8	2	24378642	24404365	42	-0.2632
e69620b7-c659-4b4b-8b7d-c999f86d37e8	2	24407230	27216883	1381	0.0046
