GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
d468f1f7-043a-4203-9781-592c0a08f1e0	1	62920	462795	18	0.7374
d468f1f7-043a-4203-9781-592c0a08f1e0	1	462894	12778601	6471	0.0009
d468f1f7-043a-4203-9781-592c0a08f1e0	1	12779433	13391364	50	0.3676
d468f1f7-043a-4203-9781-592c0a08f1e0	1	13397641	16488499	2098	-0.0122
d468f1f7-043a-4203-9781-592c0a08f1e0	1	16489035	16721910	51	0.5323
d468f1f7-043a-4203-9781-592c0a08f1e0	1	16721984	16855942	15	-0.1633
d468f1f7-043a-4203-9781-592c0a08f1e0	1	16863509	16935752	55	0.5786
d468f1f7-043a-4203-9781-592c0a08f1e0	1	16949746	25256850	5261	-0.0046
d468f1f7-043a-4203-9781-592c0a08f1e0	1	25266637	25320455	24	0.5558
d468f1f7-043a-4203-9781-592c0a08f1e0	1	25336819	72303233	28725	-0.0008
d468f1f7-043a-4203-9781-592c0a08f1e0	1	72303253	72345450	44	-1.1771
d468f1f7-043a-4203-9781-592c0a08f1e0	1	72345465	121593930	30742	0.0077
d468f1f7-043a-4203-9781-592c0a08f1e0	1	121597150	144458153	141	0.2742
d468f1f7-043a-4203-9781-592c0a08f1e0	1	144462189	166579136	11761	-0.0015
d468f1f7-043a-4203-9781-592c0a08f1e0	1	166582964	166583523	5	-1.2185
d468f1f7-043a-4203-9781-592c0a08f1e0	1	166583858	190395090	16039	0.0064
d468f1f7-043a-4203-9781-592c0a08f1e0	1	190399453	190400839	5	-1.2895
d468f1f7-043a-4203-9781-592c0a08f1e0	1	190402172	242973026	36300	0.0059
d468f1f7-043a-4203-9781-592c0a08f1e0	1	242976935	243094761	17	0.5682
d468f1f7-043a-4203-9781-592c0a08f1e0	1	243105104	248415321	3519	0.0131
d468f1f7-043a-4203-9781-592c0a08f1e0	1	248415350	248473963	21	-0.732
d468f1f7-043a-4203-9781-592c0a08f1e0	1	248475325	248930189	188	0.0642
d468f1f7-043a-4203-9781-592c0a08f1e0	2	12784	4166274	2984	-0.0041
d468f1f7-043a-4203-9781-592c0a08f1e0	2	4166610	4182472	42	0.383
d468f1f7-043a-4203-9781-592c0a08f1e0	2	4187192	4870219	597	-0.0018
d468f1f7-043a-4203-9781-592c0a08f1e0	2	4870307	4870552	7	-1.4961
d468f1f7-043a-4203-9781-592c0a08f1e0	2	4876276	34438376	20448	0.0016
d468f1f7-043a-4203-9781-592c0a08f1e0	2	34438862	34512965	56	0.3976
d468f1f7-043a-4203-9781-592c0a08f1e0	2	34515572	52527743	12994	0.0017
d468f1f7-043a-4203-9781-592c0a08f1e0	2	52531615	52554384	32	-0.6946
d468f1f7-043a-4203-9781-592c0a08f1e0	2	52554404	55095759	1971	-0.0121
d468f1f7-043a-4203-9781-592c0a08f1e0	2	55097152	55103177	37	-0.792
d468f1f7-043a-4203-9781-592c0a08f1e0	2	55103192	57976179	1889	0.0028
d468f1f7-043a-4203-9781-592c0a08f1e0	2	57978394	57980612	2	-2.2034
d468f1f7-043a-4203-9781-592c0a08f1e0	2	57980939	86710564	18011	-0.0024
d468f1f7-043a-4203-9781-592c0a08f1e0	2	86725947	86726731	2	1.8283
d468f1f7-043a-4203-9781-592c0a08f1e0	2	86743283	88950294	752	0.0222
d468f1f7-043a-4203-9781-592c0a08f1e0	2	88950544	94675975	300	0.2316
d468f1f7-043a-4203-9781-592c0a08f1e0	2	94680914	97136585	825	0.0322
d468f1f7-043a-4203-9781-592c0a08f1e0	2	97137026	97658064	91	0.3204
d468f1f7-043a-4203-9781-592c0a08f1e0	2	97660859	106258266	5532	-0.0022
d468f1f7-043a-4203-9781-592c0a08f1e0	2	106263639	106270799	13	0.7675
d468f1f7-043a-4203-9781-592c0a08f1e0	2	106270952	131458124	14712	0.0096
d468f1f7-043a-4203-9781-592c0a08f1e0	2	131464435	131468795	3	-1.5506
d468f1f7-043a-4203-9781-592c0a08f1e0	2	131472229	132601016	477	0.1094
d468f1f7-043a-4203-9781-592c0a08f1e0	2	132603497	137632679	3403	0.0013
d468f1f7-043a-4203-9781-592c0a08f1e0	2	137633381	137746032	68	0.1262
d468f1f7-043a-4203-9781-592c0a08f1e0	2	137747577	137754783	10	-0.8162
d468f1f7-043a-4203-9781-592c0a08f1e0	2	137757882	146104517	5139	0.0046
d468f1f7-043a-4203-9781-592c0a08f1e0	2	146106836	146109366	24	0.5955
d468f1f7-043a-4203-9781-592c0a08f1e0	2	146120238	188703060	25905	0.0043
d468f1f7-043a-4203-9781-592c0a08f1e0	2	188703229	188714283	24	-0.9048
d468f1f7-043a-4203-9781-592c0a08f1e0	2	188714602	202428368	7852	-0.0021
d468f1f7-043a-4203-9781-592c0a08f1e0	2	202431052	202448759	42	-0.5944
d468f1f7-043a-4203-9781-592c0a08f1e0	2	202448774	242147305	25204	0.0006
d468f1f7-043a-4203-9781-592c0a08f1e0	3	20930	1630090	1442	0.0185
d468f1f7-043a-4203-9781-592c0a08f1e0	3	1630333	1633240	5	-1.112
d468f1f7-043a-4203-9781-592c0a08f1e0	3	1633568	1894128	246	-0.0185
d468f1f7-043a-4203-9781-592c0a08f1e0	3	1895189	1901249	10	-1.5499
