GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	62920	98588	12	-0.4721
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	98602	6373069	2960	0.1979
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	6374079	8565390	1282	-0.0214
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	8570735	8595970	19	0.4388
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	8603095	12777697	2215	-0.0113
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	12778601	12799264	8	-1.1196
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	12802105	12807374	9	0.2084
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	12807507	12867264	16	-0.9095
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	12868035	16637228	2143	-0.0247
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	16641630	16787932	37	-0.496
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	16788139	19292135	1734	-0.0153
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	19295776	19662401	256	0.3943
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	19668998	22058220	1438	-0.0285
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	22058874	22221477	120	0.3854
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	22222904	23774426	933	-0.022
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	23778270	63404503	23530	0.1967
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	63405969	72284670	6059	-0.0524
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	72290430	72297687	9	-1.9562
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	72302735	72343689	42	0.3306
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	72343748	105470754	20958	-0.0536
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	105476583	105479753	17	0.962
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	105481433	109690352	2636	-0.0501
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	109690415	109691788	7	-1.374
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	109691933	119569432	6704	-0.0343
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	119572121	119606894	39	0.5234
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	119608060	165795803	11722	-0.0263
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	165798534	165965457	142	0.2276
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	165965483	169247699	2488	-0.0368
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	169264736	169272528	7	-2.5448
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	169273163	179341304	6609	-0.048
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	179350681	179364180	6	-1.0171
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	179370071	196758720	11565	-0.0613
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	196761905	196832525	56	-0.6832
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	196832720	196846661	4	1.2373
fbe3afb5-4dcf-488b-b118-6c8adae6e740	1	196847600	248930189	35811	-0.0437
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	12784	1287127	842	0.1525
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	1287324	1289488	2	1.791
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	1289899	34434869	23228	0.1399
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	34437911	34498023	45	0.4636
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	34498136	35750907	882	0.1271
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	35752724	35762850	6	-1.7166
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	35762881	38757203	2316	0.1409
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	38758342	39099135	189	0.5157
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	39103236	45633628	4764	0.1403
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	45634363	45720647	73	0.6189
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	45723415	52527590	4788	0.1332
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	52527727	52560811	36	-0.372
fbe3afb5-4dcf-488b-b118-6c8adae6e740	2	52563002	82183032	19337	0.1398
