GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	1	3301765	247650984	129660	0.0131
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	2	480597	13655333	8428	0.0204
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	2	13655503	13655635	2	-2.0822
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	2	13656748	13683563	16	-0.0235
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	2	13683796	13686378	2	-2.2622
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	2	13686731	241537572	123669	0.0157
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	3	2170634	197812401	107105	0.0145
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	4	1059384	187842528	103417	0.0145
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	5	914118	180934240	101048	0.0158
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	6	1011760	170596889	97095	0.0123
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	7	664936	48808323	28247	0.0167
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	7	48809912	48851659	29	0.5133
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	7	48854628	151118994	49658	0.0173
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	7	151124920	151125239	2	-1.7633
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	7	151128228	158592540	3938	0.0207
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	8	667625	144182542	82161	0.0161
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	9	789794	134523345	67148	0.0151
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	9	134527972	134538828	13	-1.0145
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	9	134539362	138044505	1247	0.0332
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	10	366509	36103517	24811	0.0183
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	10	36103793	36105241	7	-0.9331
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	10	36107514	64638921	13591	0.013
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	10	64639652	64640112	2	-2.1431
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	10	64643074	133411599	42804	0.0141
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	456120	9026102	4628	0.0158
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	9026397	9031989	3	-1.4219
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	9032975	23085214	10030	0.0163
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	23092080	23092414	2	-1.9027
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	23092489	124032318	55870	0.0174
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	124032963	124050170	11	-0.8093
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	124050772	131328828	5132	0.0129
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	131331992	131335043	7	-1.0589
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	131337701	133896406	1703	0.0077
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	133898991	133902943	3	-1.5327
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	11	133904600	134272740	106	0.0249
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	12	780472	132605822	74280	0.0165
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	13	18874255	86087907	39043	0.0139
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	13	86090958	86096871	10	-0.6979
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	13	86096914	111951896	16975	0.0136
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	13	111952476	111953076	3	-1.7455
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	13	111953671	114226675	921	0.0217
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	14	20033191	105533894	49747	0.0162
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	15	23437561	65772001	23827	0.0176
a9db3a76-ce2e-4a34-95c4-06f1bd5312f5	15	65772083	65772099	2	-1.7624
