GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8f111081-c896-403e-b965-65d3e3a9ba62	1	62920	3229933	710	0.1854
8f111081-c896-403e-b965-65d3e3a9ba62	1	3230466	9927601	4262	0.3359
8f111081-c896-403e-b965-65d3e3a9ba62	1	9928480	10004059	32	0.1609
8f111081-c896-403e-b965-65d3e3a9ba62	1	10005145	16410856	3584	-0.0443
8f111081-c896-403e-b965-65d3e3a9ba62	1	16413458	17360532	476	0.3694
8f111081-c896-403e-b965-65d3e3a9ba62	1	17362409	30739199	7733	-0.0638
8f111081-c896-403e-b965-65d3e3a9ba62	1	30739595	36661109	3126	0.1715
8f111081-c896-403e-b965-65d3e3a9ba62	1	36661242	40057978	1975	-0.0988
8f111081-c896-403e-b965-65d3e3a9ba62	1	40059018	41505556	798	0.0916
8f111081-c896-403e-b965-65d3e3a9ba62	1	41507209	46067714	2613	-0.1069
8f111081-c896-403e-b965-65d3e3a9ba62	1	46068585	46075668	2	2.1173
8f111081-c896-403e-b965-65d3e3a9ba62	1	46077548	47175303	545	-0.0993
8f111081-c896-403e-b965-65d3e3a9ba62	1	47175369	51308763	2307	0.2922
8f111081-c896-403e-b965-65d3e3a9ba62	1	51313087	54188849	1577	-0.1125
8f111081-c896-403e-b965-65d3e3a9ba62	1	54192585	64412136	7635	0.2984
8f111081-c896-403e-b965-65d3e3a9ba62	1	64412702	66285081	1470	-0.0943
8f111081-c896-403e-b965-65d3e3a9ba62	1	66291344	72303233	3872	0.2792
8f111081-c896-403e-b965-65d3e3a9ba62	1	72303253	72345393	43	-0.6693
8f111081-c896-403e-b965-65d3e3a9ba62	1	72345450	78903124	4122	0.2623
8f111081-c896-403e-b965-65d3e3a9ba62	1	78907099	78909255	3	2.8218
8f111081-c896-403e-b965-65d3e3a9ba62	1	78912569	81210578	1485	0.2899
8f111081-c896-403e-b965-65d3e3a9ba62	1	81210859	86381207	3561	0.1279
8f111081-c896-403e-b965-65d3e3a9ba62	1	86383800	86392338	2	2.5607
8f111081-c896-403e-b965-65d3e3a9ba62	1	86393286	87069570	369	0.1173
8f111081-c896-403e-b965-65d3e3a9ba62	1	87075012	88910950	1319	-0.1207
8f111081-c896-403e-b965-65d3e3a9ba62	1	88911345	105476748	10087	0.1321
8f111081-c896-403e-b965-65d3e3a9ba62	1	105476861	105479753	13	1.737
8f111081-c896-403e-b965-65d3e3a9ba62	1	105481433	109684893	2632	0.1401
8f111081-c896-403e-b965-65d3e3a9ba62	1	109690352	109697556	13	-1.1288
8f111081-c896-403e-b965-65d3e3a9ba62	1	109702376	149015387	8139	0.1631
8f111081-c896-403e-b965-65d3e3a9ba62	1	149041886	150082937	118	0.9189
8f111081-c896-403e-b965-65d3e3a9ba62	1	150085678	152557623	1281	0.5832
8f111081-c896-403e-b965-65d3e3a9ba62	1	152557920	152580550	34	0.9892
8f111081-c896-403e-b965-65d3e3a9ba62	1	152582700	152613802	34	-1.3579
8f111081-c896-403e-b965-65d3e3a9ba62	1	152614064	152787202	170	0.5327
8f111081-c896-403e-b965-65d3e3a9ba62	1	152789447	152796224	37	-1.6387
8f111081-c896-403e-b965-65d3e3a9ba62	1	152801429	191339774	25851	0.1309
8f111081-c896-403e-b965-65d3e3a9ba62	1	191342461	192384810	603	-0.0838
