GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
55fda9ac-3dc1-48a0-8156-5aa52d816488	1	3301765	247650984	129151	0.0033
55fda9ac-3dc1-48a0-8156-5aa52d816488	2	480597	85981973	49816	0.0029
55fda9ac-3dc1-48a0-8156-5aa52d816488	2	85983048	85983880	3	-1.2812
55fda9ac-3dc1-48a0-8156-5aa52d816488	2	85984876	213710751	64895	0.0047
55fda9ac-3dc1-48a0-8156-5aa52d816488	2	213711200	213712089	3	-1.3288
55fda9ac-3dc1-48a0-8156-5aa52d816488	2	213720054	241537572	16993	0.0025
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	2170634	105537851	57263	0
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	105539370	105540017	3	-1.0922
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	105542636	136413440	17865	0.0023
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	136413863	136413881	2	-1.2974
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	136423577	164667651	14720	-0.0041
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	164670825	164681339	13	-0.7912
55fda9ac-3dc1-48a0-8156-5aa52d816488	3	164681437	197812401	16881	-0.0024
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	1059384	11037358	5388	0.0002
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	11038666	11038782	2	1.5843
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	11040777	21071563	6961	0.0017
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	21076383	21099602	23	-0.9028
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	21100655	35493476	8857	-0.0002
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	35494183	35494986	2	-3.1001
55fda9ac-3dc1-48a0-8156-5aa52d816488	4	35496722	187842528	81868	0.0003
55fda9ac-3dc1-48a0-8156-5aa52d816488	5	913983	171816880	95894	0.0014
55fda9ac-3dc1-48a0-8156-5aa52d816488	5	171817606	171817756	2	-1.555
55fda9ac-3dc1-48a0-8156-5aa52d816488	5	171819570	180934240	4772	0.0008
55fda9ac-3dc1-48a0-8156-5aa52d816488	6	1011760	170596889	96739	-0.0004
55fda9ac-3dc1-48a0-8156-5aa52d816488	7	664936	158592540	81631	0.0007
55fda9ac-3dc1-48a0-8156-5aa52d816488	8	667625	23350184	13032	0.0005
55fda9ac-3dc1-48a0-8156-5aa52d816488	8	23351279	23351735	2	1.7531
55fda9ac-3dc1-48a0-8156-5aa52d816488	8	23351822	129127700	59790	0.0004
55fda9ac-3dc1-48a0-8156-5aa52d816488	8	129130432	129132280	4	-1.1921
55fda9ac-3dc1-48a0-8156-5aa52d816488	8	129134311	144182542	9072	0.0006
55fda9ac-3dc1-48a0-8156-5aa52d816488	9	789794	127269017	62912	0.0009
55fda9ac-3dc1-48a0-8156-5aa52d816488	9	127272742	127272768	2	-1.4583
55fda9ac-3dc1-48a0-8156-5aa52d816488	9	127273313	138044505	5289	0.0006
55fda9ac-3dc1-48a0-8156-5aa52d816488	10	366509	133411599	80937	0.0007
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	456012	78475213	41013	0.0019
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	78477288	78485720	7	-0.9272
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	78491099	79679706	983	0.0082
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	79681181	79683752	2	-1.5042
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	79685592	81664633	1370	-0.0052
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	81666377	81686073	16	-0.5788
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	81686117	87911727	3702	0.0015
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	87913110	87913778	6	-0.7368
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	87915296	103350809	9680	0.0036
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	103351474	103352633	2	-1.475
55fda9ac-3dc1-48a0-8156-5aa52d816488	11	103352667	134272740	20447	0
55fda9ac-3dc1-48a0-8156-5aa52d816488	12	780472	47132947	24242	0.0024
55fda9ac-3dc1-48a0-8156-5aa52d816488	12	47133816	47134025	2	2.2021
55fda9ac-3dc1-48a0-8156-5aa52d816488	12	47134590	120459371	44132	-0.0004
55fda9ac-3dc1-48a0-8156-5aa52d816488	12	120461500	120464308	5	-0.976
55fda9ac-3dc1-48a0-8156-5aa52d816488	12	120472214	132605822	5676	-0.0043
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	18874255	52034621	20209	-0.0013
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	52035057	52035072	2	-1.4378
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	52036990	74056330	11262	-0.0017
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	74056470	74058769	2	-1.1682
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	74059397	76034593	1397	0.0003
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	76038658	76038860	3	1.0681
55fda9ac-3dc1-48a0-8156-5aa52d816488	13	76039419	114226675	23880	-0.0002
55fda9ac-3dc1-48a0-8156-5aa52d816488	14	20033191	105533894	49560	0.0009
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	23437561	51243944	14278	0.0001
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	51246083	51246120	2	1.2255
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	51247136	53216133	1266	0.001
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	53216704	53217298	2	-1.3253
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	53218105	70464618	11274	0.0061
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	70464906	70465635	2	-1.5431
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	70466122	70741674	167	-0.0071
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	70741805	70741906	3	1.1332
55fda9ac-3dc1-48a0-8156-5aa52d816488	15	70741930	101344124	17606	0.001
55fda9ac-3dc1-48a0-8156-5aa52d816488	16	603333	10228180	5125	-0.003
55fda9ac-3dc1-48a0-8156-5aa52d816488	16	10231277	10231388	2	-1.9289
55fda9ac-3dc1-48a0-8156-5aa52d816488	16	10232100	89317317	35909	0.0057
55fda9ac-3dc1-48a0-8156-5aa52d816488	17	1074619	82959812	37121	-0.0016
55fda9ac-3dc1-48a0-8156-5aa52d816488	18	326691	10952359	6304	0.0036
55fda9ac-3dc1-48a0-8156-5aa52d816488	18	10958744	10959244	2	-1.3395
55fda9ac-3dc1-48a0-8156-5aa52d816488	18	10960763	79349796	36503	0.0017
55fda9ac-3dc1-48a0-8156-5aa52d816488	19	283868	58370362	24068	0.0016
55fda9ac-3dc1-48a0-8156-5aa52d816488	20	472817	63588502	37406	0.0088
55fda9ac-3dc1-48a0-8156-5aa52d816488	21	13974127	46262057	20524	0.002
55fda9ac-3dc1-48a0-8156-5aa52d816488	22	16934932	32580365	6507	-0.0028
55fda9ac-3dc1-48a0-8156-5aa52d816488	22	32582693	32582767	2	1.5291
55fda9ac-3dc1-48a0-8156-5aa52d816488	22	32584469	48940621	10507	-0.0001
55fda9ac-3dc1-48a0-8156-5aa52d816488	X	3236359	11862897	2614	0.0028
55fda9ac-3dc1-48a0-8156-5aa52d816488	X	11864046	11867717	4	-0.8474
55fda9ac-3dc1-48a0-8156-5aa52d816488	X	11870985	32625471	10987	-0.0012
