GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	62920	16525019	8648	-0.0064
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	16542868	16935752	112	-0.4243
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	16949746	25256850	5264	-0.0039
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	25266637	25320253	23	0.8416
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	25320455	31408653	3132	-0.0264
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	31408790	47354520	8834	0.3399
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	47354819	48897789	1135	-0.0066
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	48903760	72297687	15639	0.3153
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	72302735	72345450	47	0.9114
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	72345465	105470754	20958	0.2854
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	105476583	105479753	17	1.1432
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	105481433	109684893	2638	0.2808
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	109690352	109697556	13	-1.4245
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	109702376	112147704	1951	0.306
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	112153343	112154591	22	-2.1828
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	112154619	113874815	1014	0.3293
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	113877138	117923975	2703	-0.0383
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	117924916	121705338	1448	0.3195
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	143459641	144432083	129	-0.4825
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	144432313	152583051	2315	0.3153
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	152583230	152614118	35	-1.7981
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	152618018	154408308	1123	0.3058
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	154413573	154877003	293	-0.07
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	154877114	162554715	4778	0.2864
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	162555090	165128592	2018	-0.0501
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	165134433	175683784	7456	0.2972
0a28c663-7cc6-466c-b64d-f9d8d6d6b4c8	1	175687428	175687765	2	-2.2751
