GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
3b2b1480-aacd-49e7-97ca-703a755d7735	1	3301765	247650984	129715	0.0134
3b2b1480-aacd-49e7-97ca-703a755d7735	2	480597	85105322	49484	0.0147
3b2b1480-aacd-49e7-97ca-703a755d7735	2	85105337	85106283	2	-1.5437
3b2b1480-aacd-49e7-97ca-703a755d7735	2	85106853	159099246	35007	0.0139
3b2b1480-aacd-49e7-97ca-703a755d7735	2	159100008	159107684	2	1.927
3b2b1480-aacd-49e7-97ca-703a755d7735	2	159108004	241537572	47673	0.0137
3b2b1480-aacd-49e7-97ca-703a755d7735	3	2170634	197812401	107153	0.0108
3b2b1480-aacd-49e7-97ca-703a755d7735	4	1059384	124538250	69540	0.0125
3b2b1480-aacd-49e7-97ca-703a755d7735	4	124539196	124541780	3	-1.5526
3b2b1480-aacd-49e7-97ca-703a755d7735	4	124541870	150924686	14036	0.01
3b2b1480-aacd-49e7-97ca-703a755d7735	4	150924746	150924766	2	1.797
3b2b1480-aacd-49e7-97ca-703a755d7735	4	150928840	187842528	19909	0.0089
3b2b1480-aacd-49e7-97ca-703a755d7735	5	914118	4012189	1953	0.0194
3b2b1480-aacd-49e7-97ca-703a755d7735	5	4012580	4012586	2	-1.3665
3b2b1480-aacd-49e7-97ca-703a755d7735	5	4013527	25824799	13057	0.0085
3b2b1480-aacd-49e7-97ca-703a755d7735	5	25829446	25838958	2	-1.3172
3b2b1480-aacd-49e7-97ca-703a755d7735	5	25839671	145113584	63621	0.0121
3b2b1480-aacd-49e7-97ca-703a755d7735	5	145113624	145113732	2	-2.2518
3b2b1480-aacd-49e7-97ca-703a755d7735	5	145113800	180934240	22479	0.0101
3b2b1480-aacd-49e7-97ca-703a755d7735	6	1011760	17850693	11887	0.0082
3b2b1480-aacd-49e7-97ca-703a755d7735	6	17851752	17860897	3	-1.2298
3b2b1480-aacd-49e7-97ca-703a755d7735	6	17861379	34157504	8213	0.0158
3b2b1480-aacd-49e7-97ca-703a755d7735	6	34157777	34179117	2	1.4022
3b2b1480-aacd-49e7-97ca-703a755d7735	6	34182481	108424251	40059	0.0109
3b2b1480-aacd-49e7-97ca-703a755d7735	6	108434737	108435037	2	-1.4574
3b2b1480-aacd-49e7-97ca-703a755d7735	6	108435164	148180808	23697	0.0068
3b2b1480-aacd-49e7-97ca-703a755d7735	6	148185476	148185808	2	-1.4051
3b2b1480-aacd-49e7-97ca-703a755d7735	6	148186119	170596889	13271	0.0109
3b2b1480-aacd-49e7-97ca-703a755d7735	7	664936	142554630	73741	0.0139
3b2b1480-aacd-49e7-97ca-703a755d7735	7	142554640	142563940	2	1.5674
3b2b1480-aacd-49e7-97ca-703a755d7735	7	142581256	158592540	8175	0.0125
3b2b1480-aacd-49e7-97ca-703a755d7735	8	667625	31047596	18294	0.0071
3b2b1480-aacd-49e7-97ca-703a755d7735	8	31048586	31050069	2	-1.7334
3b2b1480-aacd-49e7-97ca-703a755d7735	8	31050312	144182542	63915	0.0111
3b2b1480-aacd-49e7-97ca-703a755d7735	9	789794	138044505	68467	0.0111
3b2b1480-aacd-49e7-97ca-703a755d7735	10	366509	133411599	81267	0.0123
3b2b1480-aacd-49e7-97ca-703a755d7735	11	456012	134272740	77553	0.0119
3b2b1480-aacd-49e7-97ca-703a755d7735	12	780472	3243017	1128	0.0109
3b2b1480-aacd-49e7-97ca-703a755d7735	12	3243079	3249903	2	1.7007
3b2b1480-aacd-49e7-97ca-703a755d7735	12	3250110	27203550	14632	0.0102
3b2b1480-aacd-49e7-97ca-703a755d7735	12	27207836	27224008	2	1.3941
3b2b1480-aacd-49e7-97ca-703a755d7735	12	27225307	42815499	6424	0.0156
3b2b1480-aacd-49e7-97ca-703a755d7735	12	42818897	43344680	2	1.8352
3b2b1480-aacd-49e7-97ca-703a755d7735	12	43345446	103566950	35881	0.0126
3b2b1480-aacd-49e7-97ca-703a755d7735	12	103570792	103575603	5	-0.8599
3b2b1480-aacd-49e7-97ca-703a755d7735	12	103579139	116863646	8324	0.0137
3b2b1480-aacd-49e7-97ca-703a755d7735	12	116864324	116866543	2	-1.2238
3b2b1480-aacd-49e7-97ca-703a755d7735	12	116866625	126751012	5570	0.019
3b2b1480-aacd-49e7-97ca-703a755d7735	12	126752698	126758411	2	1.3922
3b2b1480-aacd-49e7-97ca-703a755d7735	12	126759332	132605822	2352	0.0188
3b2b1480-aacd-49e7-97ca-703a755d7735	13	18874255	77430522	33907	0.0112
3b2b1480-aacd-49e7-97ca-703a755d7735	13	77434239	77437784	5	-1.0377
3b2b1480-aacd-49e7-97ca-703a755d7735	13	77441759	114226675	23081	0.0077
3b2b1480-aacd-49e7-97ca-703a755d7735	14	20033191	105533894	49756	0.0108
3b2b1480-aacd-49e7-97ca-703a755d7735	15	23437561	40459935	8604	0.013
3b2b1480-aacd-49e7-97ca-703a755d7735	15	40460531	40613359	95	0.5213
3b2b1480-aacd-49e7-97ca-703a755d7735	15	40645529	97022202	33632	0.0149
3b2b1480-aacd-49e7-97ca-703a755d7735	15	97023624	97024105	2	-1.4185
3b2b1480-aacd-49e7-97ca-703a755d7735	15	97031371	101344124	2442	0.0174
3b2b1480-aacd-49e7-97ca-703a755d7735	16	603333	89317317	41200	0.0131
3b2b1480-aacd-49e7-97ca-703a755d7735	17	1074619	20387400	9415	0.0135
3b2b1480-aacd-49e7-97ca-703a755d7735	17	20389632	20426761	4	-1.3301
3b2b1480-aacd-49e7-97ca-703a755d7735	17	20426903	38881877	5563	0.0125
3b2b1480-aacd-49e7-97ca-703a755d7735	17	38886234	38887199	2	-1.6652
3b2b1480-aacd-49e7-97ca-703a755d7735	17	38887508	81282198	21758	0.0127
3b2b1480-aacd-49e7-97ca-703a755d7735	17	81282420	81282457	2	-1.7819
3b2b1480-aacd-49e7-97ca-703a755d7735	17	81288009	81358538	21	0.012
3b2b1480-aacd-49e7-97ca-703a755d7735	17	81363393	81364197	2	1.1393
3b2b1480-aacd-49e7-97ca-703a755d7735	17	81364669	82959812	506	0.0079
3b2b1480-aacd-49e7-97ca-703a755d7735	18	326691	79349796	42959	0.0115
3b2b1480-aacd-49e7-97ca-703a755d7735	19	283868	58370362	24147	0.0168
3b2b1480-aacd-49e7-97ca-703a755d7735	20	472817	63588502	37556	0.0138
3b2b1480-aacd-49e7-97ca-703a755d7735	21	13974127	46262057	20599	0.0119
3b2b1480-aacd-49e7-97ca-703a755d7735	22	16934932	48940621	17085	0.0118
3b2b1480-aacd-49e7-97ca-703a755d7735	X	3236359	155677414	63972	0.0125
