GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	62920	462795	18	0.3382
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	462894	9040939	4517	-0.5085
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	9042898	11002986	995	-1.2773
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	11005914	12799143	949	-0.5508
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	12799250	13466924	61	-0.2103
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	13468357	15822508	1779	-0.5006
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	15822572	15827744	12	0.341
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	15828471	47568042	17809	-0.5108
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	47568055	51054597	1957	-0.4177
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	51058944	55129163	2335	-0.4917
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	55130914	72303233	12330	-0.4341
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	72303253	72331729	27	-1.4893
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	72332911	88309499	10506	-0.422
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	88313543	94554349	3781	-0.4587
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	94554784	103614714	5757	-0.4176
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	103615687	103616762	3	-2.5678
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	103620877	107494943	2335	-0.4069
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	107495409	117257337	6554	-0.467
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	117259125	121705338	1837	-0.4266
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	143459641	143546851	5	-0.8541
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	143547055	143796140	113	-2.3945
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	143811517	144442092	11	-0.8794
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	144442098	149848917	898	0.8857
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	149848940	152437590	1288	0.7813
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	152437990	152583051	126	0.8962
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	152583230	152614118	35	-1.6166
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	152618018	152785214	165	0.8794
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	152787202	152796094	37	0.4064
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	152796224	153302849	395	0.8573
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	153303030	153349334	47	0.6509
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	153349349	153488899	82	0.9186
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	153490450	156827189	1543	0.7232
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	156831013	160227870	2426	0.8228
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	160228410	161476338	742	0.7342
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	161476341	162688520	860	0.8221
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	162688693	164391512	1318	0.8857
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	164393721	176240661	8383	0.8445
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	176241511	179108892	1818	0.9
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	179108984	179109084	2	-0.7801
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	179110055	193186662	9467	0.8571
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	193187149	193187218	4	-0.3493
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	193190593	196447039	2212	0.8814
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	196447817	196447898	2	-1.2319
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	196448009	199963391	2159	0.8925
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	199964258	203413241	2346	0.8045
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	203418205	204520500	735	1.2592
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	204520599	204520634	2	-0.157
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	204520653	205508311	762	1.2624
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	205513996	207895956	1331	0.8002
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	207898844	211047189	2561	0.8781
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	211051772	212944583	1159	0.8015
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	212945252	219561656	4752	0.8915
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	219566123	220710045	735	0.8201
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	220710527	223457822	1809	0.8875
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	223458267	228397861	2957	0.8238
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	228398077	235822642	5366	1.0235
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	235822663	236697493	626	0.7976
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	236700531	240149410	2817	0.8727
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	240151086	240228440	85	0.7153
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	240230715	240230839	6	-1.6282
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	240232805	241826297	1255	0.8624
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	241828122	242138355	206	0.3999
70b9ece6-dedc-44c7-8f35-b78d9bac626e	1	242138891	248930189	4401	0.8422
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	12784	33901	11	-0.1944
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	34049	13190088	10072	0.0138
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	13190625	13190723	2	-2.0854
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	13198041	23813195	7593	0.0456
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	23816459	28759961	2469	-0.0447
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	28763484	34295406	3854	0.0363
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	34298911	34300513	2	-2.5504
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	34300900	41011080	4945	0.0281
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	41011095	41024093	24	-0.7409
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	41024125	41841756	700	0.0425
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	41841769	49065202	5037	0.0006
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	49065223	50927135	1349	0.0623
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	50929617	50982697	38	-0.3484
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	50989479	60257545	6531	0.0509
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	60257774	60259112	6	-1.4316
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	60261723	65597246	2885	-0.0141
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	65597306	67888895	1783	0.061
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	67888984	75306414	4464	-0.0084
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	75309888	78630476	2277	0.0651
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	78630744	79100212	348	-0.0475
70b9ece6-dedc-44c7-8f35-b78d9bac626e	2	79102020	79115685	9	0.6903
