GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	62920	805477	27	-0.493
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	806913	16477281	8597	0.0139
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	16477846	16721984	59	-0.4883
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	16766762	25256850	5330	0.0127
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	25266637	25320198	22	-2.0248
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	25320253	72303253	28740	0.0246
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	72305460	72345465	44	-1.0888
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	72346221	105476583	20954	0.0208
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	105476614	105479753	16	-1.8269
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	105481433	112147704	4599	0.0254
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	112153343	112154591	22	-1.4658
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	112154619	152580550	7601	0.0241
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	152582700	152613762	33	0.5021
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	152613802	152787202	171	0.0398
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	152789447	152796224	37	-0.3306
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	152801429	157174685	2273	0.0266
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	157175435	157176509	2	-1.4885
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	157179630	184990847	19486	0.0251
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	184992672	185001379	9	-0.7343
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	185007889	196745743	7701	0.023
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	196758720	196846661	61	-1.6302
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	196847600	215322374	12517	0.0214
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	215322796	215323082	2	-1.8305
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	215324821	248546369	23114	0.0231
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	248550567	248572774	2	-2.8263
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	248574146	248633821	32	-0.4819
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	1	248633912	248930189	142	0.0405
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	12784	4158097	2987	0.0043
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	4166274	4174418	29	-0.5927
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	4174569	4174894	3	-1.5392
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	4174949	4176429	10	-0.6054
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	4182472	34295406	20960	0.0207
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	34298911	34300513	2	-1.8236
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	34300900	34476516	98	0.0002
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	34476558	34511990	43	0.4262
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	34512096	35750907	872	0.0338
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	35752724	35761650	4	-1.9457
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	35761842	52527330	12125	0.0223
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	52527342	52554236	33	0.8359
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	52554259	77746919	16296	0.021
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	77749572	77750100	7	-0.85
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	77759556	86710564	5610	0.0228
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	86725947	86726731	2	-1.507
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	86743283	86910262	65	0.0165
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	86934730	87747102	136	-0.2199
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	87835245	88933156	544	0.0067
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	88936763	89981062	122	-0.2676
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	89981175	91672006	125	0.0155
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	91676545	94664202	58	-0.2473
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	94669081	97048036	799	0.0128
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	97049417	97211436	66	-0.2993
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	97310327	106642298	5776	0.0211
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	106644688	106684341	24	-0.7343
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	106684767	111300796	2385	0.0294
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	111311200	111381388	15	-0.5386
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	111385836	113604438	1182	-0.0049
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	113604837	113604839	2	-2.3432
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	113623244	124673210	7071	0.0192
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	124678553	124680551	6	-1.061
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	124681992	130031187	3411	0.0254
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	130031201	130116915	15	-0.5106
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	130117303	146106875	9523	0.0162
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	146106889	146109366	21	0.9486
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	2	146120238	242147305	59048	0.0167
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	20930	22606099	17103	0.0287
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	22606210	22778345	84	-0.1981
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	22785638	25977603	2437	0.0239
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	25978288	37011003	7419	-0.1959
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	37015194	37331626	150	-0.4438
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	37332883	68697108	20570	-0.1969
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	68697133	68698262	13	-1.1542
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	68699607	75458741	4896	-0.1974
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	75459403	75777035	76	-0.4831
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	75778459	93824162	8081	-0.1917
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	93824358	99048649	2727	0.0081
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	99048765	99048971	2	-1.8004
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	99049196	119631498	12760	0.0204
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	119632551	119635091	5	-1.1462
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	119636564	130067896	6090	0.0125
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	130067910	130087393	28	0.4238
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	130088081	136300257	4028	0.0227
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	136304109	136306584	2	-2.1972
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	136319699	162795304	16230	0.0224
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	162795361	162898127	61	-1.5225
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	162906054	162908207	6	-0.7109
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	162908784	186688349	14432	0.0185
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	186695072	186709267	16	-0.6781
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	186709551	193160113	4721	0.0243
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	193160173	193165114	19	1.7818
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	3	193168646	198169247	2693	0.0074
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	68929	3873169	1566	0.0101
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	3876063	4180275	79	-0.4053
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	4182970	9455251	3512	0.0213
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	9459504	9477699	6	-1.5459
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	9484440	9617513	38	-0.2751
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	9624789	10389091	709	0.0308
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	10390730	10399044	16	0.5872
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	10401094	12149839	1467	0.0358
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	12152884	12160517	3	-1.2279
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	12164300	34777382	15311	0.023
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	34777403	34822561	40	-0.563
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	34823103	49087357	8964	0.0222
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	49091769	51837853	48	-0.2846
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	51838342	52397356	315	0.0189
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	52399475	52400569	2	-2.1861
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	52400633	63831751	7230	0.022
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	63831799	63842540	27	-0.4654
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	63850713	68354665	2847	0.0105
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	68361130	68391041	4	1.1145
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	68394355	68618331	81	-0.1647
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	68618369	114254167	27696	0.0212
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	114254188	114263073	23	0.5945
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	114263096	189856937	47060	0.0196
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	4	189857111	190106768	62	-0.3801
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	5	15532	181363319	112851	0.0193
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	149661	174988	15	-0.3509
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	175491	7913450	6445	0.0222
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	7915974	7916853	3	-1.309
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	7917295	29882603	15211	0.0215
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	29903859	29931120	11	-0.8605
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	29931900	32485152	1160	0.0197
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	32486498	32533522	15	1.0523
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	32540699	35720985	1763	0.0152
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	35721797	35721942	2	-1.7548
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	35733503	52683575	10936	0.0243
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	52683582	52684003	3	-1.3122
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	52684507	54066477	1044	0.0047
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	54066582	54067057	4	1.3873
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	54070550	57923278	2018	0.0145
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	57948072	58031129	32	0.7978
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	58032364	58096364	26	0.1545
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	58099774	58100791	4	-0.8912
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	58106296	58383472	118	0.0488
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	58384355	61531997	362	-0.0976
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	61532213	65689589	2367	0.0302
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	65689644	65693959	22	-0.7253
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	65697234	73882142	5441	0.018
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	73882509	73887625	9	0.7337
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	73891694	78135248	2679	0.0098
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	78147549	78269661	108	0.5695
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	78269681	78336944	100	0.8316
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	78341897	92661108	9079	0.0174
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	92661315	97664585	2931	-0.1833
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	97670267	116133798	11388	0.0245
8e008f46-3426-4b3f-b9bd-57f4b0ae24c6	6	116138287	116143136	8	-1.0768
