GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	62920	259407	14	0.1854
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	259422	1896095	298	-0.1783
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	1898043	1958847	14	0.0782
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	1959113	3305057	418	-0.2342
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	3305549	15823420	7595	-0.1478
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	15827002	15827430	6	-1.3833
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	15827706	16679483	334	-0.1203
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	16685961	16949746	79	0.3138
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	16951445	25256850	5262	-0.1396
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	25266637	25320455	24	0.3897
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	25336819	31148580	2997	-0.1514
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	31150820	31152499	2	-2.2893
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	31152542	55257768	13484	-0.1458
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	55258350	55258626	6	-1.1719
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	55263695	72284670	12250	-0.1577
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	72290430	72297687	9	-1.3131
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	72302735	72345465	48	1.0056
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	72346221	85784174	8767	-0.172
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	85784211	85784228	2	-1.7225
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	85785989	109679105	14837	-0.1645
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	109684695	109697556	15	1.0951
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	109702376	109710508	16	-1.1915
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	109714002	110827750	809	-0.1445
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	110827773	110850883	53	0.0638
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	110851091	112153343	1071	-0.1571
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	112153465	112163440	27	0.2076
40ef83f0-cb32-4191-a440-3fcc76d1148f	1	112163460	118323364	3926	-0.147
