GDC_Aliquot	Chromosome	Start	End	Num_Probes	Segment_Mean
1136724d-7446-4c8f-bb61-20eb751ecf2e	1	3301765	247650984	129782	0.0159
1136724d-7446-4c8f-bb61-20eb751ecf2e	2	480597	57137705	33705	0.0175
1136724d-7446-4c8f-bb61-20eb751ecf2e	2	57138200	57142989	13	-1.0452
1136724d-7446-4c8f-bb61-20eb751ecf2e	2	57143654	145496728	42987	0.019
1136724d-7446-4c8f-bb61-20eb751ecf2e	2	145499215	145504468	5	-0.7486
1136724d-7446-4c8f-bb61-20eb751ecf2e	2	145507138	241537572	55529	0.0172
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	2170634	22439855	11875	0.0196
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	22440598	22440614	2	-1.0762
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	22441277	174998995	83565	0.0172
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	174999166	175001615	2	-1.0782
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	175002741	176296533	414	0.0311
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	176296603	176296707	2	-0.844
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	176299326	186621254	5292	0.0121
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	186623247	186623604	4	-0.627
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	186625698	189512415	2020	0.0134
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	189514806	189514826	2	-1.0099
1136724d-7446-4c8f-bb61-20eb751ecf2e	3	189514852	197812401	4020	0.0083
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	1059384	82746858	45905	0.0226
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	82747477	82747649	2	-1.3092
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	82750922	139921828	31645	0.0203
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	139928368	139933593	6	-0.6358
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	139933774	140553934	344	0.0321
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	140557022	140597811	33	-0.8237
1136724d-7446-4c8f-bb61-20eb751ecf2e	4	140602594	187842528	25584	0.0198
1136724d-7446-4c8f-bb61-20eb751ecf2e	5	914118	25590735	14861	0.0199
1136724d-7446-4c8f-bb61-20eb751ecf2e	5	25592749	25599728	9	-0.8815
1136724d-7446-4c8f-bb61-20eb751ecf2e	5	25607993	64071854	19112	0.0167
1136724d-7446-4c8f-bb61-20eb751ecf2e	5	64074822	64099962	10	0.4553
1136724d-7446-4c8f-bb61-20eb751ecf2e	5	64113483	180934240	67146	0.0176
1136724d-7446-4c8f-bb61-20eb751ecf2e	6	1011760	170596889	97186	0.016
1136724d-7446-4c8f-bb61-20eb751ecf2e	7	664936	41510992	23902	0.0162
1136724d-7446-4c8f-bb61-20eb751ecf2e	7	41513417	46541017	2759	-0.0095
1136724d-7446-4c8f-bb61-20eb751ecf2e	7	46544799	158592540	55305	0.0208
1136724d-7446-4c8f-bb61-20eb751ecf2e	8	667625	4410249	1978	0.0329
1136724d-7446-4c8f-bb61-20eb751ecf2e	8	4410448	4414390	2	-1.9845
1136724d-7446-4c8f-bb61-20eb751ecf2e	8	4414500	37530397	20079	0.0261
1136724d-7446-4c8f-bb61-20eb751ecf2e	8	37532467	137026976	56823	0.0081
1136724d-7446-4c8f-bb61-20eb751ecf2e	8	137027209	144182542	3365	0.0221
1136724d-7446-4c8f-bb61-20eb751ecf2e	9	789794	138044505	68506	0.0154
1136724d-7446-4c8f-bb61-20eb751ecf2e	10	366509	108591984	65089	0.0163
1136724d-7446-4c8f-bb61-20eb751ecf2e	10	108593913	108594065	2	-1.2694
1136724d-7446-4c8f-bb61-20eb751ecf2e	10	108594237	133411599	16218	0.0147
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	456012	7753207	3784	0.0201
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	7753761	7753774	2	-1.042
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	7753926	36127328	19366	0.014
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	36127608	36128092	2	1.1403
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	36129041	38584990	1090	0.0199
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	38586136	38595362	9	0.5358
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	38601469	67137588	11363	0.0236
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	67143355	67148926	3	-0.9711
1136724d-7446-4c8f-bb61-20eb751ecf2e	11	67151158	134272740	41967	0.0208
1136724d-7446-4c8f-bb61-20eb751ecf2e	12	780472	73423989	39563	0.0145
1136724d-7446-4c8f-bb61-20eb751ecf2e	12	73424728	73429308	2	-1.4632
1136724d-7446-4c8f-bb61-20eb751ecf2e	12	73431739	132605822	34796	0.0175
1136724d-7446-4c8f-bb61-20eb751ecf2e	13	18874255	59359930	23737	0.0159
1136724d-7446-4c8f-bb61-20eb751ecf2e	13	59361466	59363305	2	1.3662
1136724d-7446-4c8f-bb61-20eb751ecf2e	13	59364088	114226675	33271	0.0159
1136724d-7446-4c8f-bb61-20eb751ecf2e	14	20033191	48861820	14837	0.0161
1136724d-7446-4c8f-bb61-20eb751ecf2e	14	48864091	48865531	3	-1.0295
1136724d-7446-4c8f-bb61-20eb751ecf2e	14	48868229	105533894	34955	0.0174
1136724d-7446-4c8f-bb61-20eb751ecf2e	15	23437561	33324985	3875	0.0244
1136724d-7446-4c8f-bb61-20eb751ecf2e	15	33325332	33326309	2	1.1205
1136724d-7446-4c8f-bb61-20eb751ecf2e	15	33326618	101344124	40919	0.0168
1136724d-7446-4c8f-bb61-20eb751ecf2e	16	603333	89317317	41219	0.0223
1136724d-7446-4c8f-bb61-20eb751ecf2e	17	1074619	10178304	4716	0.0213
1136724d-7446-4c8f-bb61-20eb751ecf2e	17	10178842	10178919	2	-1.9962
1136724d-7446-4c8f-bb61-20eb751ecf2e	17	10178984	82959812	32574	0.0147
1136724d-7446-4c8f-bb61-20eb751ecf2e	18	326691	79349796	42975	0.0195
1136724d-7446-4c8f-bb61-20eb751ecf2e	19	283868	58370362	24160	0.0186
1136724d-7446-4c8f-bb61-20eb751ecf2e	20	472817	3596402	2038	0.0279
